{'短评内容': '实在太吵了，卫生很一般，不再住了', '短评打分': 2}
{'短评内容': '挺好的，舒适温馨', '短评打分': 5}
{'短评内容': '早餐丰盛，房间也挺舒服，就是有一点味道，希望改善', '短评打分': 5}
{'短评内容': '只能说对得起这个价位吧', '短评打分': 3}
{'短评内容': '酒店离白沟国际商品城特别近，价钱一般，但是含早餐，去白沟的朋友比较方便。房内卫生实在一般，但是这个县城这个价位是非常划算的。', '短评打分': 4}
{'短评内容': '地方好找，离商贸城也很近，环境还可以，下次来了还住这。', '短评打分': 5}
{'短评内容': '非常非常不错', '短评打分': 4}
{'短评内容': '挺好的，挺干净的，服务也很好，早餐不错', '短评打分': 5}
{'短评内容': '还行，还行！', '短评打分': 3}
{'短评内容': '挺好！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行！', '短评打分': 3}
{'短评内容': '挺好的挨着白沟车站非常的近。不过服务有个河南女的态度不是太好', '短评打分': 3}
{'短评内容': '环境不错，就是早餐简单了', '短评打分': 3}
{'短评内容': '总体来说还可以 交通吃饭什么的都很便捷', '短评打分': 3}
{'短评内容': '房间挺大 WiFi也好 就是有味 中央空调不好使', '短评打分': 3}
