{'短评内容': '早餐不错，可以去品尝下。旅行、出差、首选。', '短评打分': 5}
{'短评内容': '房间暖和，早餐挺好吃的，院里停车方便，下楼超市。', '短评打分': 5}
{'短评内容': '环境很好，早餐样式多，附近停车很方便。', '短评打分': 5}
{'短评内容': '房间简单干净', '短评打分': 5}
{'短评内容': '酒店环境挺好的', '短评打分': 4}
{'短评内容': '停车非常方便', '短评打分': 5}
{'短评内容': '不错的性价比支持一下', '短评打分': 5}
{'短评内容': '京东酒店服务很好，订酒店非常方便。', '短评打分': 5}
{'短评内容': '酒店距离哈尔滨机场比较近，交通非常便利，到机场很便捷。附近用餐也很方便，基本购物有麦德龙超市，商品价格合理、物品齐全。酒店的卫生、配套设施都比较好，服务员也很热情周到。酒店价格也不高，总体性价比还是很高的。', '短评打分': 5}
{'短评内容': '还不错，但是靠近马路这边的房间开窗时会较吵。。。', '短评打分': 4}
{'短评内容': '不错啊！挺好的', '短评打分': 5}
{'短评内容': '好久没有把握好吧&hellip;&hellip;一个人来吧。在自己身上', '短评打分': 5}
{'短评内容': '经济实惠  比会员官网价格还要低', '短评打分': 5}
{'短评内容': '很棒价格比会员还要经济实惠支持一下谢谢京东', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，交通比较方便', '短评打分': 5}
{'短评内容': '又续住了一天', '短评打分': 5}
{'短评内容': '朋友来住这里距离家里进而且环境也很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错 住起来比较安静', '短评打分': 5}
{'短评内容': '感觉不错感觉不错感觉不错感觉不错', '短评打分': 5}
{'短评内容': '锦江之星的设施一直这样，但在携程网上订的比在酒店订的贵了好多', '短评打分': 4}
{'短评内容': '很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '因为离公司近，接送方便。公司客户反应说非常不错，很好，很干净。酒店的卫生、配套设施都比较好，服务员也很热情周到。', '短评打分': 5}
{'短评内容': '因为离公司近，接送方便。公司客户反应说非常不错，很好，很干净。酒店的卫生、配套设施都比较好，服务员也很热情周到。', '短评打分': 5}
{'短评内容': '哈尔滨锦江之星麦德龙店管理不错，整洁简单，挺好。', '短评打分': 3}
{'短评内容': '住了一夜，非常满意。设备齐全，尤其是吹风机蛮好用的，服务也不错，房间环境不错，标准间的一大一小床很有创意，最为赞赏的就是免查房，真的是为房客着想！', '短评打分': 5}
