{'短评内容': '适合晚上去玩', '短评打分': 5}
{'短评内容': '店主大姐很热心', '短评打分': 5}
{'短评内容': '房间实在太小了设备设施差评 一个马桶破破烂烂的卫生间灯也没有 摸黑洗澡的', '短评打分': 3}
{'短评内容': '价格很便宜哦，客栈是在景区里的，打电话给老板娘，老板娘亲自来接我们的，还给我们升了房，环境很安静，超棒~~~', '短评打分': 5}
{'短评内容': '进去的那个小巷子太差，但进去之后院子还是布置挺好的。老板娘服务特好。必须点赞。就是房子有点小。不过毕竟是徽派建筑也不能多要求什么。挺好的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境服务都不错', '短评打分': 5}
{'短评内容': '住宿在小巷里，幽静清凉，老板娘人很好，可免费泡茶，房间也挺干净，我们住的很开心', '短评打分': 5}
{'短评内容': '环境特别好，老板特别热情！', '短评打分': 5}
{'短评内容': '不好评价啊，单就房间没啥好印象，但是在景区内，老板人好！省了门票是亮点！', '短评打分': 3}
{'短评内容': '还不错，就在景区里面。不过毕竟是古镇，因场地原因房间都比较小，卫生间的洗浴设施稍稍差点。地理位置挺好的，离河不远但又不会受到酒吧街的噪音影响。', '短评打分': 5}
{'短评内容': '还不错，就在景区里面。不过毕竟是古镇，因场地原因房间都比较小，卫生间的洗浴设施稍稍差点。地理位置挺好的，离河不远但又不会受到酒吧街的噪音影响。', '短评打分': 5}
{'短评内容': '不错，很舒适，住景区里很方便', '短评打分': 3}
{'短评内容': '只能偶尔体验，古镇风格，条件么就只能凑合了。边上风景还行', '短评打分': 1}
{'短评内容': '位置好，服务不错。', '短评打分': 3}
{'短评内容': '标间的条件太简陋，设施破旧，尤其是卫生间，太小，有点脏，洗漱都非常局促，更别说洗澡了，淋浴的水管到处漏水。房间不隔音，很吵。拖鞋以及毛巾牙刷等洗漱用品什么都不配齐，要什么才给什么。店主服务很热情周到，地处景区的烟雨长廊，客房为老民居，对实际条件可以理解，但与每天330元的价格感觉实在不符，与宣传的相差甚远。', '短评打分': 1}
{'短评内容': '态度还行，环境很一般，有种被照片骗了的感觉。', '短评打分': 3}
{'短评内容': '这是一家十分有古镇特色的自助式酒店,位置不错,老板很热情,卫生状况还可以,有回乡下老家的感觉。', '短评打分': 5}
{'短评内容': '很好找就是房间不大…不靠河没有好的景色…隔音不好…很吵…', '短评打分': 5}
{'短评内容': '店主非常热情，老板娘亲自去接站。老房子，雕花床，干净卫生，设施齐全，特别是还有电脑上网，很有家的感觉。下次要来，还会选择安善雅居客栈。', '短评打分': 5}
{'短评内容': '酒店的服务很贴心，大床房设计的很好，雕花大床，木质地板，很有韵味，房间里设施齐全还可以上网，超好的一家客栈', '短评打分': 5}
{'短评内容': '老板很热情，很周到，还帮忙买去上海的票；就是没热水，位置不错，希望老板把设施搞好点。。。', '短评打分': 3}
{'短评内容': '酒店的位置还是挺好的但是房间是小了一些卫生设施也就一般，价格好像和房间的环境来看还是偏贵了。', '短评打分': 1}
{'短评内容': '一般般，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '房间里面连椅子都没有只能做到床上，卫生间特别小毛巾牙刷不朝他们要都不给。位置感觉还行就是在古城里面。其他的都很一般。', '短评打分': 1}
{'短评内容': '设施很成就，厕所太小了，很崩溃，对不起这个价格~', '短评打分': 1}
{'短评内容': '看了评论之后才预定的。感觉去了之后和预想差别太大，主要是卫生条件太差了，床单上还有血渍，让我十分不放心，另外洗澡很不方便，热水很细很小。总之是比较失望的。唯一的好处是在镇子的中心，靠近小河，景色还是不错的。老板的服务也很好，比较客气。', '短评打分': 1}
{'短评内容': '位置还好，服务热情，有求必应，带进景区省了门票，但是相比于外面的酒店，这个价钱还是有点高了', '短评打分': 1}
{'短评内容': '总而言之，各方面都比较差。', '短评打分': 1}
{'短评内容': '先看了评价才定的这家，结果非常失望。首先说下位置，就在酒吧旁边，从早到晚噪音很大，很吵人；住宿没有安全感，朋友的手机放在床上，出去逛了一会，回来就没有了，虽然没抱希望，还是报了案，不过好心情已经全无。引用民警建议：只有住西塘景区外的正规宾馆，安全才能保证。', '短评打分': 1}
{'短评内容': '老板非常热情，但设施比较差，太阳能热水器晚上都没热水了。房价比西塘其他旅店价格要高，可能是预定的关系', '短评打分': 5}
{'短评内容': '很不错的老板娘和客栈，很有特色呢', '短评打分': 3}
{'短评内容': '老板娘人非常好呢，看我们两小姑娘，那天住客不多，还特意给我们免费换了一间老板娘住的旁边一间雕花床的房间，方便老板娘照顾我们。走时拉了东西，老板娘还特意帮我们送到车站了。', '短评打分': 5}
{'短评内容': '没想到房间里不但有空调，还能上网，挺意外的，所以也对这家更加满意了。', '短评打分': 5}
{'短评内容': '服务员很热情，服务的周到细致。', '短评打分': 5}
{'短评内容': '客栈很有特点，我们住的是阳台房，看夜景非常漂亮，来的挺值的，给了我们不一样的体验。', '短评打分': 5}
{'短评内容': '客栈处于唯美的自然风光中，非常适合观景，我和爱人相当满意。', '短评打分': 5}
