{'短评内容': '性价比还行，位置比较偏有点难找，空调没热风冬天受不了', '短评打分': 4}
{'短评内容': '挺好的，信价比超高，房间里面东西配备齐全，也还算舒服，为了去技师学校考试入住的，晚上看书的时候，楼下KTV唱的歌可提神。', '短评打分': 4}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '酒店房间配置还是不错的，早餐很普通，稀饭，鸡蛋和几个小菜，必定房间价格特别的优惠。还有一点，希望能够把网络速度在提高一些。', '短评打分': 5}
{'短评内容': '车子被拖了也不提醒，差、太差', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设备齐全，功能完好，就是比较老旧，还看到了一只小强', '短评打分': 5}
{'短评内容': '酒店不错，服务好，设施好，点赞', '短评打分': 5}
{'短评内容': '每次过来都住这里，交通比较方便。相对来说比较便宜。房间很整齐。前台服务也特别好。而且还有早餐。推荐入住。', '短评打分': 5}
{'短评内容': '卫生一般 地上有一卷长头发……电吹风是坏的 晚上KTV声音挺大挺吵 标间带早饭价格合理 性价比不错的', '短评打分': 4}
{'短评内容': '酒店房间还不错，周围环境一般，交通不是很方便。饭店早餐一般，周边小吃点较多。不远处有一个欧洲城挺不错，吃饭、购物及沃尔玛超市等均有。饭店性价比较高。', '短评打分': 4}
{'短评内容': '房间设施很不错。。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '对得起这个价格了 温州城真是想不到会这样啊', '短评打分': 3}
{'短评内容': '房间倒是蛮整洁的，没发现蟑螂之类的大昆虫；周边有个卡拉OK比较吵，周边社会人员混杂；酒店没有停车场，晚了根本没地停车，酒店也不出面解决，我们自己移开门口对面的大花盆才勉强停入；房间很陈旧，漏水痕明显，空调风叶是坏的，根本没有介绍中说的2014年装修的，这个价位也就国庆期间普遍涨价才住，平常绝对不在考虑范畴。', '短评打分': 3}
{'短评内容': '设施一般，有点旧，早餐不好，不过价格实惠！', '短评打分': 4}
{'短评内容': '床有点小，上下都是KTV，有点吵得，性价比一般。', '短评打分': 1}
{'短评内容': '一般还行', '短评打分': 3}
{'短评内容': '设施比较陈旧，楼下ktv比较吵，但是离14中真的很近', '短评打分': 1}
{'短评内容': '位置蛮好的，从火车站坐85路到新桥站下来，就在下车的地方再坐102路到十八家支路下，往前走不远右拐再一直前行就可以看到金庄饭店了，环境对于不挑星级或者连锁的人来说是可以的，房间蛮干净整洁，卫生间也很好，我们是去看演唱会的，这里离体育中心坐公交只有两站，走过去也是可以的哟。', '短评打分': 5}
{'短评内容': '酒店设施一般', '短评打分': 3}
{'短评内容': '服务态度很差', '短评打分': 3}
{'短评内容': '位于一条长长的深深的脏脏的巷子里。客房走廊和房间的地毯很脏，有烟头和垃圾，明显是没用吸尘器的原因。我所住的701房间的水龙头左摇右摆也不见修。本来想到既已住下，第二天大早要出去办事也就将就着懒得换酒店了。第二天早上吃早餐，一看实在没什么吃的也就罢了，一碗白粥两个鸡蛋，只要填饱肚子我也能将就。但接下来发生了一件让人忍无可忍的事情。餐厅的服务员走过来发现我们桌面的鸡蛋，唠唠叨叨大声说，规定每人只能吃一', '短评打分': 1}
{'短评内容': '房间还可以，就是晚上太吵了！一夜没睡', '短评打分': 3}
{'短评内容': '服务比较热情 早餐一般 上网还可以 但是容易掉线 卫生一般', '短评打分': 5}
{'短评内容': ' 还行', '短评打分': 3}
{'短评内容': '总体感觉还好，就是楼下有歌厅，比较吵', '短评打分': 3}
{'短评内容': '还可以 价格也蛮实惠的   不过我是生病 住那里 没洗澡没什么  呵呵 不太清楚', '短评打分': 5}
{'短评内容': '设施陈旧，服务态度不好，退房时忘了两充电器在房间了，在结帐时查房人员当时看到也不和前台说，直到出门后想起回头去问才说有两充电器', '短评打分': 1}
{'短评内容': '不好还好 嗯 不错不好还好 嗯 不错不好还好 嗯 不错', '短评打分': 5}
{'短评内容': '还真是有些吵！问事情的话，总台的小姐又心不在焉！', '短评打分': 1}
{'短评内容': '其他都不错，就是位置有点偏。不过打的还算方面的。', '短评打分': 5}
{'短评内容': '+宾馆服务需改进，周边环境需改善。', '短评打分': 3}
{'短评内容': '+宾馆还可以，周边环境不理想。', '短评打分': 5}
{'短评内容': '不错 就是 夜里 下面 有人 洗碗很吵不错 就是 夜里 下面 有人 洗碗很吵', '短评打分': 5}
{'短评内容': '住宿还行不错 。。。服务有问题。。。。送餐态度最差', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '很好的一家店，还是会和朋友们推荐的希望有机会再去              ', '短评打分': 5}
{'短评内容': '这里的环境 价格都还可以，就是订餐的电话打过去 态度非常恶劣，语气非常差，我打电话过去订餐还要被你们骂没了就说没了 凶个什么凶，还直接挂我电话，我差没没去把这个人给抓出来来。', '短评打分': 5}
{'短评内容': '比较方便', '短评打分': 5}
{'短评内容': '地板有点脏。。隔音一般般 卫生间还可以 满安静的 地理位置一般 一般来的说还不错 还是值得推荐的', '短评打分': 5}
{'短评内容': '位置好方便出行,不过其它各方面都一般了些,不过总体感觉还可以.', '短评打分': 5}
{'短评内容': '酒店环境不错位置倒是挺好找的，房间的卫生设施都还可以，价格的话也还行挺适中整体看起来还不错。', '短评打分': 5}
{'短评内容': '酒店条件还不错,就是位置有些偏不太好找,硬件条件和卫生还是比较到位的.整体水平还行.', '短评打分': 5}
{'短评内容': '房间有小强；早餐很差，门口收票的一个爷们，翘着二郎腿抽烟；床板硬得很，还不平的。', '短评打分': 1}
{'短评内容': '周边的环境有些乱.室内环境一般，硬件条件还可以，位置不错出行还算方便.', '短评打分': 5}
{'短评内容': '温州酒店的价格都蛮贵的，这家酒店还算比较实惠的了，环境也不错，感觉挺安静挺舒适的，酒店的位置也不错，周边公交蛮多的，打车也很方便。出行还是很便利的，整体感觉还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '服务态度还行，酒店里面还行，但是位置当时感觉不是特别的理想价格相对于位置来说的话我感觉还是有些偏贵了，其他方面都还行，不过确实位置不是太好如果下次酒店可以把价格在降低一些的话感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '楼上好像有个KTV有点吵，不过周边交通还算便利.总得来说还不错.', '短评打分': 5}
