{'短评内容': '一般般，各方面都一般般', '短评打分': 3}
{'短评内容': '房间干净!', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '设施太旧了！', '短评打分': 4}
{'短评内容': '设施比较陈旧，空调声音较大，关掉空调就很热了。卫生间过于简陋。外边环境噪杂，我住的房间位置较为安静。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '用一点纸也收费，还谈何服务，毛巾旧的发黑不敢用。', '短评打分': 3}
{'短评内容': '周邊環境影響了，希望下次再入住時周邊的建築已經做好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '停车方便，简洁，枕头不太干净，早餐对得起这个价格，整体来说符合我要求。下次还来住。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '停车十分方便，房间设施非常齐全，价格非常优惠，有机会还会再来，还送优惠券，挺好', '短评打分': 3}
