{'短评内容': '很一般，不过卫生间有干衣机，这点还算良心，其他的不敢恭维，酒店前台居然是男的，而且还不怎么熟练入住手续。', '短评打分': 3}
{'短评内容': '酒店设施有些陈旧，床垫差评，太软了，软到没朋友，周边吃的东西多，大排档不错。', '短评打分': 4}
{'短评内容': '其它都还可以接受，就是热水太小时有时无！', '短评打分': 3}
{'短评内容': '酒店设施陈旧了点，但是服务还行', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '房间太暗没大灯照明。其他还ok。', '短评打分': 3}
{'短评内容': '房间太暗，没大灯。其他还ok吧。', '短评打分': 3}
{'短评内容': '环境不错，入住的舒适，、方便，整体感觉不错', '短评打分': 3}
{'短评内容': '整体感觉不错，方便舒适', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '酒店个方面一般，适合工作性质的旅行要求。', '短评打分': 4}
{'短评内容': '卫生间小了点。其它各方面都较好。', '短评打分': 3}
{'短评内容': '不错不错不错不错，一如既往的好', '短评打分': 3}
{'短评内容': '酒店房间够大，环境设施都不错，卫生间还有烘干机衣服很快干，酒店周边很多大排档不用担心吃的，服务态度也不错，就是像评价说的有小强，国庆假期去的房价太贵，平时还是不错的选择。', '短评打分': 5}
