{'短评内容': '老酒店，设施比较陈旧。。。', '短评打分': 2}
{'短评内容': '老宾馆了，有怀旧的情调，酒店地理位置很赞。附近的餐饮丰富，以后还会住', '短评打分': 4}
{'短评内容': '宾馆闹中有静，建筑内部很有味道，服务员态度热情，还送了早餐哦!很喜欢，下次还会再次入住的!', '短评打分': 5}
{'短评内容': '酒店位置很好，很安静很安静，闹中取静，在市中心有这个环境不多，出行、停车都很方便', '短评打分': 5}
{'短评内容': '还是不错！', '短评打分': 5}
{'短评内容': '就是有点冷', '短评打分': 5}
{'短评内容': '不管你怎么觉得，我是觉得挺好的，两大一小，豪华双床。老牌宾馆，服务好', '短评打分': 5}
{'短评内容': '古色古香，历史文物', '短评打分': 5}
{'短评内容': '老牌宾馆，设施还行就是很旧', '短评打分': 3}
{'短评内容': '很老的酒店了，但是很有上海风情！主要离华山医院很近，很多检查身体住在这边的，如果价格可以更低一点就好了……', '短评打分': 3}
{'短评内容': '很老的酒店了，但是很有上海风情！主要离华山医院很近，很多检查身体住在这边的，如果价格可以更低一点就好了……', '短评打分': 3}
{'短评内容': '很老的酒店了，但是很有上海风情！主要离华山医院很近，很多检查身体住在这边的，如果价格可以更低一点就好了……', '短评打分': 3}
{'短评内容': '很老的酒店了，但是很有上海风情！主要离华山医院很近，很多检查身体住在这边的，如果价格可以更低一点就好了……', '短评打分': 3}
{'短评内容': '很老的酒店了，但是很有上海风情！主要离华山医院很近，很多检查身体住在这边的，如果价格可以更低一点就好了……', '短评打分': 4}
{'短评内容': '地方很安静，有点难找', '短评打分': 5}
{'短评内容': '离医院近 很好', '短评打分': 5}
{'短评内容': '离医院近 很好', '短评打分': 5}
{'短评内容': '离医院近 很好', '短评打分': 5}
{'短评内容': '离医院近 很好', '短评打分': 5}
{'短评内容': '热水调不好，设施很老旧', '短评打分': 4}
{'短评内容': '酒店位置优越，交通便利，闹中取静，房间很干净，布置的也很温馨，相比同档次酒店，性价比很高。酒店客房非常干净，布置的很温馨，床品很舒服，必需的都有,服务员很热情，下次还会入住。  ', '短评打分': 5}
{'短评内容': '感觉配置跟不上时代要求了，连网都还得付费使用，暂时不会再定了。', '短评打分': 4}
{'短评内容': '帮朋友订的，挺方便的！', '短评打分': 5}
{'短评内容': '啥都不说了，就是过一夜，啥都不说了，就是过一夜', '短评打分': 1}
{'短评内容': '还可以，一晚而已。主要是价格较经济实惠。', '短评打分': 4}
{'短评内容': '酒店地理位置比较好，很安静，房间内还自带冰箱，下次去上海还要继续入住该酒店', '短评打分': 5}
{'短评内容': '交通方便，设施有点陈旧了', '短评打分': 3}
{'短评内容': '一般，离中心近～(*^_^*)', '短评打分': 3}
{'短评内容': '静安寺近在咫尺,二号线七号线地铁五分钟步行就能到达,闹中取静,交通方便,非常好', '短评打分': 5}
{'短评内容': '主楼还是不错，四星，旧旧的有点古典，所有装修有中世纪的感觉，从外面看不咋的，因为在Hillton后面，档次就有点差距了', '短评打分': 5}
{'短评内容': '二号楼即副楼。。。。这副楼与主楼的差别实在不是一般大，连他们自己工作人员都说怎么会来住这酒店，随便找家经济酒店也会好得多，而且价格还不便宜，晕死了！！！上当之后，不再上当了。。房间小得转身就碰壁了，空调估计都是报废的，热死不偿命，，电视、冰箱都是古董级的，都简直用不了了，只有灯是正常的，卫生间就不说了，塑料材料隔出来的，花洒下的软管比石头还硬，你如何拿住它？！！受不了。', '短评打分': 1}
{'短评内容': '第二次入住了，酒店不错，主要是为了方便。', '短评打分': 3}
{'短评内容': '酒店浴室墙面有发霉现象，总体感觉还不错，有家的感觉。', '短评打分': 5}
{'短评内容': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', '短评打分': 5}
{'短评内容': '还行，地点好，前台专业，旧楼好，新楼一般，其他没什么', '短评打分': 5}
{'短评内容': '住过这么多的酒店觉得这家宾馆真得很实惠，座落在上海市中心还能住到这样优惠的宾馆真觉得值啦，服务也很到位。下次一定还会来住的。', '短评打分': 5}
{'短评内容': '很方便，去哪里都方便。下次回去，有时间还去住', '短评打分': 5}
{'短评内容': '地点很好，周边非常方便，房间也不错，标准间很舒适', '短评打分': 5}
{'短评内容': '提醒各位想住在这里的人要三思，\n我昨天安排我们的外籍同事到这个酒店，\n上网居然收了我们90元，等于15美金，太夸张了，\n只是三星级的酒店，又不是什么利兹卡尔顿，\n趁人之危，害我被同事骂，非常不爽！\n我已经建议公司以后再也不要订这家酒店了！', '短评打分': 1}
{'短评内容': '酒店还不错噢。交通很便捷', '短评打分': 3}
{'短评内容': "停车要收停车费'比较不爽'服务态度不错'还延到下午两点", '短评打分': 5}
{'短评内容': '非常好的酒店,交通方便,服务也不错.入住时没有房间了,免费升级到行政房,很漂亮的房间.特别是正对大草坪.', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便。在市中心来说价格还行。客房装修，家具陈设还行，准三星标准，比较经济。', '短评打分': 5}
{'短评内容': '有古典氛围的饭店、环境和地段都很好、性价蛮高的老饭店。', '短评打分': 5}
{'短评内容': '贵，陈旧，没有服务', '短评打分': 3}
{'短评内容': '周边很方便  也很干净卫生\n\n下次还会入住 如果来上海的话', '短评打分': 5}
{'短评内容': '环境优雅，交通方便，周围非常安静，很适合想体会上海韵味的入住。早餐太简单，也没什么人去吃。', '短评打分': 5}
