{'短评内容': '处于一个很安静的地方 住的很舒服配套设施也不错  老板娘非常人情我们聊了很久 老板娘还烧的鸡汤不错 ', '短评打分': 5}
{'短评内容': '酒店位置闹中取静，离四方街不算太远，基本一条直路走到底就是了。老板娘热情健谈，还会自己做菜，虽然我一次都没吃到（都喝酒去了）。院子不大，总共7间房。小而温馨的客栈！适合独自一人或者蜜月旅行 亲子居住。喜欢热闹的就不大建议。最后像我这种一个人去的话就是给老板娘当苦力的！哈哈哈', '短评打分': 5}
{'短评内容': '非常不错的客栈！老板热情好客，客栈安静安逸！', '短评打分': 5}
{'短评内容': '中秋节正好往在客栈，店老板暖暖给住店客人准备了丰盛晚餐和红酒，让在外过节的我们有如家的温暖，下次丽江之行再选此家客栈。', '短评打分': 5}
{'短评内容': '老板娘很热情 房间很干净 喂养的小兔子很萌 下次来丽江必须还住这', '短评打分': 5}
{'短评内容': '服务很贴心,有管家小强到路口来接到客栈，板娘暖暖很热情，还亲自泡茶做饭给我们吃', '短评打分': 5}
{'短评内容': '在云南旅游最好的酒店，没有之一。贵在服务，老板娘与管家很热情，很真诚。有很多我意想不到的服务，到达前一天与我联系，说注意事项，多带衣物。到达时是中午，我们没吃午饭，又热情让我们一起吃，晚上要不是我们要逛古城，还可以一起吃火锅。后来回家的时候没有跟他们打招呼，到了晚上还跟我们打电话询问我们到客栈没，生怕在外有意外。去机场后，还短信祝福。真是太棒了。还有环境，卫生都很棒。大家去丽江古城，一定要选这家，', '短评打分': 5}
{'短评内容': '老板暖暖很热心人很好，是个才女哦，像在家里一样，很舒心！', '短评打分': 5}
{'短评内容': 'Yes Home！店主暖暖是个南方的漂亮姐姐，性格却像北方一样豪爽热情，出行之前会嘱咐你带好防晒和适合的衣服，真的像是名字一样暖暖得很贴心！初到客栈的那天暖暖还亲自下厨，出门旅行还能有这样的体验简直不能再感动了！温馨的古城小院，舒适的大床房间，热情的店主暖暖，勤快的管家小强，还有没有说到的种种，一切都要亲自去体验，才知道有多棒，我还会再去的，期待下一次的相见。', '短评打分': 5}
{'短评内容': '第一次去丽江，之前在携程上看客栈，看了好多家！实在不知道选哪一家！无意中看到了逸思居，被他的名字吸引，看是今年刚开业的，就定下了。加了老板微信，问了好多问题，老板暖暖不厌其烦的回答我，还叮嘱我要带好防晒霜，衣服，面膜！到客栈晚上已经很晚了，暖暖还贴心的给我们备了晚饭，第二天起来暖暖给我们做了米线，简直太好吃了！在那住了5天，暖暖给我们做大餐，还做戚风蛋糕！整天都有好东西吃，还有好茶喝！真的像在家里', '短评打分': 5}
{'短评内容': '暖暖姐特别好，可惜行程问题没有多住几天。以后来丽江还会去找暖暖姐玩的', '短评打分': 5}
{'短评内容': '成都阴郁的天气让我们向往云南的阳光，也许是特别的缘分，和两个朋友说着去云南的计划，当说到要去丽江时两人不约而同的推荐了“逸思居”，好吧好奇的我加了老板的微信，她叫暖暖，也是四川人，和暖暖说了我们的行程安排，她告诉我要带面膜，要带墨镜，要带厚衣服，一定一定要带防晒霜，隔天又提醒了一次，出乎意料的细心…16号刚到丽江就在古镇口接到管家小伙的电话，说暖暖让他出来接我们。大约走了5分钟，逸思居到了，一个安', '短评打分': 5}
{'短评内容': '虽然丽江只是中转，住了一天而已，但是老板暖暖人如其名，给人以温暖的感觉，像是一个体贴入微的好朋友；酒店坏境很好，干净卫生，本不爱做任何点评，可暖暖给人印象太好，名副其实五星好评，以后有机会还会去', '短评打分': 5}
{'短评内容': '临时决定来丽江，什么都没准备好。老板娘超级贴心热心，每天带着喝茶吃点心聊天，帮忙订车订行程。有任何问题都可以帮忙解决。厨艺还非常了得！这一次入住体验非常舒服的，房间很干净，被子枕头都很舒服很软。下次来还会住这里，也会推荐朋友来～', '短评打分': 5}
{'短评内容': '生活中，有比赚钱更重要的东西，在逸思居你可以寻到；生命里，有比旅游本身更让你撬动心灵的惊喜，在逸思居，你能够得到。这便是我第一次游历丽江最重要的感受。这个深秋，我和母亲一起，开启了一次说走就走的丽江之行。通过携程评价定的逸思居人文精品客栈。很随意的过程，却给了我和母亲温暖的眷恋和温馨的回忆。一个诚信做人做事的店主暖暖，一个品质入微的精品客栈，就这样融进了我和母亲的生活里。??????????   ', '短评打分': 5}
{'短评内容': '受朋友委托请我提前在丽江帮她们找一家小客栈，我通过网上看见有朋友评价的丽江“柔情蜜意”客栈的好评如潮，然后我又通过当地的朋友了解了一下，觉得评语基本符合事实，于是预定了这家客栈。让我感到有点意外的是，我朋友快到达前3天我手机收到了该客栈老板的一条短信息“某某先生你好！我是柔情蜜意客栈的微微安，你的朋友是21号来丽江吧？她们几点到达这里？需要我们去接吗？如有其它的需求和安排请告知，我们尽量解决，谢谢', '短评打分': 5}
