{'短评内容': '还行，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '房间墙纸破损严重，自带电脑无法上网，办理住房10分钟内退房扣除20元！', '短评打分': 1}
{'短评内容': '服务态度蛮好～。就是设备太旧了、是个老酒店', '短评打分': 3}
{'短评内容': '设备老旧，卫生条件差，电视电脑打不开，马桶排水不通，卫生间有 异味，车停在路边没有安全感，总之一个字差。', '短评打分': 1}
{'短评内容': '酒店房间空调不给力啊', '短评打分': 3}
{'短评内容': '太旧了，洗澡水都不热，不值得。', '短评打分': 3}
{'短评内容': '出差咸宁，离车站5元摩托车吧，汉庭酒店对面，光线昏暗电梯', '短评打分': 4}
{'短评内容': '比较适合情侣入住', '短评打分': 5}
{'短评内容': '当时看着图片预定的该酒店，装修还不错比较新，没有专门的停车场，只能停在酒店门口的马路边，当时过去办理入住手续时，酒店竟然没有我的京东订单，因为当时办理了信用卡预授权又不能更换酒店，跟京东客服联系说要两个小时才能答复，后来酒店经过核实有我的订单，这才办理了入户手续，之后也没有收到京东的回访电话，也不知道是那里衔接出了问题，希望京东能加强管理。', '短评打分': 3}
{'短评内容': '还行。老板热情。。隔音不好。。晚上打麻将都不敢出声，跟做贼似的', '短评打分': 5}
{'短评内容': '环境还不错，就是要有个专门的停车场就更棒了！', '短评打分': 3}
