{'短评内容': '破垃圾地方，电费还要自己给，环境差他妈逼！脏乱差，还不如民房干净，晚上12点住，电费几十块，携程业垃圾，和这总地方合作，倒牌子', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '可以选择入住，方便位置好，', '短评打分': 4}
{'短评内容': '客观的评价一下，当时我以为是如家酒店，结果去了大失所望，房间卫生极差，各种设备极差，用电超出还要给电费，各位千万别去上当了，紧记！', '短评打分': 1}
{'短评内容': '这不是如家酒店，傻贵卫生还差', '短评打分': 1}
{'短评内容': '不错 就是电费有点贵', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务态度很好啊，哥哥简直是天使啊，出去报团玩很贴心帮我们把房间往后调时间，还可以帮忙放行李，告诉我们哪里可以买到想吃的东西，还告诉我们哪里可以热饭，总之', '短评打分': 5}
{'短评内容': '环境挺好的。给个赞', '短评打分': 5}
{'短评内容': '差，态度恶劣，下次不会再入住，难念痛苦的经历。', '短评打分': 2}
{'短评内容': '和闺蜜一起去的  ~老板和老板娘都很热情有耐心，总之很棒', '短评打分': 5}
{'短评内容': '环境很好，老板服务态度好，周围环境也挺好。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错 房间挺好的 老板人特别好 特别喜欢的一家店 住着感觉很舒适 性价比很高 在小寨这边 吃饭出行都特别方便 不错的酒店 值得推荐', '短评打分': 5}
{'短评内容': '总体感觉还是小了点，不能开发票是最大的遗憾！', '短评打分': 4}
{'短评内容': '比如家汉庭稍微差些。还凑合。唯一的缺点就是房间里有蚊子。这个酒店里的房间时租用的，和其他一些家庭住户在一块混着。', '短评打分': 5}
{'短评内容': '酒店环境非常不错、建议选择   离小寨很近附近很多好吃的', '短评打分': 5}
{'短评内容': '房间不错，也比较便宜，地理位置也很好，出门什么都有！！', '短评打分': 5}
