{'短评内容': '酒店比较旧，卫生比较差', '短评打分': 3}
{'短评内容': '酒店比较旧，卫生比较差', '短评打分': 3}
{'短评内容': '酒店比较旧，卫生比较差', '短评打分': 4}
{'短评内容': '前台态度不好 房间少了浴巾打电话叫服务员拿上来 一晚上都没拿 总之一般', '短评打分': 4}
{'短评内容': '镇上算是不错的酒店了，主要是方便吧', '短评打分': 4}
{'短评内容': '去朋友家玩，住这里已经很多次了，也算是镇上不错的酒店了，就在镇上，逛逛当地小街挺好玩', '短评打分': 5}
{'短评内容': '酒店环境可以，但是有点吵，没有电梯，楼下有个超市，距离温泉很近，价钱唔贵，附近有很多食肆。', '短评打分': 5}
{'短评内容': '酒店环境还可以，楼下有个超市，周边有一些食肆，但是酒店没有电梯，只有这个差一点，酒店离温泉很近，开车只须要5分钟。', '短评打分': 5}
{'短评内容': '环境干净卫生，停车方便，唯一的缺点是没有电梯，不过现在已经开始在做电梯', '短评打分': 2}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '整体可以，还算干净整齐，没有怪味，在这么偏僻的地方能有这样一家酒店，算是可以接受的了！', '短评打分': 3}
{'短评内容': '酒店很容易就能找到，楼下有间超市好方便', '短评打分': 4}
{'短评内容': '每次回家乡都住这家酒店，服务态度好。', '短评打分': 4}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '环境不错，你值得拥有！', '短评打分': 3}
