{'短评内容': '哈哈哈哈斤斤计较', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '感觉不行，在小区里面，跑好远', '短评打分': 4}
{'短评内容': '房间大    停车方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '各方面条件一般，', '短评打分': 3}
{'短评内容': '主要是方便！', '短评打分': 4}
{'短评内容': '还不错，就是靠近路边，有点吵', '短评打分': 4}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '还行吧还行吧还行吧还行吧还行吧', '短评打分': 3}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '发票都不给够，给了两次都不够，下次不能住了????', '短评打分': 3}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '，还不错，各种用具很齐全，很好用，我住到高层了，看到整个昆明的夜景！', '短评打分': 3}
