{'短评内容': '！', '短评打分': 5}
{'短评内容': '住的位置可以，房间有点旧，空调没热的，里面还干净，没电梯，性价比还可。', '短评打分': 5}
{'短评内容': '酒店位置很好，房间还行，有点旧，空调不制热，性价比高，就是没电梯，拖着行李箱很沉，不方便。', '短评打分': 5}
{'短评内容': '地处繁华区，交通餐饮都很便利，而且晚上睡觉不吵。房间设施及装修，颜色非常温暖和清新（印象是鹅黄、草绿、奶白等色），有点如家的风格（不像有些酒店红木或者其他暗色系，一进去会害怕）床单被罩都很干净，连续住了两晚，睡的很香，本来想要再住一晚，因行程安排，没住成。最后，这个价格，可以说是非常便宜，性价比超高。本人是第一次为酒店点评，良心好评。', '短评打分': 5}
{'短评内容': '很好，不错的选择，服务很热情，酒店位置很好，吃住行都很方便，交通便利，卫生很干净，房间很好，住了几天，不错', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '该酒店位置好找，装饰别致优雅，前台服务热情，让人无比舒心。价格实惠，wifi信号好，热水足足的，卫生也特别干净，周围很多小吃，吃饭逛街很方便，是出差旅游的好选择！', '短评打分': 5}
{'短评内容': '酒店位置还算比较好找，就在十字路口处。没有早餐，卫生条件一般，有点陈旧，电视是卫星接收器，没有信号收不了几个台。停车场是在另一家酒店里', '短评打分': 4}
{'短评内容': '简直就是迷你房，装修和卫生都差，脱了衣服去洗澡的时候又没热水，就是滴滴点点的冷水。介绍说的全部房间免费电脑根本就没有，吹风机也没有，根本就是误导消费者', '短评打分': 1}
{'短评内容': '性价比高！装修非常棒！下次再来', '短评打分': 5}
{'短评内容': '酒店非常不错、新装修风格设计也比较独特、水很大、当时咱们是从腾冲过来的、有很多衣服要晾晒、下楼要求前台给几个衣架、还没回到房间客房工作人员就送到了、瞬间觉得找到家的感觉、工作人员态度真是棒棒哒！下次还住这里！强力推荐哦！！', '短评打分': 5}
{'短评内容': '性价比很高啊！！！！个人觉得应该是瑞丽性价比最高的酒店了！设施很新最惊喜的是房间很独特在整个瑞丽很难得有一两家，推荐大家去试试，相信看了一定也会背它迷住！下次来一定会再选择这家尚域主题酒店的！！！', '短评打分': 5}
{'短评内容': '一到瑞丽就往尚域主题酒店去了，因为前面就住过非常喜欢，而且地理位置非常好，处在最繁华的市中心，很容易找。附近有饭馆，超市、银行网吧，打车也很方便，门口就有想去哪都有车。不远有个华丰夜市可以逛街，购物，那里小吃很多味道也不错滴！酒店服务态度非常满意，热情，温和，房间是新装修的，时尚，宽敞，卫生干净利落', '短评打分': 5}
{'短评内容': '一开始看到这个酒店网上的评价还有地理的位置都不错，就想着先订一个晚上看看。没想到在瑞丽的这几天就一直续住了几天，地理位置真的很好，但是更重要的是酒店的服务，第一天到的时候办理入住时前台就是充满笑容的接待，一直在酒店住着，感觉像家一样，朋友过来找我们打牌玩，到前台登记完证件，酒店服务员也很体贴，赞一个，哈哈！平常很少写点评，其实现在服务行业不好做，所以说服务行业态度很重要，酒店整体来说非常好，赞一个', '短评打分': 5}
{'短评内容': '好好好！价格便宜！位置蛮好市中心，出门小吃一条街，超市，银行都方便！还有免费早餐超划算！wifi最好用！', '短评打分': 5}
{'短评内容': '一如既往的好，服务好！卫生干净！wifi信号好！值得推荐！', '短评打分': 5}
{'短评内容': '强烈推荐的一家酒店，位置好，市中心繁华地段十字口好找，酒店楼下餐馆一条特色餐饮街，银行，超市和华丰边贸市场步行几分钟就到，边贸市场什么缅甸小吃和木器玉石应有尽有，前台服务热情，细心，也专业，对瑞丽当地吃，玩会耐心解答，客房卫生干净，布置温馨，相当喜欢这种风格，配套细节讲究，wifi信号值得一赞，床头配有USP快速充电插座，喜欢！！！电视还可以点播，回放，直播，开始还不会操作，服务员上来耐心教了一遍', '短评打分': 5}
{'短评内容': '蛮好的一家酒店，价格低，听酒店工作人员说在做特价，性价比超高，酒店位置好，市中心，周边配套设施齐全，超市银行餐馆还有广场，吃购玩一应俱全，出行便利，前台服务还不错，房间卫生干净，Wi-Fi信号好还稳定，房间配套设施完善、专修风格简洁时尚非常喜欢，早餐味道不错，干净卫生，??????????下次还来', '短评打分': 5}
{'短评内容': '超低价，还有早点。好划算！！安静 干净', '短评打分': 5}
