{'短评内容': '服务挺好的 但环境周围都不咋滴 床单也脏 窗帘更脏 味', '短评打分': 3}
{'短评内容': '环境不怎样', '短评打分': 3}
{'短评内容': '宾馆位置很好，西宁火车站坐公交车2站，在走两三百米就到了，就在东关清真大寺旁边。', '短评打分': 5}
{'短评内容': '啥也不想说  房间都没有进去  无法评论  直接把我们带到旁边的宾馆了 楼梯特别窄 只能过一个人  大街上冷  房间里热的睡不着 ', '短评打分': 3}
{'短评内容': '虽然在顶楼加装的房间，基本还是干净整洁，只是离清真寺近，人多，嘈杂，但这个价位，也将就住了', '短评打分': 3}
{'短评内容': '就在清真寺旁边，交通方便，房间也不错！很棒', '短评打分': 5}
{'短评内容': '非常一般，杂乱，卫生不好，硬件差。', '短评打分': 1}
{'短评内容': '酒店一般，周围环境太乱', '短评打分': 2}
{'短评内容': '环境可以', '短评打分': 4}
{'短评内容': '位置在西宁东关清真大寺旁，位置很市中心，对想要体验清真寺的很不错，但注意周五清真寺做礼拜人很多，出行要避开那个时间段', '短评打分': 3}
{'短评内容': '还行。', '短评打分': 5}
