{'短评内容': '很干净，舒服', '短评打分': 5}
{'短评内容': '在著名的台东步行街旁边，交通和餐饮都很便利。但是，房间很小，将够两个人住，而且紧邻一个大型菜市场，晚上楼下的大排档，路上的车比较吵。房间里设施比较陈旧，有些东西不太好用，而且最让人生气的是刚入住时发现，床单和被子上有很多头发什么的，显然是没换过的，马上叫前台给换，前台倒是还是虽然先说让服务员看一下，但是我说有很多头发的时候，他们就派服务员来给换了，就是换床单的小伙子还不太高兴。而且怕房间里有蚊子，', '短评打分': 5}
{'短评内容': '还可以~~就是没有窗户，总体还不错，很好很好', '短评打分': 5}
{'短评内容': '都不错，就是地方不大好找！', '短评打分': 3}
{'短评内容': '位置还好 但是住的房间窗户外面四台大大的空调机箱  实在让人无语到家，一整晚都是轰鸣声。申请换房一直不给 可能真的是生意太好了。另外也不是所有的前台态度都很好。', '短评打分': 5}
{'短评内容': '酒店的位置很好，房间也挺干净的，就是空间有点小！', '短评打分': 3}
{'短评内容': '帮朋友预定的，方便，距离步行街很近，据说住的很号', '短评打分': 5}
{'短评内容': '挺好的，帮朋友预定的，感觉不错！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境一般，而且有味道~~不知道是神马，价格也一般般~不是很便宜啦', '短评打分': 1}
{'短评内容': '房间有点小，但是交通很便利，热水只够一个人洗澡用的，用完了要等会，卫生还可以，就是现在洗漱用品怎么都要花钱了呢？这不是酒店该提供的吗？', '短评打分': 5}
{'短评内容': '房间环境不错，卫生不怎么样，毛巾被套感觉不干净', '短评打分': 3}
{'短评内容': '住得还行，位置较好；但不提供早餐，且但电话只要打市话就要一块钱', '短评打分': 5}
{'短评内容': '很好很温馨，就是床的声音有点大。其他还好。卫生一般。位置也很好出门就是台东步行街。购物吃饭都很方便。下次还会住的。', '短评打分': 5}
{'短评内容': ' 略潮湿 房间。。', '短评打分': 3}
{'短评内容': '单鑫216', '短评打分': 3}
{'短评内容': ' 非常满意 服务很好', '短评打分': 3}
{'短评内容': '酒店没有电梯 \n还有就是噪音啊~~窗户关也不是开也不是  再也不去 而且吧台服务也差劲\n', '短评打分': 1}
{'短评内容': '酒店风格设计比较有创意，卫生间有些小，其他都还不错', '短评打分': 5}
{'短评内容': '卫生还可以，就是没有窗户，有异味。附近逛台东商业街非常方便', '短评打分': 1}
{'短评内容': '位置很好。虽然有一点吵。不过我不在意啦。挺好的', '短评打分': 5}
{'短评内容': '已经入住感觉还好', '短评打分': 3}
{'短评内容': '环境不错，性价比较高', '短评打分': 3}
{'短评内容': 'henhaohaihuituijian很不错', '短评打分': 5}
{'短评内容': '隔音效果不太好 房间还行', '短评打分': 3}
{'短评内容': '房间挺小的,台东八路上,紧邻威海路,很方便.', '短评打分': 5}
{'短评内容': '工作人员的服务还算不错，环境，老实说，对于经常出差的人来说，性价比稍稍差了一点。住在这里只是因为离朋友家比较近。哦，台东八路，威海路路口，位置非常不错。', '短评打分': 5}
{'短评内容': '前台的服务不错哈…赞一个', '短评打分': 3}
{'短评内容': '就靠着步行街，晚上出去吃饭玩比较方便，卫生很干净，打折后比较实惠，不打折的话有点小贵，房间小了点但很温馨。', '短评打分': 5}
{'短评内容': '离步行街很近，只是有点太吵了，晚上外面人声鼎沸', '短评打分': 5}
{'短评内容': '挺不错 环境不错  就是刚上装修了，油漆味太重 ', '短评打分': 5}
{'短评内容': '刚入住，服务态度不错，房间也挺整洁干净的', '短评打分': 3}
{'短评内容': '挺好的 离步行街特别的近  装饰很别致  前台很热情', '短评打分': 3}
{'短评内容': '酒店地理位置较好,设计的确较时尚,但是隔音效果差,喧闹,服务态度一般,无停车场.休息不好.', '短评打分': 1}
{'短评内容': '都挺好，就是没窗户，门上面的窗户太小了', '短评打分': 3}
{'短评内容': '房间挺大的，打扫挺干净，灯光挺好，不是很暗，基本设施都有，热水质量挺好。', '短评打分': 5}
{'短评内容': '房间设计的挺好，感觉挺温馨挺舒适的，卫生也很好，没什么异味，感觉挺舒适。', '短评打分': 3}
{'短评内容': '大堂设计还不错，看起来挺时尚的，房间挺干净，设施一般，床挺干净挺舒适的。', '短评打分': 3}
{'短评内容': '位置挺好，离海边很近，周边吃饭购物挺方便，内部环境挺干净的。', '短评打分': 5}
{'短评内容': '酒店规模不大，但是卫生很好，设施挺齐全，房间也挺宽敞，住的挺舒适。', '短评打分': 3}
{'短评内容': '一点没什么创意，一开始订了间商务大床，去了一看实在太小，换了间豪华大床，没看出多豪华，酒店隔音不好，一晚基本没睡着，不是开关门的声音，就是有人在说话，哎，无语。', '短评打分': 1}
