{'descr': '有味', 'star': 1}
{'descr': '没吃早餐，能加床，空调不能制热。', 'star': 3}
{'descr': '还好吧  ', 'star': 5}
{'descr': '与老年公寓一起，环境卫生设施一般，离中央大街略远，门前免费停车，服务比较人文，条件与价位相符，看您在意什么了', 'star': 4}
{'descr': '屋里比较冷，空调是摆设，屋内设施比较旧，优点地点比较好，价格便宜三张床', 'star': 5}
{'descr': '是个老年公寓，里面的设施都很老，空调只是个摆设，不能用，到的第一个晚上有无线，但是超级卡，之后一直没有网，打电话反映了也没修好，一直到离开都是没网，我住的三楼是没网，别的楼层不知道有没有，', 'star': 3}
{'descr': '说是套间，房间里边居然放着打扫卫生的垃圾车。冰箱里放着各种咸菜榨菜，一打开恶臭扑鼻，明明是保洁人员住的房间啊。  电视图像模糊不清，根本没法看。被子居然是黑的，用了大概二十年没换了吧  早晨4点半窗外就人声鼎沸，居然是早市，一直吵到9点，根本无法入睡。  携程给推荐的，这得拿多少回扣啊。', 'star': 1}
{'descr': '这个酒店的软硬件设施对得起这个价格！毕竟是哈尔滨，毕竟是松花江边', 'star': 5}
{'descr': '不错的选择，适合一家人出游住宿，经济实惠！', 'star': 5}
{'descr': '很不错、性价比比较高！', 'star': 5}
{'descr': '还可以的', 'star': 4}
{'descr': '还行，就是有点冷，但是确实便宜', 'star': 4}
{'descr': '房间价格比较实惠 酒店陈设比较老 隔音效果不好 空调不能用 总体来说价格实惠 尤其是10月1期间', 'star': 3}
{'descr': '酒店总体不错，价格合理，离江边近', 'star': 4}
{'descr': '交通方便，价格便宜，设施一般，服务可以。', 'star': 4}
{'descr': '位置偏僻，内部设施破旧，房间有很浓的药水味，大门前是一片垃圾地。对不起这个价格。', 'star': 1}
{'descr': '去中央大街步行仅需几分钟，去太阳岛直接步行过江真方便。设施有些老旧，不过倒还干净，如果对入住条件不是特别介意的话，是个不错的选择。', 'star': 4}
{'descr': '服务员不经过顾客同意 开门就进 培训质量太差', 'star': 3}
{'descr': '位置好紧临江边和游览景点，处闹市中却很肃静。服务态度好，卫生也可以，缺点是设施较旧一些。\n', 'star': 5}
{'descr': '服务态度不错，也挺安静，附近早餐点很多', 'star': 3}
{'descr': '就这个价格的酒店吧！当时找的时候找了好一会，因为在胡同里边~', 'star': 5}
{'descr': '酒店地理位置较好，服务态度较好。但卫生条件需要进一步改进。', 'star': 5}
{'descr': '地理位置好，楼有点旧，卫生还好。价位好，性价比不错，3人间方便。', 'star': 5}
{'descr': '很热情 环境也很好  地理位置不错 蛮好的', 'star': 5}
{'descr': '酒店位置不太好找，在小巷子里。离中央大街和兆麟公园都很近，酒店服态度都很好，价格便宜，只是酒店设施陈旧，卫生一般，床单貌似没洗净，牙膏不能用，因为太硬了，牙刷太烂了，也不能用.\n', 'star': 5}
{'descr': '交通方便，离中央大街和兆麟公园都很近，酒店服态度都很好，价格便宜，只是酒店设施陈旧，卫生一般，卫生间地上都是头发。', 'star': 5}
{'descr': '交通方便，服务好，房间温暖，房间陈旧，卫生一般。', 'star': 3}
{'descr': '酒店位置稍微有点偏，在小巷子里，不太好找。但是走路去防洪纪念塔和中央大街还是很快的，不远，这点比较加分。楼层管理员很热情，就是前台接待态度一般。房间还算干净吧。', 'star': 5}
{'descr': '环境不错，挺舒适的，就是空间有点小', 'star': 3}
{'descr': '房间很干净，服务太度也好。离儿童医院很近，给孩子看病很方便', 'star': 3}
{'descr': '房间大,虽然旧但是没有异味。位置很方便,出门就是江边,离中央大街也很近', 'star': 3}
{'descr': '有点小', 'star': 3}
{'descr': '交通比较方便，但是设施很陈旧，不是很卫生，服务也不是很好', 'star': 1}
{'descr': '酒店外观较为破旧，里面装修还好，主要是位置非常不错，走过去到中央大街非常方便，性价比还是不错的', 'star': 5}
{'descr': '没有网，没有空调，没有拖鞋', 'star': 3}
{'descr': '地段好，离江边、防洪塔、渡江码头都很近，距中央步行街也不远，度假的好地方。公寓条件还算好，3人的普间真的很方便一家三人出门在外游玩，价格也能接受得了，服务态度不温不冷，刚好喜欢。缺点还是有的，结算时不能用信用卡，不能上网。但出门玩也没空玩网游，只是查路线不在方便，但我还是愿意向朋友推荐，下次去哈尔滨玩，还住那，当然那要是不动迁。', 'star': 5}
{'descr': '设施比较陈旧，卫生条件差，刚开始看的房间的床居然有很大一块污迹都发霉了，后又换了间。本来订了两间家庭房结果一间就住了我们四大一小，类似套房的很大，有两个1.3单人床另还有二个类似行军床的简易单人床，所处位置极佳步行到中央大街和松花江畔5分钟即可。如不太要求高的话可以选择这种的经济些而已。如订两间标房的话就不太经济了，和房间条件比的话。不过我们次日就离开了，选择在中央大街上的七天住的。\n\n-----', 'star': 1}
{'descr': '价钱合适，我住的三人间，房间很大，住着还行', 'star': 5}
{'descr': '这酒店的服务太次了，房间还有异味。真是不好。', 'star': 1}
{'descr': '地理位置优越，旅游购物都很方便，还有早餐赠送呢，性价比高，下次会入住。如果酒店的装修和卫生能再改善一下，就完美了。', 'star': 5}
{'descr': '设施比较陈旧，不过性价比很好，关键是所处位置极佳步行到中央大街和松花江畔5分钟即可。', 'star': 5}
{'descr': '服务态度很好，但是设施陈旧，卫生很差，早餐不好吃。', 'star': 1}
{'descr': '价格合适，位置很好，服务也不错。特别是到松花江边和中央大街很近，附近吃东西也很方便。', 'star': 5}
{'descr': '帮朋友订的，朋友说房间很大，可是环境卫生很差劲。', 'star': 5}
{'descr': '服务态度非常好，设施也齐全，稍有陈旧，有点异味，但地点非常好，离江边，中央大街都非常近。好评！', 'star': 5}
