{'短评内容': '房間不错，環境不錯，以後出差，还会選擇這个酒店', '短评打分': 5}
{'短评内容': '前天台葛崇鹏服务态度非常好', '短评打分': 5}
{'短评内容': '刘子茜，服务好，环境一流', '短评打分': 5}
{'短评内容': '前台接待李聘服务周到', '短评打分': 5}
{'短评内容': '前王服务顾问王美服务一流', '短评打分': 5}
{'短评内容': '已经是第二次住该酒店了，酒店硬件设施不错，周围的环境也很安静，晚饭后可以出门绕着湖边去散步，环境一流。酒店的餐厅很有特色，价格也很适中。软件服务也很好，很热情周到。值得推荐。', '短评打分': 5}
{'短评内容': '这次出差选择了徐州开元，确实对得起5星称号。一进门就有礼宾员礼貌热情问候，还主动帮我拿行李箱，到前台后服务也很热情，尤其大堂副理韩菲女士，知道我不喜欢软床后，及时帮我调整了硬板床和荞麦枕。棒极了！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很棒，和以前一样。', '短评打分': 5}
{'短评内容': '很好，这些年一直钟爱的酒店。', '短评打分': 5}
{'短评内容': '酒店大堂很高大上，前台美女赵慧蓉服务也很好，赞一个！', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 4}
{'短评内容': '环境很不错，在云龙湖边上，晚上休息很安静。', '短评打分': 5}
{'短评内容': '在云龙湖边，晚上很安静，停车很方便，自助餐品种有点少。', '短评打分': 5}
{'短评内容': '在云龙湖边上，环境不错，自驾交通很方便，晚上很安静，能睡好觉。', '短评打分': 5}
{'短评内容': '一如既往好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '王梦的服务很周到，非常愉快', '短评打分': 5}
{'短评内容': '酒店环境很好，游泳池不错，免费的', '短评打分': 3}
{'短评内容': '开元的服务和环境还是一如既往的好，只是电视真的该换了。要不真的对不起5星的头衔了。', '短评打分': 5}
{'短评内容': '晚上入住的，下着雨，没时间逛逛，环境不错，菜品不错，房间有蚊子', '短评打分': 1}
