{'短评内容': '房间很大，很多帅哥美女', '短评打分': 5}
{'短评内容': '房间很大，设施也齐全，要是看展会的话很方便。', '短评打分': 5}
{'短评内容': '算是老顾客了，但是这次前台接待员服务差评，当时就想换另一家', '短评打分': 5}
{'短评内容': '第N次入住了，第一次觉得前台服务不好，可能是新来的，没见过，希望培训下', '短评打分': 5}
{'短评内容': '第N次住了，这次前台服务不是很好，希望改进', '短评打分': 5}
{'短评内容': '挺好的，京东的值得信耐！', '短评打分': 5}
{'短评内容': '房间很干净，卫生环境很好，床很大很舒服，酒店对面就是琶洲会展中心，地理位置很好，前台服务也很好，下次还会住这里', '短评打分': 5}
{'短评内容': '很不错，离南丰会展中心比较近，环境很好', '短评打分': 5}
{'短评内容': '房间够大，一大床，两小床。相当不错。地方偏了一点，就适合会展。家庭住也不错，但是估计旅游也不会到这个地方来', '短评打分': 5}
{'短评内容': '酒店环境很好，离开会的会场很近，徒步8分钟就可以到了，每次来这边开会都会定这里，底下还有条河，俯视尽收眼底！', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '地理位置很好，交通很方便，房子比较大，硬件很齐全，性价比很高。唯一遗憾是附近餐馆不多，和朋友跑去赤岗吃。', '短评打分': 5}
{'短评内容': '环境不错干净有微波炉电磁炉房间很大', '短评打分': 5}
{'短评内容': '不错，下次展会还预订这家酒店。', '短评打分': 5}
{'短评内容': '每次展馆就住这边，好地方。', '短评打分': 5}
{'短评内容': '很不错，公寓式酒店，服务很不错。', '短评打分': 4}
{'短评内容': '三人套房，环境不错，非常安静舒适。', '短评打分': 4}
