{'短评内容': '目前感觉是性价比最高的快捷酒店。特干净，特新。', '短评打分': 5}
{'短评内容': '一如既往，干净卫生。每次来商丘都是住锦江之星。', '短评打分': 5}
{'短评内容': '锦江之星还是一如既往的好，酒店好像开的时间还不是很久，被子什么的都还蛮新的，酒店位置也不错，附件吃饭的地方也多！', '短评打分': 5}
{'短评内容': '干净方便，下次去商丘还会去这儿，性价比超高。', '短评打分': 5}
{'短评内容': '干净，安全，交通便利，尽管出差有三星的标准，但还是喜欢这样的快捷酒店', '短评打分': 5}
{'短评内容': '不错  干净 温馨 挺舒适 周围有超市  饭店也多 挺方便的  下次出差还来', '短评打分': 5}
{'短评内容': '第一次住就这样的感觉 心寒', '短评打分': 3}
{'短评内容': '第一次入住，条件环境都挺好，服务周到，酒店设施不错，房间也很安静，下次一定光临。', '短评打分': 5}
{'短评内容': '住了很多次了，各方面都是不错的，卫生也不错，值得推荐', '短评打分': 5}
{'短评内容': '好的不说了，说一说不足吧，楼道内有点异味，不知道服务生有没有闻到？', '短评打分': 5}
{'短评内容': '这家酒店确实很满意，房间内的装修以乳白色为主，时尚而大方，各种细节处的服务组件酒店的用心！非常的满意！', '短评打分': 5}
{'短评内容': '床够大  房间够大  卫生间非常干净  环境安静 下次还住这', '短评打分': 3}
{'短评内容': '环境非常好！亿龙网服务也很好', '短评打分': 3}
{'短评内容': '空间很大,服务态度非常好、  周边很繁华,离即将开业的丹尼斯很近,购物很方便、', '短评打分': 5}
{'短评内容': '挺不错的酒店 交通也比较方便 下次来还会住的', '短评打分': 5}
{'短评内容': '  环境挺好 希望多开点分店…', '短评打分': 3}
{'短评内容': '环境不错！交通方便', '短评打分': 3}
{'短评内容': '床铺干爽，卫生，在这连绵的雨天，待在温暖干燥的房间算的上一种享受。\n室内布置简洁大方，服务质量也还不错。\n因为我早上到的太早了，服务员安排我先在大厅休息，等房间退了之后第一时间就通知到我了，并且提前办理了入住手续，非常好。', '短评打分': 5}
{'短评内容': '干净实惠 ，好，一向挑剔的喔，满意。', '短评打分': 3}
{'短评内容': '挺漂亮的 也挺大 不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错，就是装修有些吵。', '短评打分': 3}
{'短评内容': '很不错，不过没有早餐，位置也很好，很方便！周围设施也挺全，个别房间地板有翘起！', '短评打分': 5}
{'短评内容': '酒店还不错，干净卫生，设施齐全，前台服务也不错。', '短评打分': 5}
{'短评内容': '环境不错，服务速度太慢，办里入住花了半个小时~！', '短评打分': 5}
{'短评内容': '整体环境非常不错', '短评打分': 3}
{'短评内容': '干净舒适，快捷，服务员态度好。每天都能享受星级的服务，我在这里住了一周左右吧，后来都和服务员还有前台的人都成朋友了，很热情的。还有就是干净，每天都有专门的服务员定时的打扫房间，我们的东西每天都放得杂乱无章但是每天回来后都摆的整整齐齐，有种家的感觉！', '短评打分': 5}
{'短评内容': '九点还行，干净卫生，但是卫浴方面不怎么样！电梯要刷卡才可以，一个人出门，另一个人就无法乘坐电梯，服务还是蛮热情的', '短评打分': 5}
{'短评内容': '   锦江之星干净整洁     我喜欢', '短评打分': 3}
{'短评内容': '卫生很好！', '短评打分': 3}
{'短评内容': '服务很好，不过房间的地板有开裂现象，估计是施工不太好，个别房间的原因吧!', '短评打分': 5}
{'短评内容': '整体算是干净，服务态度也很好。虽然离步行街稍远，不过整体上还是比较满意的。因为在商丘待得时间不长，一只都是在外吃小吃，所以没有品尝到酒店的餐饮。等下次可以尝一尝。', '短评打分': 5}
{'短评内容': '乘坐客房电梯时需要刷房卡很是不方便。一般两人入住，一人在房间内，另一就无法乘电梯了。', '短评打分': 5}
{'短评内容': '我住过的最差的锦江之星，还说新装修的。房间里一塌糊涂。卫生巾的地砖很脏，明显是以前的没有弄过，锦江的卫生巾里有2个卫生纸筒，有2筒卫生纸，这是招牌\n这家没有！ 最差的锦江之星！！~', '短评打分': 1}
{'短评内容': '就如锦江之星一直以来的宣传一样：很舒适的床，很睡眠的枕头。只是，睡觉前忘记关窗户了，结果早晨被汽车声惊醒。', '短评打分': 5}
{'短评内容': '酒店环境好，比较卫生，但晚上有骚扰电话，很影响睡觉休息，早餐也很好，总体服务各方面都是不错的。', '短评打分': 5}
{'短评内容': '连锁都一样', '短评打分': 3}
{'短评内容': '房间宽敞，干净舒适。', '短评打分': 3}
{'短评内容': '锦江之星一直以来，值得信赖，服务优，卫生，环保，今后还住锦江之星。', '短评打分': 3}
{'短评内容': '酒店不错 ，环境不错交通便利~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '因为刚开业服务态度不是很好，办理入住手续等半天。', '短评打分': 3}
