{'短评内容': '早餐一般吧，不是太丰富', '短评打分': 5}
{'短评内容': '酒店在鼓楼附近的巷子里，较安静，有利于休息，逛街美食都方便，唯一不好的一点是，地上铺的地毯，感觉不是很卫生。', '短评打分': 5}
{'短评内容': '没有网，一晚上没修好！！！', '短评打分': 2}
{'短评内容': '离鼓楼很近。', '短评打分': 5}
{'短评内容': '有停车场，离鼓楼也近。', '短评打分': 4}
{'短评内容': '酒店地理位置不错，离鼓楼近', '短评打分': 5}
{'短评内容': '服务好，干净卫生，交通方便', '短评打分': 5}
{'短评内容': '干净整洁，安静，交通方便，服务热情', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错呦', '短评打分': 5}
{'短评内容': '很不错的地段与房间设施，干净，性价比高，比隔壁如家好多了。', '短评打分': 5}
{'短评内容': '好好好好好的', '短评打分': 5}
{'短评内容': '房间不大，比一般的地方描述有夸大。不够过艺龙预订比它的会员卡要便宜不少 。', '短评打分': 3}
{'短评内容': '洗澡竟然热水，出来的水顶多二三十℃。', '短评打分': 3}
{'短评内容': '快捷连锁酒店，感觉价格还可以，房间空调不给力，周围环境还算方便。', '短评打分': 4}
