{'短评内容': '还能说的过去，就是晚上太可怕了，没有见到任何人', '短评打分': 4}
{'短评内容': '无线网不好', '短评打分': 5}
{'短评内容': '无线网不好', '短评打分': 5}
{'短评内容': '无线网络不太好', '短评打分': 5}
{'短评内容': '无线网络不太好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '空调制热没效果，床上冰凉，无奈只能被子睡一半盖一半，还不如当地的连锁快捷酒店。', '短评打分': 2}
{'短评内容': '酒店位置不错，就在溱湖边上，周末自驾游很方便。', '短评打分': 5}
{'短评内容': '房间竟然没有Wi-Fi，住宿登记要跑到住处对面300m的另外一幢楼，退房亦是如此。累！', '短评打分': 4}
{'短评内容': '基本上没有服务，设备老旧，下水不好！', '短评打分': 4}
{'短评内容': '平时人好少，登记都要在对面的大堂。', '短评打分': 4}
{'短评内容': '蛮好的，环境好，出游也方便，晚上还有篝火晚会', '短评打分': 4}
{'短评内容': '环境很好，就在溱湖边上，空气很新鲜，房间也不错', '短评打分': 5}
{'短评内容': '和家里人一起去的，位置较好。其他一般。', '短评打分': 4}
