{'短评内容': '预订个别人住的。', '短评打分': 5}
{'短评内容': '很好，设备也不错，附近也有商场很便利，楼下饮食的也很多，唯一不足就是在修路灰尘比较多，不过下次也会住这里的。', '短评打分': 5}
{'短评内容': '很好，设备也不错，附近也有商场很便利，楼下饮食的也很多，唯一不足就是在修路灰尘比较多，不过下次也会住这里的。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '很久沒去住了房價很便宜不錯 感覺一進去暗暗的 進房間覺得東西都老舊了 椅套也沒什麼在清洗 完全就是一個不敢坐的椅子 出門買水回來要放冰箱 裡面竟然有兩杯飲料 而且已經發臭了 哥也是暈了 下次不會想再去了', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '性價比高！地點好！周邊設施齊全！酒店為新環境OK！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '晚上入住的时候门锁竟然是坏的，前台不给换房，不给换房，不给换，怎么不给换房。是想等小偷进去作案吗？劫色怎么办', '短评打分': 4}
{'短评内容': '先去看了酒店的设施和环境，给你看的是最好的房间，可是在网上订的时候给到你的房间就完全不同。', '短评打分': 4}
{'短评内容': '干净整洁，出行购物方便，距离动车和火车站比较方近，周边是大型商场和星级酒店，后面还有高档写字楼，总体来说挺不错', '短评打分': 5}
{'短评内容': '干净，设施齐全，性价比较高，很适合情侣出游。', '短评打分': 4}
{'短评内容': '干净，设施齐全，性价比较高，很适合情侣出游。', '短评打分': 3}
{'短评内容': '真的非常差，床被和毛巾都是旧得不能再旧，进去时有一股烟味，地板有两个烟头、不要被酒店的图片骗了，不要住这家酒店。', '短评打分': 3}
{'短评内容': '位置不错，周边用餐逛街很方便。', '短评打分': 5}
{'短评内容': '预定价位和实际价格不符，预订价格150，实际价格120多块！', '短评打分': 4}
