{'短评内容': '厕所卫生很差，梳妆台上看着很脏', '短评打分': 4}
{'短评内容': '非常非常好。', '短评打分': 5}
{'短评内容': '还不错，有简单早餐', '短评打分': 5}
{'短评内容': '交通方便，床很舒服。', '短评打分': 5}
{'短评内容': '房间不错，岀行方便。', '短评打分': 5}
{'短评内容': '速度快，品种不多，差不多，', '短评打分': 3}
{'短评内容': '速度快，品种不多，差不多，', '短评打分': 5}
{'短评内容': '一班，，，，，，，', '短评打分': 5}
{'短评内容': '不错不错。继续保持。如果能把洗漱用品稍稍提高就更完美了', '短评打分': 2}
{'短评内容': '经济实惠。房间整洁敞亮。多次入住感觉超好', '短评打分': 2}
{'短评内容': '特别的差。就是一狗窝。卫生间小到可伶。洗漱用品也不整洁。反正就一个字永不再去！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 5}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '很好 还会去的。', '短评打分': 5}
{'短评内容': '住了多次，还会去，挺好。', '短评打分': 5}
{'短评内容': '酒店早餐一般，毕竟酒店上了一定的时间了，设施有老化现象。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置不错，交通方', '短评打分': 5}
{'短评内容': '很不错，住的很好啊，很满意啊。', '短评打分': 5}
{'短评内容': '乍一看，以为整栋楼都是宾馆，这价位绝对值，进来一看，小小的一个门面，得，将就吧。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '已经入住。', '短评打分': 3}
{'短评内容': '房间很大，配置还是齐全，就是卫生间有点差劲！', '短评打分': 3}
{'短评内容': '酒店总体环境不错，但是普通间设施太老了。', '短评打分': 5}
{'短评内容': '位置不错，到哪都方便，就是设施有点旧，卫生间应该重新装修下！', '短评打分': 5}
{'短评内容': '还是进来住了，一环路周边还真找不到性价比超划算的酒店', '短评打分': 1}
{'短评内容': '一般吧，房间比较大，但是有点显旧 这个价位不错了~', '短评打分': 1}
{'短评内容': '还行，订了2天，帮同事订的！但是设备比较陈旧！', '短评打分': 5}
{'短评内容': '还是挺不错的…要是有无线网就最好了', '短评打分': 3}
{'短评内容': '订的138的，中午到的比较早，可能很多还没退房，所以换成158的了。条件一般，里面的设施也是一些基本的，自我感觉性价比不是很高。下次可能不会再去了。', '短评打分': 1}
{'短评内容': '一环路,地理位置很好,性价比很高,酒店设施一般,房间很大,略显空旷,晚上还有人打内部电话骚扰,直接拔的电话线,相当之纠结,总体还不错,值得推荐。', '短评打分': 5}
{'短评内容': '还好~~就是人比较多~酒店设施一般~~帮同事订的~~', '短评打分': 5}
{'短评内容': '早饭很不错，酒店房间够大，热水也不错，就是所处的位置应对有所考虑，离一些景点不近，整体很满意。', '短评打分': 5}
{'短评内容': '房间太空旷了！', '短评打分': 3}
{'短评内容': '性价比很高、位置也不错！', '短评打分': 3}
{'短评内容': '交通便利，服务态度好，房间很整洁，以后还会入住的。', '短评打分': 5}
{'短评内容': '一切都还行，唯一的缺点就是太吵了点.。。。。。。', '短评打分': 5}
{'短评内容': '帮同事订的，同事觉得还可以~就是那天电视信号断了，没有看成电视！', '短评打分': 5}
{'短评内容': '干净整洁,性价比高,就是装修有点旧了.对于工薪阶层还是很好的.\n', '短评打分': 5}
{'短评内容': '感觉还可以，在一环路上这个位置价格也相对便宜，而且很安静，就是卫生间太小了，洗澡和如厕不能分开', '短评打分': 5}
{'短评内容': '感觉很一般，里面太旧了。其他也没什么好说的。', '短评打分': 3}
{'短评内容': '酒店一般,如果下次再去成都,这家酒店如果没有新装修,将不会再考虑', '短评打分': 1}
{'短评内容': '环境可以，就是厕所不太整洁！！！\n\n被子 枕头 都很干净，隔音效果也不错，基本听不到隔壁2口子的 声音', '短评打分': 5}
{'短评内容': '房间很大，但是价钱很不稳定~ 还有就是没有一次性拖鞋~~虽然在一环路边上倒也安静~', '短评打分': 1}
{'短评内容': '环境不错，', '短评打分': 3}
{'短评内容': '干净整洁，就是装修老了店，不过经济实惠。', '短评打分': 5}
{'短评内容': '性价比高，干净整洁，就是有同一楼层的房间是不是酒店的，而是别人公司办公用的，感觉怪怪的，装修有点旧了', '短评打分': 5}
{'短评内容': '房间灯光太暗了，其他的还好！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '挺好的，环境服务都挺好。\n房间大且宽敞\n还住在高层，景色也好', '短评打分': 5}
{'短评内容': '这家店在成都有很多。但是这个店很差，房间比较陈旧。前台服务也不好，办入住的时候交了押金就必须马上交当天的房钱。', '短评打分': 1}
{'短评内容': '性价比很高，交通方便，房间也很舒适，下次还会住', '短评打分': 5}
{'短评内容': '感觉还可以，服务员很热情！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '服务员态度还要再好点，虽有补贴但停车费贵得很。', '短评打分': 5}
{'短评内容': '设施陈旧，配套落后！周边吃饭的地方都没有！在那个位置还有更好的酒店！而且价格差不多！卫生间竟然要浸水！我晕哦！外面车声音大！感觉睡不舒服！', '短评打分': 1}
{'短评内容': '  感觉还是多不错的··· 反正住着挺舒服····· 可以推荐朋友们入住，而且房间内还有挺多常用的东西，价格呢也比较合理。早餐挺不错。消费比较适合大众。最主要是挺干净', '短评打分': 5}
{'短评内容': '将就吧，房间倒是大，就是太空，不温馨，设施也超级一般，墙门都裂口的', '短评打分': 3}
{'短评内容': '房间很大，不错。但是厕所有股怪味不知道怎么回事\n\n空调的制冷效果一般，要比较久才能凉下来\n\n                                                                                                                            ', '短评打分': 5}
{'短评内容': '舒服舒服舒服\n反正就是很舒服\n和那边那家店比起来这边要稍微便宜些\n房型好像不一样\n那边138的是小公寓一样的\n这边的就是标间\n总是就是很舒服 ', '短评打分': 5}
{'短评内容': '环境、服务、卫生都还不错，就是早餐过于简单！', '短评打分': 5}
{'短评内容': '环境挺好的，干净整洁，就是隔音效果不太好。', '短评打分': 5}
