{'短评内容': '总体来说不错性价比不错', '短评打分': 4}
{'短评内容': '早就在网上定好，在地铁附近蛮方便的，卫生一般般&amp;hellip;&amp;hellip;', '短评打分': 5}
{'短评内容': '环境幽静，出门放便，周边商业设施齐全', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置好找，就在地铁附近，步行几分钟就三五分钟路程。有餐厅，订的是含双早的房间，价格实惠，品质优，前台服务特别好，住着舒心', '短评打分': 5}
{'短评内容': '环境幽静，地理位置好，出门就是地铁，周边服务设施齐全，酒店卫生干净，价格也合适，以后来还会选择天目湖的！', '短评打分': 5}
{'短评内容': '还不错，价格合适，位置不错。只是服务有点问题，前台没有一个人，我说入住登记，半天不理我', '短评打分': 5}
{'短评内容': '跟你交易次次都这么成功和开心的', '短评打分': 5}
{'短评内容': '不错，住了好几次', '短评打分': 5}
{'短评内容': '房间无窗，设施很差。不再入住', '短评打分': 1}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店很好，就是房间太老', '短评打分': 5}
{'短评内容': '床真的很大，', '短评打分': 4}
{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '价格在这个区还算可以，有免费小停车场，但是车位有限，晚上到的晚就没有位子了。地理位置较好。交通方便。    希望改善早餐，太少品种了，WIFI 以后一定要安装，现在很少看到WIFI还要再领设备才可以使用的酒店。', '短评打分': 5}
{'短评内容': '优点：位置不错，附近吃东西还算方便，有自己的小停车场，停车不用卡，免费，还算安静。    缺点：WIFI需要领取适配器，第一天没有领，第二天才给留了一个，老酒店较旧，服务一般，早餐非常简单。', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '回家咯哦，换凑合吧，一般般啦', '短评打分': 3}
{'短评内容': '帮同事订的~他说一般般吧~估计过得去~还可以住~~', '短评打分': 5}
{'短评内容': '性价比高，很安静舒适', '短评打分': 3}
{'短评内容': '不错的酒店，价位也不错，空调是中央的，水也很大', '短评打分': 5}
{'短评内容': '酒店不错，交通便利，下了沪宁高速不远就是，靠近地铁11号线枫桥路站，酒店有停车场。我们一家三口订了标间，只有2张早餐券，过了一会另外再加送了1张早餐券。虽说早餐一般，但是能吃饱。', '短评打分': 5}
{'短评内容': '早餐太过简单就如招待所，宾馆酒店的招牌菜天目湖鱼头做的远不如以前的质量且口感不佳不像野生的。', '短评打分': 1}
{'短评内容': '酒店各方面条件一般，也就是二百元左右的水平。卫生条件还算可以，不过隔音效果让人不是满意。房间里面的收费项目标签贴的很小，要留意！吃了袋话梅，明明标的是12，结账非要说是15，好在袋子没扔，前台就解释说贴错了，真汗！不过前台服务态度还是不错的。', '短评打分': 1}
{'短评内容': '房间住着还算舒适，位置还行，出行方便，硬件陈旧了些，服务很一般，卫生条件倒是不错的', '短评打分': 3}
{'短评内容': '环境好，很安静，酒店的餐饮比较有特色，大堂装修的不错，属于中式风格，卫生和服务都不错', '短评打分': 5}
{'短评内容': '服务态度好，随叫随到，房间设施齐全，就是有些陈旧，卫生条件很好，比较干净，其他都很一般化', '短评打分': 3}
{'短评内容': '位置一般，距离市中心远了些，出行还算方便，房间硬件齐全，服务很好，卫生条件不错，打扫的干净，房间舒适度蛮好的', '短评打分': 5}
{'短评内容': '服务好，卫生方面不错，性价比高，位置出行方便', '短评打分': 5}
{'短评内容': '酒店整体装修的比较别致，服务员的服务很贴心，房间住着舒服，位置不错，出门就有公交车站和地铁', '短评打分': 5}
