{'短评内容': '环境挺干净的，不错哦', '短评打分': 5}
{'短评内容': '满意漂亮喜欢', '短评打分': 5}
{'短评内容': '由于是地毯，难免会有霉味。价格挺合理，卫生还不错', '短评打分': 4}
{'短评内容': '比较满意 很舒适', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '只能说一般，勉强可入住，', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '几次去福州办事都住那，性价比还可以，100多元还带早餐。比边上的龙祥便宜20元，设施设备差不多的，早餐差了点不过看在价格的份上吃饱就行了', '短评打分': 4}
{'短评内容': '总体还是不错的，房间装修后比以前好多了，很整洁，但是窗户好多房间都关不严，外面声音有点大，比较吵，早餐也比较简单，还算了吧，值得推荐，入住体验还可以！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '有望从服务提升', '短评打分': 4}
{'短评内容': '酒店早餐没有去吃不知道如何，前面有停车场停车比较方便，但电梯需要刷卡才能上去有点不方便，房间比较大，通道卫生还可以，屋里面的地毯是蓝色的，走进去有很旧的感觉，玻璃窗体也不隔音，卫生间洗澡间也蛮大的，但卫生也不是很干净有点味道。总体一般。', '短评打分': 3}
{'短评内容': '很吵', '短评打分': 4}
{'短评内容': '东西都挺差的，不满意', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施老旧了一些 ！', '短评打分': 4}
{'短评内容': '省肿瘤医院附近一座还算过去的酒店，实际距离一公里。医院门口那些小旅馆卫生条件太差。', '短评打分': 3}
{'短评内容': '照片比实际的好看，旁边修路', '短评打分': 4}
{'短评内容': '很不错的房间，很干净，很新。下次还会来', '短评打分': 5}
{'短评内容': '之前订的是商务房，发现和想象的有差别，房间很小，卫生间很大，很旧，所以就换了豪华的大床房，换完后感觉很好，卫生间很干净，也有经过精心的设计，房间也比商务房大许多，还有配电脑，楼下就有酒楼，而且做菜很好吃。', '短评打分': 5}
{'短评内容': '世纪金茂大酒店还算比较干净，交通方便，要是有无限上网更好了。下次来还是可以考虑的。', '短评打分': 3}
