{'短评内容': '酒店不错，酒店工作人员服务也挺好的，就是位置有点偏', '短评打分': 5}
{'短评内容': '早餐少，房间设施旧，不干净，周边荒凉。', '短评打分': 2}
{'短评内容': '酒店设施不错', '短评打分': 5}
{'短评内容': '早餐可以住宿条件不错', '短评打分': 5}
{'短评内容': '号称最好的温泉酒店，但服务还是差点，房间里居然没有一次性拖鞋。', '短评打分': 3}
{'短评内容': '那个位置价格偏高', '短评打分': 4}
{'短评内容': '小贵', '短评打分': 4}
{'短评内容': '酒店不错就是附近吃饭啥的太不方便了，距離市區40公里左右', '短评打分': 4}
{'短评内容': '洗温泉给客户定的', '短评打分': 5}
{'短评内容': '陈旧了', '短评打分': 4}
{'短评内容': '酒店很干净,温泉环境也好。。。不错!', '短评打分': 4}
{'短评内容': '展会住在这里 由于该地区刚刚开发不久 所以周围还是比较荒凉的。好在酒店设施服务都还不错。自助餐和餐厅饮食一般。', '短评打分': 4}
{'短评内容': '室外开的池子有点少，环境一流，孩子也很喜欢', '短评打分': 5}
{'短评内容': '服务一级棒！环境一级棒！玩得很好很开心～还会再去', '短评打分': 3}
{'短评内容': '不错的酒店，在这个偏僻的地方，相对其他九点位置算不错的！', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '本酒店很好！物美价廉！', '短评打分': 3}
{'短评内容': '不错的温泉酒店，服务硬件都不错，性价比较高的，还会再光顾', '短评打分': 5}
{'短评内容': '非常好的酒店，环境好，服务好，卫生，交通便利。', '短评打分': 5}
{'短评内容': '新修的 环境设施有待提高！。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境尚可，交通还算便利。可能是近期下雨的缘故，入住后发现房间里的被子虽然干净，但是散发着霉味。硬件设施很好，但是其它服务别没有体现出相应的水准。单就温泉来说，远不及附近的艾丽华酒店。周五执行的是周末高票价，但是却没有提供相对应的服务，好多原本在周末开放的设施都没有开放。早餐很丰盛，品种丰富，口味也好。晚餐是一场噩梦，中餐厅毫无特色可言。说它是农家口味，还不如对面的农家宴好吃。房间里也没有供客人点餐', '短评打分': 1}
{'短评内容': '非常喜欢！房间很大~餐饮吃的也不错~还会再次入住的~', '短评打分': 5}
