{'短评内容': '一般吧  就那样，这个价格还能怎么样。经济适用而已', '短评打分': 4}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': 'good enough', '短评打分': 5}
{'短评内容': '真的跟烂，不要去', '短评打分': 2}
{'短评内容': '很好很 干净', '短评打分': 5}
{'短评内容': '隔音很差，半夜有人喝醉酒在走廊大吵大闹，极差的体验', '短评打分': 3}
{'短评内容': '周末过来没提前预约，以为没房间，想不到还能找到双人标间，更没想到还碰上南京老乡，有种宾至如归的感觉，很棒！', '短评打分': 5}
{'短评内容': '爸爸说房间感觉很脏', '短评打分': 2}
{'短评内容': '朋友说很差', '短评打分': 1}
{'短评内容': '这几天房价有点贵，周围环境有点噪音大', '短评打分': 5}
{'短评内容': '好', '短评打分': 1}
{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '地理位置好，吃喝玩乐方便，房间太小，且卫生一般！', '短评打分': 3}
{'短评内容': '一句话：很好！', '短评打分': 5}
{'短评内容': '挺好的。就是下面比较吵', '短评打分': 3}
{'短评内容': '挺干净的，很舒服。就是有点偏了!房间也有点小，不过整体来说还是不错的！', '短评打分': 5}
