{'短评内容': '房间宽敞，有免费wifi', '短评打分': 4}
{'短评内容': '挺好的 房间很大 干净', '短评打分': 4}
{'短评内容': '还不错，性价比高', '短评打分': 4}
{'短评内容': '房间还不错，位置也还行！', '短评打分': 4}
{'短评内容': '其实总体来说还可以就是装修太老，没有翻修，有一种旧旧的感觉，而且显着不干净', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '招待朋友 附近酒店满房 安排到苹果主题 房间在苹果社区楼上 房间很大也很安静 但硬件设施有待加强', '短评打分': 4}
{'短评内容': '自己出去玩住着比较合适交通也算便利', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '哈哈好的好的好的！', '短评打分': 5}
{'短评内容': '还行吧，就是设施不多， 酒店的掌柜挺好的。', '短评打分': 3}
{'短评内容': '酒店没有热水，电视也无法打开，退房时没有发票，要邮寄，酒店办理入住十分不方便，要从A座办入住，跑到B座去住，中间隔了一个楼很不好找，性价比极不高，还不如七天、如家、锦江这些经济连锁酒店，如果是出公差，建议大家别选。', '短评打分': 1}
{'短评内容': '也就一般', '短评打分': 4}
{'短评内容': '一般都是一般就是一般', '短评打分': 3}
{'短评内容': '不错，回头客。', '短评打分': 4}
{'短评内容': '房间就是公寓房，挺大的，但是收拾得不是很干净，被子还有沙发感觉不够干净，希望能继续改善。小区环境倒是很好，很多书屋画廊。', '短评打分': 1}
{'短评内容': '毛巾太脏', '短评打分': 3}
{'短评内容': '好！80平米的大房间。有冰箱，洗衣机，厨房，适合旅游长期居住。', '短评打分': 5}
{'短评内容': '干净，明亮，安全，有家的感觉。接待人员热情。楼下是成批的艺术馆。周末住那里不愁没有地方去。', '短评打分': 5}
{'短评内容': '好 不错方便房间宽敞，电视很大，下次还去，就没有早餐好 不错方便房间宽敞，电视很大，下次还去，就没有早餐', '短评打分': 5}
