{'短评内容': '插卡供电有问题，时不时就断电，淋浴设备坏的，总得来说不值', '短评打分': 2}
{'短评内容': '一般般吧！', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '服务挺好的！', '短评打分': 4}
{'短评内容': '还不错，网络可以。', '短评打分': 3}
{'短评内容': '酒店服务还行', '短评打分': 3}
{'短评内容': '实际就是一个旅馆，浴室的玻璃门是坏的，牙膏是无法挤出来的。130元的价格在咸宁来说算贵的了。', '短评打分': 1}
{'短评内容': '前台服务还满好，楼层服务员态度及差，希望可以改进，毕竟价格相对来说不便宜', '短评打分': 3}
{'短评内容': '还可以，离温泉比较近，附近很多酒店！价格再优惠点就满意了', '短评打分': 5}
{'短评内容': '挺好，干净，网速不错，房间大，但是有的房间网速不给力。。总之很好，离温泉也近。。好评', '短评打分': 3}
{'短评内容': '环境还行 关键是早上很嘈杂、喧闹。基本上7：30以后就睡不着了的 ', '短评打分': 1}
