{'短评内容': '非常不满意', '短评打分': 1}
{'短评内容': '还可以，但是去的时候装修，酒店有点旧。', '短评打分': 3}
{'短评内容': '房间设施旧，有的地方有大片霉斑，看着不干净！电视信号不好！床头灯不好用！卫生间卫生好一些，但放半天没热水！电梯坏了，8据说要三天修好，我走着上六楼！晚上要加个枕头都不给！早晨有个小哥比较热情帮我找吃早餐的地方感觉还好些！临街有点吵！招待所档次吧！', '短评打分': 3}
{'短评内容': '房间干净 整洁 舒适 洗浴特别舒服  Wi-Fi名不虚传 最有特色的 楼下有个海鲜美食广场 价廉物美一饱口腹之欲', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '前台登记的时候就没有好脸色，完了退房开发票还不给全开，扣了一部分，没见过这么烂的服务，携程怎么能与这种酒店合作？？？', '短评打分': 2}
{'短评内容': '挺安静的个地方 24小时热水，就是房间布局有点窄1111111', '短评打分': 5}
{'短评内容': '客房硬件就这个价位来说还可以吧', '短评打分': 3}
{'短评内容': '整体不错，交通也比较方便，价格也比较公道。。。', '短评打分': 5}
{'短评内容': '服务员比较差--------------------------------------------', '短评打分': 1}
{'短评内容': ' 该四通园酒店总体感觉不错，下次还会住   ，我定了两间，但短信只通知一间，还有一间名字方爱华，是我一起付费的。李欣新', '短评打分': 3}
{'短评内容': '酒店说是新装修，环境很好，入住时候一看，太一般了，失望，房间竟然不提供宽带上网，还大酒店，我看和招待所是一个级别的，总之，两个字：失望！', '短评打分': 1}
{'短评内容': '挺好的位置，附带的美食园的特色很应该多尝尝，性价比超高', '短评打分': 5}
{'短评内容': '卫生条件不错,硬件和软件条件方便都比较到位,综合水平挺好的,,性价比很高.', '短评打分': 5}
{'短评内容': '酒店的卫生很干净呢，窗明几净，很配合海口这个城市嘛', '短评打分': 5}
{'短评内容': '交通很方便，距离汽车站，火车站都很近，价钱比较低，性价比高', '短评打分': 5}
{'短评内容': '酒店是新近装修的，设施很新，用起来很好很强大，值得推荐啦', '短评打分': 5}
{'短评内容': '酒店的服务项目齐全，应有尽有，作为出差来的，我的要求是满足了，应该值得推荐吧', '短评打分': 5}
{'短评内容': '我觉得这个酒店的海鲜是值得一提的，味道真的很不错，喜欢海鲜的朋友一定要尝的', '短评打分': 5}
