{'descr': '卫生情况很差', 'star': 3}
{'descr': '位置非常好，交通方便，价格也实惠，很不错！', 'star': 4}
{'descr': '附近沒太多東西吃, 購物也不方便, 而且位置不太好找, 上網要輸入電話號碼..比較煩,以及速度慢, , 唯一要讚前台服務員, 有位女服務員親自上門幫我SET WIFI..謝謝!!', 'star': 4}
{'descr': '还是不错的', 'star': 5}
{'descr': '连锁酒店比较放心的', 'star': 5}
{'descr': '在一栋高楼背后，住7楼顶层，无线网连不上，没什么人感觉挺安静。黄色小广告发的猖獗，感觉店内和他们有联系，定点发放，热水温度不够。', 'star': 5}
{'descr': '一如既往的好，关键是停车方便。 马路对面有星巴克，胥城大厦的鲜肉月饼很值得推荐。 走到石路也不是很远。', 'star': 5}
{'descr': '房间较小 ', 'star': 5}
{'descr': '不错出行还是非常方便的', 'star': 5}
{'descr': '便宜', 'star': 5}
{'descr': '便宜', 'star': 5}
{'descr': '很赞', 'star': 5}
{'descr': '紧急入住，还算方便，就是服务人员有点歧视少数民族。', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '就是小了点', 'star': 5}
{'descr': '还可以吧', 'star': 4}
{'descr': '酒店经济实惠，就是位置比较偏僻一些，不过还好了，下次还会选择入住。', 'star': 5}
{'descr': '一般还行，就是有许多小卡片。。。。。。。。。。', 'star': 5}
{'descr': '价位尚可，位置方便，就是早餐比较简单。适合出差居住。', 'star': 5}
{'descr': '便宜舒适 但是有点迷你  小了点 周围吃的地方少了点', 'star': 5}
{'descr': '酒店位置很难找！房间潮味非常大！设备烂的不能在烂了！马桶还有尿骚味！一个字  烂！', 'star': 1}
{'descr': '交通便利，周边出行购物生活都非常便利，酒店很干净！', 'star': 5}
{'descr': ' 还不错，比较安静，就是床比较小', 'star': 3}
{'descr': '环境不错，服务还行，美中不足是有蚊子', 'star': 3}
{'descr': '环境不错，服务还行，美中不足是有蚊子', 'star': 3}
{'descr': '基本还不错，网速不大好，隔音效果也不太好', 'star': 5}
{'descr': '基本还不错，网速不大好，隔音效果也不太好', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '说是体育中心店，可是离体育中心确实有蛮长的距离，里面倒是挺干净的，就是夏季的蚊子太多了，要是住还是准备好蚊香吧，酒店的蚊香不顶用', 'star': 5}
{'descr': '说是体育中心店，可是离体育中心确实有蛮长的距离，里面倒是挺干净的，就是夏季的蚊子太多了，要是住还是准备好蚊香吧，酒店的蚊香不顶用', 'star': 5}
{'descr': '房间比较小，比较旧，但是价格比较便宜，离地铁站有一点远，要走10多分钟才到', 'star': 5}
{'descr': '房间比较小，比较旧，但是价格比较便宜，离地铁站有一点远，要走10多分钟才到', 'star': 5}
