{'短评内容': '整体不错 就在湖北大学院墙外面，交通便利，餐馆也不错。', '短评打分': 5}
{'短评内容': '本来靠近湖大，由于修地铁，有点闹，也还幽静', '短评打分': 4}
{'短评内容': '还不错  房间大 但环境一般 ', '短评打分': 4}
{'短评内容': '离湖北大学非常近，方便', '短评打分': 4}
{'短评内容': '离湖北大学近，很方便', '短评打分': 4}
{'短评内容': '环境真的很糟糕。优点就是离湖北大学西北门近，考试方便。', '短评打分': 3}
{'短评内容': '为考试而定的，位置很好，离考场非常近，设施一般，比较老旧，总体比较干净，洗澡的地漏不下水。因为考试要到12点半，和前台商量延迟一点退房，完全不给商量。', '短评打分': 5}
{'短评内容': '位置离湖北大学很近，就是晚上施工太吵了', '短评打分': 5}
{'短评内容': '长期住的酒店，湖北大学旁边，不错', '短评打分': 5}
{'短评内容': '真的很一般哦', '短评打分': 2}
{'短评内容': '雅思考点近 ！', '短评打分': 5}
{'短评内容': '旁边在施工，声音有点大，墙壁有脱落的地方，总之一般般。主要是离学校近，才住的这个酒店。', '短评打分': 5}
{'短评内容': '酒店设施比较简易，不过住着比较舒服，离湖北大学很近，很方便，下次来还住这', '短评打分': 4}
{'短评内容': '不错，性价比高，舒适', '短评打分': 5}
{'短评内容': '不错，性价比高，舒适', '短评打分': 5}
{'短评内容': '不错，性价比高，舒适，环境好，学校附近，交通便利', '短评打分': 5}
{'短评内容': '该酒店环境很好，干净卫生，经济实惠，距离大学很近。', '短评打分': 5}
{'短评内容': ' 环境还不错！性价比价高！就是网速偏慢！整体上值！', '短评打分': 3}
{'短评内容': '酒店环境和设备都还不错，大堂给人感觉还是有档次的。', '短评打分': 3}
{'短评内容': '该酒店离湖北大学很近，酒店设施齐全，住着很舒服！', '短评打分': 5}
{'短评内容': '房间还可以比较干净，衣柜很不错，空调效果很好，卫生间很大半透的玻璃设计，空间感强，提2点意见：1、被子太厚，这个天气建议最好提供一条薄被或毯子，晚上不盖会冷，盖了很热。2、房间隔音效果不好，建议门窗加密封条。', '短评打分': 5}
{'短评内容': '；己入住”酒店服务良：房间比较干净；就是房间电话不能打；放着是摆祥子的；', '短评打分': 3}
{'短评内容': '环境还好，住得很舒服', '短评打分': 3}
{'短评内容': '酒店的位置距离武汉有名的景点比较近，如黄鹤楼，省博物馆，汉街，东湖，户部巷。从酒店打的士到那些景点都在20元以内。只是酒店的房间的设施有点旧，不过性价比还可以。而且出门就能看到公交站，只是去很多地方都要转车，所以打的士比较方便。', '短评打分': 5}
{'短评内容': '酒店的位置距离武汉有名的景点比较近，如黄鹤楼，省博物馆，汉街，东湖，户部巷。从酒店打的士到那些景点都在20元以内。只是酒店的房间的设施有点旧，不过性价比还可以', '短评打分': 5}
{'短评内容': '因为念研究生的缘故，每次到湖北大学都会入住最近学校的这家九坤酒店。酒店不算新，装修也有点简单，但是胜在位置好，性价比高，凭学生证还可以打折。', '短评打分': 5}
{'短评内容': '卫生等等还可以，靠在马路边，窗户隔音不好，有点吵。', '短评打分': 3}
{'短评内容': '还行，卫生还可以。可以上网，不错！', '短评打分': 3}
{'短评内容': '离我办事的湖北大学近，图个方便。酒店还比较干净，符合经济型快捷酒店的特点。', '短评打分': 5}
{'短评内容': ' 环境过得去、但是早上外面太吵被吵醒', '短评打分': 3}
{'短评内容': '距离湖北大学很近，服务态度很好，环境也不错哦！两百块钱以内 ，值得居住！', '短评打分': 5}
{'短评内容': '离湖大很近，房间也比较大，但是隔壁住的人很晚还在闹腾，隔音效果不太好。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店卫生情况很好，感觉很舒服，就是隔音不很好', '短评打分': 5}
{'短评内容': '住房环境可以，双层窗帘，拉上就可以在里面睡得天昏地暗了。 寄存比较方便，寄存时间不限，很是喜欢这点。。。。', '短评打分': 5}
{'短评内容': '总体一般，离武汉大学很近，还想吧，如果去武汉大学办事的人值得推荐', '短评打分': 5}
{'短评内容': '设施有待翻新，服务较好', '短评打分': 3}
{'短评内容': '环境不错   挺干净的  服务态度也挺好', '短评打分': 5}
{'短评内容': '环境服务都不错，就是那个洗发水和沐浴露的质量也忒差了。。。', '短评打分': 5}
{'短评内容': '房间还挺干净的，就是不是很大', '短评打分': 3}
{'短评内容': '洗衣什么的都没有，住过最差的酒店！服务也不好，抽烟的朋友千万别在酒店边上买烟哦，假烟！', '短评打分': 1}
{'短评内容': '入住的时候还不错，前台服务都挺好的，房间也挺干净，没有像之前评论那么差。房间虽然有些噪音，但是窗户关上还可以。\n但是离店的时候，前台服务就太差劲了，爱理不理，还希望客人跑来跑去给她拿东西过去。哎，希望酒店多培训下员工。\n总体还可以', '短评打分': 5}
{'短评内容': '准备洗澡的时候服务员拿房卡进来了，我都脱的只剩下内裤了，当时我就愣了，半天没反应过来。只有楼道里有吹风机，还在房门外，响了半夜，伤不起啊。房子一般吧。178的价格比起住过的那些商务酒店好不到哪里去，比锦江之星相去甚远。花洒太低了，靠墙也太近了···皂盒上都长毛了，黑黑绿绿的东西，看的我发毛。', '短评打分': 1}
{'短评内容': '环境不错~隔音稍差~交通便利~服务到位~', '短评打分': 5}
{'短评内容': '武汉雅思考点的比去之处，哈哈，外饰一般，内部还行，但蚊子太多，让人难以入睡', '短评打分': 5}
{'短评内容': '性价比高~ 房间整齐干净，建议入住人提早预订噢！ ', '短评打分': 5}
{'短评内容': '还是很不错的！呵呵……就是洗手间是用玻璃隔的，相当的透明。', '短评打分': 5}
{'短评内容': '房价较干净，设施简单了点，没有早餐。服务员好像都是附近学校的学生，业务有点生疏。', '短评打分': 5}
{'短评内容': '我是10月6日下午入住的，该酒店很干净，前台的服务员也很热情。在入住时进到房间后，烟味很大，找到前台服务员马上给调到无烟房，心情非常好。不过，一楼大厅客人查询使用的微机是坏的，因为主机的电源线都没有，简直是摆设。我认为作为有实力的连锁酒店，应当尽全力为客人提供方便。总之，该酒店性价比不错，以后还住在这里。', '短评打分': 5}
{'短评内容': '还行吧。但是隔音效果太差了。希望改进一下。', '短评打分': 5}
{'短评内容': '感觉不错，干净宽敞，关键是离湖北大学很近！', '短评打分': 3}
