{'descr': '便宜 交通便利 ', 'star': 4}
{'descr': '其实还是啊不错的', 'star': 4}
{'descr': '联系住了好多天', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境不错，设施齐全，早餐品种也很多', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '房间还可以。空调是坏的。早餐很一般。服务员需要再培训，服务质量要提高。', 'star': 3}
{'descr': '朋友评价一般。', 'star': 4}
{'descr': 'ok', 'star': 4}
{'descr': '价格比连锁酒店高，环境太差了', 'star': 2}
{'descr': '环境不错，交通也很方便，有到家的感觉，真的很不错', 'star': 5}
{'descr': '环境不错，交通也很方便，有到家的感觉，真的很不错', 'star': 5}
{'descr': '还不错，看着挺干净的！………………………………………………………………', 'star': 5}
{'descr': '还不错，看着挺干净的！………………………………………………………………', 'star': 5}
