{'短评内容': '很好，服务很好', '短评打分': 5}
{'短评内容': '不错，经常去很好', '短评打分': 5}
{'短评内容': '这是帮别人订的，评价还不错。交通吃饭都方便。', '短评打分': 5}
{'短评内容': '酒店很有特色，房间内空间很大，也很有青春特色。酒店对面就是家佳乐超市，吃饭也很方便。早餐不错，酒店前台服务态度也超好，赞一下。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，商务很合适', '短评打分': 5}
{'短评内容': '基本不错，很舒适，就是防盗门差一些…………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '早餐可以，房间不错，酒店地理位置OK，房间隔音不是很好.....', '短评打分': 4}
{'短评内容': '交通便利，但是酒店设施有些陈旧。', '短评打分': 4}
{'短评内容': '好，不错，住过很多次了', '短评打分': 5}
{'短评内容': '不是我去住的，具体情况不清楚', '短评打分': 5}
{'短评内容': '还不错吧，第一次使用', '短评打分': 5}
{'短评内容': '服务好，房间好，赞', '短评打分': 5}
{'短评内容': '环境很好，装修很有特点', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 4}
{'短评内容': '工作人员服务态度很好，多次入住了，虽然每次遇到的服务人员不一样，但是服务态度确实一样的好。酒店房间装修很有调调，床品也很舒服', '短评打分': 5}
{'短评内容': '好，干净，房间大，交通方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店环境很好，住着很舒服', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很不错，连续订了两次', '短评打分': 5}
{'短评内容': '很不错房间大，还会来', '短评打分': 5}
{'短评内容': '房间不错就是位置不好找', '短评打分': 4}
{'短评内容': '优点：位置还算不错，离超市近，有吹风机电热水壶比较方便。\r\n缺点：房间不大，桌子、沙发比较简陋。卫生间太小，洗脸不是在卫生间里边。凉拖鞋免费，棉拖鞋收费。前台在五楼，第一次来不太熟悉。', '短评打分': 4}
{'短评内容': '不错,风格很好、服务不错。非常值得再次体验。', '短评打分': 5}
{'短评内容': '房间干净整洁，很不错，装修很有特点，人性化，以后还会住。', '短评打分': 5}
{'短评内容': '怡家客房 是你最佳的选择 首先进入房间给人一种很温馨的感觉 有家的感觉 非常舒适 其次我很喜欢房间有种教室的感觉 总之怡家客房我支持 希望有新鲜的布局跟惊喜 愿怡家在风筝城越飞越高', '短评打分': 5}
{'短评内容': '不错 性价比蛮高的 环境不错 服务还算好 住了几天 只是房间的卫生死角有待提高', '短评打分': 5}
{'短评内容': '酒店环境好很好，服务也不错，下次我会住这家酒店', '短评打分': 5}
{'短评内容': '环境不错，离富华挺近，对面是佳乐家，服务也可以。', '短评打分': 5}
{'短评内容': '还不错，干净安静，就是洗澡时经常停热水很郁闷', '短评打分': 3}
{'短评内容': '环境很好，装修很别致，只不过大堂不在一层，而且门在临大路', '短评打分': 5}
{'短评内容': '酒店环境很好，干净。服务也不错。装修设计明显比其他酒店好很多', '短评打分': 3}
{'短评内容': '酒店很好，布局风格简单，现代', '短评打分': 3}
{'短评内容': '从没见过如此好的客房，房间装饰很时尚，设施非常有品位，很有家的感觉。太值得推荐了。', '短评打分': 5}
{'短评内容': '本人住了两次了 环境很好 工作人员很热情就 是退房慢点 总之给个好评 呵呵 下次还来', '短评打分': 5}
{'短评内容': '服务态度相当好的说，呃，就是门不太会用，每次关门都要报警半天，呃，隔音效果貌似也不太好，但是环境还不错，设计的蛮舒服的感觉...', '短评打分': 5}
{'短评内容': '服务态度想当好!', '短评打分': 3}
{'短评内容': '1、设计不合理，关灯的话必须下床到门口，床头只有一个总电源，要关只能全部关\n2、洗脸的地方跟卫生间分开的，如果有人起得早有人起得晚很打扰另外的人休息\n3、幸好服务不错', '短评打分': 1}
{'短评内容': '卫生和环境不错，价格实惠还可以看潍坊的夜景', '短评打分': 3}
