{'短评内容': '帮别人订的，朋友说不错', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '去绵阳都会首选这家，环境舒适！', '短评打分': 5}
{'短评内容': '位子还可以，有停车的', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店一般，毕竟老酒店了，借充电器还要交押金', '短评打分': 3}
{'短评内容': '房间干净整洁，周边交通方便，下次还住这', '短评打分': 5}
{'短评内容': '环境不错，周围可以玩的也很多。', '短评打分': 5}
{'短评内容': '还是可以！不错！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置非常好，距离商业区非常近，酒店环境设施也非常好，很有特殊色。', '短评打分': 5}
{'短评内容': '酒店隔音效果很差。设计有问题，另一间房的电视墙靠着这间房的床头影响睡眠。给前台反应前台直接说商务酒店就这样然后就直接挂电话了这点非常不好！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比假日好一点', '短评打分': 5}
{'短评内容': '帮朋友预定。', '短评打分': 5}
{'短评内容': '不错  很棒的地方，值得住', '短评打分': 3}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '隔音效果不好，148的可以睡的很过头', '短评打分': 3}
{'短评内容': '性价比不高啊，房间内不是地毯，不安逸，旁边就是公路，早上可能会吵', '短评打分': 1}
{'短评内容': '＋性价比不错，挺干净，装修风格还挺漂亮的，里面东西很新，很齐全，就是不太隔音，电视频道太少了。', '短评打分': 3}
{'短评内容': '酒店设施不错隔音效果太差,五点多就被电视吵醒', '短评打分': 3}
{'短评内容': '总体感觉还行，\n优点：1、比较干净、整洁\n      2、床很软，睡着舒服\n不足：1、隔音效果比较差\n      2、一次性耗材基本全收费，连一次性拖鞋都收..\n     3、高峰时段上网速度比较慢', '短评打分': 5}
{'短评内容': '地段可以，电视频道太少。', '短评打分': 3}
