{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比蛮高的，周边有商场，很方便', '短评打分': 5}
{'短评内容': '很好，跟干净', '短评打分': 5}
{'短评内容': '除了前台服务人员态度不好外，别的没缺点！', '短评打分': 5}
{'短评内容': '酒店跟安静，卫生跟干净', '短评打分': 5}
{'短评内容': '不错，非常不错，下次继续入住。', '短评打分': 5}
{'短评内容': '照片我就不拍了。。只给你们看看WIFI测速。。我很愤怒。。床头没插座就不说了。。就两个插座。一个我充手机一个充移动电源。前台脾气有点大。房间没一次性拖鞋。需要主动去前台要。有蚊子。。有电蚊香液但是没地方插。懒得管了。。将就一晚上吧。。笔记本也用不了了。。睡觉了', '短评打分': 3}
{'短评内容': '很满意，每次到潜江基本上都住这个酒店', '短评打分': 5}
{'短评内容': '空调很暖和', '短评打分': 5}
{'短评内容': '还不错。地方也好找', '短评打分': 5}
{'短评内容': '比以前差了只能说', '短评打分': 4}
{'短评内容': '酒店位置很好 周边配套也可以 ', '短评打分': 4}
{'短评内容': '总体不错，房间小一点而已', '短评打分': 5}
{'短评内容': '舒适，很好。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 1}
{'短评内容': '可以', '短评打分': 1}
{'短评内容': '可以', '短评打分': 1}
