{'短评内容': '早餐丰富，房间简陋', '短评打分': 2}
{'短评内容': '还不错很多次出差住宿，早餐也不错', '短评打分': 5}
{'短评内容': '小县城里没有更多选择，这家算比较好的，县政府对面，至少安全。酒店比较老了，设施也老化了。不知道是我运气差还是怎么，第一天晚上停电，天又冷，没有暖气没有空调，裹了两床被子睡了一晚。第二天又停热水。', '短评打分': 4}
{'短评内容': '不错古县最好的宾馆', '短评打分': 5}
{'短评内容': '晚上热水有点凉，没法洗澡，前台解释说新锅炉正在调试，希望尽快投运，不然真的说不过去啊，尽管在古县没选择。', '短评打分': 4}
{'短评内容': '古县最好的酒店了吧，办理入住时找不到携程订单，半夜停电一直到早晨6:30分。', '短评打分': 4}
{'短评内容': '环境不错，服务也好，感觉还好', '短评打分': 5}
{'短评内容': '基本还算可以', '短评打分': 5}
{'短评内容': '古县宾馆算是这个小县最好的宾馆了，挂牌三星的宾馆，干净卫生，房间挺大，价格也不贵，早餐很丰盛，这是我老公的老家所有每次回来我们都住这儿，地理位置很好，县里的中心地带，去大超市10分钟。', '短评打分': 3}
{'短评内容': '早餐很丰富，', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
