{'短评内容': '酒店很好，我很喜欢', '短评打分': 5}
{'短评内容': '酒店很好，干净卫生，我喜欢', '短评打分': 5}
{'短评内容': '酒店很好，环境很舒服', '短评打分': 5}
{'短评内容': '酒店很好，很干净', '短评打分': 5}
{'短评内容': '早餐还可以吧，床垫比较舒服，酒店位置好，周边有振华商厦', '短评打分': 4}
{'短评内容': '酒店比较老旧，味道有点大，', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '环境好，服务也很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好的房间，保洁大姐特别亲切可爱！楼下的餐厅也很棒，喜欢喜欢！下次回荣成会再来滴，', '短评打分': 5}
{'短评内容': '环境卫生条件都很好，房间舒适，服务到位，感觉很好，值得推荐，下次还来。24小时热水，早餐差了点，希望能改进。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '一般一般，太一般了，不过荣成也没好的', '短评打分': 3}
{'短评内容': '还可以吧来的时候是冬天酒店挺难找的总的来说还不错吧', '短评打分': 4}
{'短评内容': '位置在市中心，购物出行都比方便，唯一不足就是设备较陈旧', '短评打分': 4}
{'短评内容': '很满意，住着很舒服，干净整洁，都很新，服务也很热情', '短评打分': 5}
{'短评内容': '房间内条件还可以，大厅楼道都很冷，服务态度一般，四星级标准差强人意', '短评打分': 3}
{'短评内容': '还不错，设施也不错，就是早餐有点贵不太值。', '短评打分': 5}
{'短评内容': '酒店环境很好，服务不错，早餐可口。', '短评打分': 3}
{'短评内容': '硬件可以，服务态度也很好，酒店位置也挺好，周边购物都很方便', '短评打分': 5}
{'短评内容': '很干净，服务也非常好！交通很方便！下次还会再光顾的！', '短评打分': 5}
{'短评内容': '酒店的卫生间比房间大，本人住了这么多酒店，这是第一次！', '短评打分': 5}
{'短评内容': '很好，价格比价合理，房间也很干净，就是有点味道', '短评打分': 5}
{'短评内容': '酒店不错，下次还会去那里住。酒店餐厅性价比不高', '短评打分': 5}
{'短评内容': '入住后发现和网站上所描述的严重不符。单人间30-40平米（实际最多20），设施也一般，被上有污渍。但服务还可以。', '短评打分': 1}
{'短评内容': '已入住，性价比不错，服务满意。', '短评打分': 3}
{'短评内容': '这家酒店不错，荣成市区能有这样的性价比的酒店难得，唯一不足的就是少了早餐！', '短评打分': 5}
{'短评内容': '住了很多次了，在荣成这样便宜然后档次和位置都不错的酒店大概就这一家了吧。以后应该还是会住在这里的。很好', '短评打分': 5}
{'短评内容': '对房间设备很满意', '短评打分': 3}
{'短评内容': '服务很好，热情周到，该酒店的房间宽敞，通风好，采光好！！', '短评打分': 5}
{'短评内容': '酒店设施挺不错的，很干净，服务很好，值得一说的是酒店的床非常舒服，单人间的床特别大，标间的床也都挺大的。酒店一楼就是当地著名的吃海鲜的地方。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住宿舒适、卫生，早餐太一般。', '短评打分': 5}
{'短评内容': 'hao.................................................', '短评打分': 3}
{'短评内容': '比预想的好很多，房间大而且干净设施也很新，位置也不错。当天去的很晚是凌晨了，服务员很耐心。', '短评打分': 5}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\r\n非常好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '新装修的酒店！设施和卫生都很不错！下次去还是会住的！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好.干净，安静，停车方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一家新开的酒店，装修的很不错', '短评打分': 5}
{'短评内容': '7月21日入住。酒店的位置不错，东面一点就有振华商厦，购物方便。离海边的海水浴场也不远。\r\n关键是酒店的设施非常好，非常新，也很温馨。我住的是标准间，液晶电视，地毯，网线，床也比较宽。\r\n晚上睡觉很安静，总之是非常值得推荐的一家酒店。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，房间很干净，服务有待于赶紧，不规范。设施还可以，住着还算舒服。', '短评打分': 5}
