{'短评内容': '环境还行 就是房间有点小 适合一个人住', '短评打分': 5}
{'短评内容': '酒店位置有点偏基本一晚上没睡着，太吵了太亮以后，发现就在高架桥入出口处房间里的卫生还算可以吧。', '短评打分': 4}
{'短评内容': '房间没有wifi提示，没有肥皂，枕头上有点怪怪的味道……不想多说了，即使是快捷酒店也要提供最基本的服务吧', '短评打分': 4}
{'短评内容': '就是开了空调声音太大', '短评打分': 5}
{'短评内容': '还好吧，卫生环境一般，出门凑合着住，洗澡的防滑垫估计从来没刷过，冲水时不断有杂质冒出来，额，88888888', '短评打分': 4}
{'短评内容': '酒店还不错的，房间足够大，有热水。', '短评打分': 5}
{'短评内容': '还是很干净的，住起来也很舒服，如果当天续订的话，第二天还会有优惠，第二天还会赠送早餐。酒店的位置很好，离大明湖和其他旅游景点也很近。', '短评打分': 5}
{'短评内容': '真的很不错，第一次来，服务挺好的，商家发财。', '短评打分': 5}
{'短评内容': '环境挺好  也挺实惠   好评', '短评打分': 5}
{'短评内容': '汉庭，就正常水平，还好把，京东还算便宜', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好 好找', '短评打分': 5}
{'短评内容': '还可以的。', '短评打分': 5}
{'短评内容': '环境一般，房间小', '短评打分': 3}
{'短评内容': '可能经济型酒店就这样吧，可是虽然入住之前已经做好了心理准备，还是觉得太差！两间房其中的一间空调是坏的，后来虽然给换了一间，但是换的房间不可思议的小，以至于从床边要侧身而过才行。被品也差，枕头扁扁黑黑的。卫生间的门每次开关都会发出吓人一跳的大响，更奇葩的是两个房间厕所门都是如此！大冷天想冲个热水澡暖和暖和,奈何放了半天水都是温吞吞，能不感冒就不错了。毛巾看起来像破布，浴巾还行。走廊地毯也不干净。早餐', '短评打分': 1}
{'短评内容': '很好，很干净！', '短评打分': 5}
{'短评内容': '态度服务挺好', '短评打分': 5}
{'短评内容': '房间干净，安静。条件很好。', '短评打分': 5}
{'短评内容': '房间干净，安静。条件不错。', '短评打分': 5}
{'短评内容': '还行还行', '短评打分': 4}
{'短评内容': '特价房，房间小，没窗户，交通还算 方便，下次肯定不去了', '短评打分': 4}
{'短评内容': '不错哦第二次了呢 房间比较干净  每天都会给你打扫的哦', '短评打分': 5}
{'短评内容': '住宿条件不错，环境优雅宜人，下次会再光顾本店！', '短评打分': 5}
{'短评内容': '小长假突然涨价却没有提前做说明。其他的还可以吧。', '短评打分': 5}
{'短评内容': '环境很干净，玻璃是四层的，虽然挨着高架，也不吵~热水很方便，洗澡很舒服~~~缺点是空调不是很给力，房间之间隔音效果不太好。。。', '短评打分': 5}
{'短评内容': '每天都会有人给打扫房间 真的是会很干净   而且会送一瓶水   房间很温馨   只是有点小啊  感觉这个价格还会有更好点的条件啊', '短评打分': 5}
{'短评内容': '第一、店真的不太好找。我外地人，导航定位，还是下错地方了。\n第二、别信“要不请留下电话号码，等会和你联系”等到蛇年也白搭。“请说下您的号码”我就不明白了。来电显示你们都没有啊。\n第三、南边是高架桥，立体汽车噪音你算是来着了。北面是个院子（停车场）附近还有一些民宅，早上有纯天然闹钟（鸡鸣）6楼就别上了。那暖气管里水声真的是让人神经崩溃。\n第四、电视机问题，进门先看下电视能不能开，要等他反应，居然比电', '短评打分': 1}
{'短评内容': '地理位置不错，附近都是家居卖场，从西站打的30多，含双早的价格和净房价的算起来也差不多', '短评打分': 5}
{'短评内容': '不错的条件，虽然是特价房，但是很干净，整洁。', '短评打分': 3}
{'短评内容': '环境不错 就是空间有点小 舒服 ', '短评打分': 3}
{'短评内容': '酒店很不错，干净卫生，洗浴用水超爽，美中不足夜间不知是什么室外设备一直轰鸣，早晨不到5点就被弄醒，建议去的朋友选择北侧房间试试。', '短评打分': 5}
{'短评内容': '很好O 干净，卫生，早餐也可以，交通还算方便', '短评打分': 5}
{'短评内容': '酒店位置理想，房间干净，隔音效果好，服务很周到，再去济南还住此店。', '短评打分': 5}
{'短评内容': '不错，干净，我定的是含早餐的，和全国其他地方的汉庭一样，挺好。为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '房间总的布局还是可以的，只是房间里的蚊子比较厉害\n再就是房间的隔音效果实在不敢恭维，早上很早就被走道的噪声吵醒了，希望尽早解决这个问题', '短评打分': 5}
{'短评内容': '哈哈，不错哦。。推荐！', '短评打分': 3}
{'短评内容': '位置较偏。整体较干净，性价比还算高。总体来说还可以。', '短评打分': 5}
{'短评内容': '服务还算是很不错，但是我发现床单上有污迹，并且不知道为什么给房间配备的矿泉水瓶子都已经变形了，我估计是已经过期了，没敢饮用\n再就是第二天早上不知道为什么服务员无缘无故的敲我的房门，距离退房时间还很远，并且在走道的说话声音很大，影响了客人的休息？！！！', '短评打分': 5}
{'短评内容': '还不错啦，这地方…', '短评打分': 3}
{'短评内容': '总的感觉非常好，一共住了两天，期间打扫卫生也十分到位是十分干净.', '短评打分': 5}
{'短评内容': '总的感觉非常好，一共住了两天，期间打扫卫生也十分到位是十分干净，但是最让人恼火的是，结账的时候不能刷卡\n因为赶时间只好先走，但是到现在都没给我打电话，手机也没收到结账的信息，不知道预授权他们汉庭是如何处理的！！\n', '短评打分': 5}
{'短评内容': '房间很干净          就是太小了', '短评打分': 1}
{'短评内容': '很不错的酒店，很舒适，很适合出差居住，下次还会过来住，也会推荐给朋友。如果早餐能免费就更加完美了。不过还是很不错的。', '短评打分': 5}
{'短评内容': '整体感觉很不错，服务也是很到位，从办理入住一直东退房\n态度很亲切，只是感觉现在汉庭的房价在经济型酒店中算是比较高的了\n即使是作为金卡会员，大床房也再190的价位作用\n对于经常出差的人来说，感觉开销还是比较大的！', '短评打分': 5}
{'短评内容': ' 酒店位子不错,到哪都蛮近的,住的环境还算干净,总得来说还可以,价格上还是网上订核算,直接到店预定的话价格算贵了,早餐还过得去~', '短评打分': 3}
{'短评内容': '不错。干净，卫生。好，下一次还住这一家。', '短评打分': 5}
{'短评内容': '还是很不错的，以后还是会经常过来住。以后向朋友推荐！', '短评打分': 5}
{'短评内容': '设施不错，特价房床太小，房间也很小，我后来换成大床房了。', '短评打分': 5}
{'短评内容': '环境服务都不错。\n\n只住了一天，还行吧。', '短评打分': 5}
{'短评内容': '干净～～～～～～～～～～～～～舒服－－－－－－－－－－－－－', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '不好找，位置有点偏！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '大床房靠近高架桥，晚上汽车来往的声音很吵，根本睡不着。冷水很小，用起来很不舒服，洗澡很受罪，烫啊～～\n房间只有一瓶水，打电话给前台，前台废话一堆就是不再给一瓶，根本就没有客户是上帝的概念。早餐很一般，放在蒸锅的包子居然是冷的。\n下次再也不会住这家，而且对汉庭的印象大打折扣。\n也不知道反映这些有没有用，反正奉劝大家注意慎选这家酒店。', '短评打分': 1}
{'短评内容': '酒店新开张,设施干净整洁,卫生间设计合理好用.早餐品种也很多,很干净.总体感觉很舒适,价有所值.', '短评打分': 3}
