{'短评内容': '超值', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '安静温馨舒服', '短评打分': 5}
{'短评内容': '汽车中心站斜对面，方便！卫生好，单间偏小，携程下单128，直接去148！性价比高！', '短评打分': 5}
{'短评内容': '服务好，房间干净卫生，靠近汽车站。', '短评打分': 5}
{'短评内容': '好评啊', '短评打分': 5}
{'短评内容': '没有早餐，酒店就在安庆汽车站的对面，离火车站也很近，从火车站到酒店步行大概要十几分钟就到啦，附近有工行，建行的ATM，挺方便的，在携程上订会便宜一点，一开始我去问要148的，在网上订吧，而且我发现灯不能全部开着的，会断电，我就断了3次，最后我就只开了床头灯一个，总体来说还是挺好的', '短评打分': 5}
{'短评内容': '房间小了点，没有多少性价比', '短评打分': 5}
{'短评内容': '价格便宜', '短评打分': 5}
{'短评内容': '交通方便，房间很大', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': '交通方便，还行吧！', '短评打分': 4}
{'短评内容': '环境一般，交通方便，可推荐', '短评打分': 2}
{'短评内容': '酒店环境不错，交通便利。', '短评打分': 5}
{'短评内容': '环境不错 干净卫生 推荐', '短评打分': 3}
{'短评内容': '环境卫生，卫生安静，推荐。', '短评打分': 3}
{'短评内容': '出差安徽安庆，住了安庆梅山商务宾馆，就在中心汽车站附近，出行方便，早餐也不错。', '短评打分': 3}
{'短评内容': '酒店挺好，早餐挺丰富，只是昨晚竟停了几个小时电。', '短评打分': 4}
