{'短评内容': '败落了的水庄，去年今年都住过，设施陈旧损坏，门锁不安全。', '短评打分': 4}
{'短评内容': '酒店就在湖边，周边环境不错，停车场很大，适合跟朋友钓鱼，就是房间设施设备有点旧了，味道特别大，没有早餐！', '短评打分': 4}
{'短评内容': '酒店设备就是招待所，风景不错，有一大湖，网络没有，床上有蚂蚁，客人太少，本来定的是陆上房，因没人住加钱升级到水上房，下次是不会去了。', '短评打分': 3}
{'短评内容': '环境非常不错！但是硬件设施有点陈旧了。', '短评打分': 5}
{'短评内容': '环境是超赞的，就算住的地方设施太陈旧了，希望翻新。', '短评打分': 4}
{'短评内容': '周边环境尤美清净，美食可口，美女游客多多，美！', '短评打分': 4}
{'短评内容': '非常不满意', '短评打分': 1}
{'短评内容': '酒店很旧，事隔三年后再去住的，这次去感觉床上用品比较新，之前看到有住客评价过有蚂蚁我只看到一两只以为正常，但谁想到回到家中行李箱里都是小蚂蚁，吓人人了，下次不装修不再去住，环境确实不错', '短评打分': 3}
{'短评内容': '设备陈旧', '短评打分': 1}
{'短评内容': '酒店环境非常好就是房间有点旧。', '短评打分': 3}
{'短评内容': '整体不错，适合休闲和钓鱼，非常安静，就是饭菜一般。', '短评打分': 3}
{'短评内容': '很适合休闲钓鱼，很安静，房间一般，饭菜一般。', '短评打分': 3}
{'短评内容': '设施老旧，只是风景还好，周边配套不怎么样，冷冷清清', '短评打分': 2}
{'短评内容': '酒店环境不错，那个中餐馆很好吃的。不好的是酒店的乒乓球不能使用。', '短评打分': 5}
{'短评内容': '房屋设施陈旧，员工有点怠慢，晚上灯光太暗，有的灯是坏了，有的是没开。但胜在周围风景优美环境极好，很适合休养。', '短评打分': 5}
{'短评内容': '热水器坏掉了 本想打电话到前台 发现居然电话也没有了。。。', '短评打分': 1}
