{'短评内容': '酒店环境很好，前台大姐服务很到位，下次还会去滴', '短评打分': 5}
{'短评内容': '服务态度一般，空调不怎么管用，淋浴是坏的，根本没有办法冲澡', '短评打分': 1}
{'短评内容': '环境好 服务好 屋子整洁干净', '短评打分': 5}
{'短评内容': '住的不错，环境好', '短评打分': 5}
{'短评内容': '适合带孩子！早餐一般！买海鲜给加工！', '短评打分': 5}
{'短评内容': '干净整洁，备品齐全。', '短评打分': 5}
{'短评内容': '去丹东住了一段时间，环境一般', '短评打分': 5}
{'短评内容': '服务态度好，环境不错', '短评打分': 5}
{'短评内容': '首先说房间很大，很整洁。唯一美中不足的就是没有窗，但因为是特价房。前台服务的美女态度很好，很热情。早餐营养均衡，下次来丹东首选还是昆仑酒店！！！', '短评打分': 5}
{'短评内容': '位置好，酒店管理不错，服务人员的态度和专业程度都值得肯定，有机会再安排客人入住这个酒店，有机会再去丹东。', '短评打分': 4}
{'短评内容': '前台给的房卡，就是开不开门，给前台打电话，前台说“你使劲推就推来了”……我还得用多大劲？？？最后终于有管理房间的人来了，拿出一把钥匙打开的门，告诉我这个门坏了，必须用钥匙才能打开。what？？？那前台，你之前让我使劲推，是几个意思？？？', '短评打分': 4}
{'短评内容': '该酒店位置尚可，设施一般', '短评打分': 3}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '酒店很好 干净整洁 很好', '短评打分': 3}
{'短评内容': '酒店地理位置不错，离火车站很近，吃饭购物都还好，就是4楼以上没有网络，带着孩子晚上到酒店坐了一路的火车很辛苦，没想到早就在艺龙网预定好的，信用卡也担保了，酒店却给我们安排了一件办公室改造的房间，我瞬间无语了，房间的灯坏不亮，屋子里面没有椅子，无线网没有，有线网也没有，由于工作需要，我们只好大晚上抱着电脑去一楼大堂上网。我们提出换房间，被告知无房间可调换，我们没有别的选择，只能住在这里，很不愉快！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以，就是国庆期间价格贵了点', '短评打分': 3}
{'短评内容': '也就是赶上国庆假期，平常如果这个价位实在太坑爹了，设施陈旧，卫生也一般，不推荐。', '短评打分': 3}
{'短评内容': '非常非常的差，房间里面一股难闻的味，没用过的东西，结账的时候说消费了，几元钱的东西，我想谁都不差，但是你们冤枉客人，说话胡搅蛮缠的，而且作为经理，不核实问题，不知道这样素质的人怎么会当经理。总之不会再次入住，也不会跟朋友推荐。', '短评打分': 1}
{'短评内容': '很不错，前台态度很好，空调很给力！在丹东算不错的，推荐一下', '短评打分': 3}
{'短评内容': '空调有噪音', '短评打分': 3}
{'短评内容': '酒店蛮干净的，房间还可以。\n不过酒店晚上上网进不去，还挺讨厌的。前台说的IP根本行不通。\n酒店服务是不错的。\n早餐一般般。\n值得表扬的是，我手机数据线落酒店了，竟邮寄了过来。非常感谢酒店，值得好评。\n下次还来', '短评打分': 5}
{'短评内容': '还是不错的！！下次还会入住~环境什么的 都不错', '短评打分': 5}
{'短评内容': '\u3000\u3000\u3000环境还不错\u3000挺好的', '短评打分': 3}
{'短评内容': '每次来丹东出差，都住在这家酒店，设施还是不错的，早餐单调些。位置也可以，比较繁华地段。', '短评打分': 5}
{'短评内容': '地理位置方便，房间也还可以，上网速度很快，早餐一般。感觉比阳光好。', '短评打分': 5}
{'短评内容': '感觉挺满意。干净舒适！', '短评打分': 3}
{'短评内容': '不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！', '短评打分': 5}
{'短评内容': '不错！不错！不错！不错！不错！不错！不错！不错！', '短评打分': 5}
{'短评内容': '酒店很不错，位置也很好，前台服务亲切，很卫生', '短评打分': 5}
{'短评内容': '评价评错了，，，这个酒店非常好，而且前台也非常亲切！\n我给说成有小强了，这个酒店没有小强，而且很干净', '短评打分': 5}
{'短评内容': '有小强，而且不是一只，胆大的人来试试\n有小强，而且不是一只，胆大的人来试试', '短评打分': 1}
{'短评内容': '位置不错，服务还可以，房间挺大的，值得推荐', '短评打分': 5}
{'短评内容': '早餐一般，品总很少，不过旁边就是步行街，购物很方便，离鸭绿江也很近，很好', '短评打分': 5}
{'短评内容': '酒店的位置还不错，设施也很新，性价比也很好，下次还住这里', '短评打分': 5}
{'短评内容': '很干净，周边很方便，离鸭绿江也很近，性价比较高。', '短评打分': 5}
{'短评内容': '不错的酒店，很安静。\n早餐种类较少，但是味道不错。\n网速很快。', '短评打分': 5}
{'短评内容': '还算可以吧，地理位置不错，旁边就是步行街。早餐确实很一般啊，一些三星的早餐都比这好。', '短评打分': 5}
{'短评内容': '好干净', '短评打分': 3}
{'短评内容': '酒店环境还不错,厕所很干净.', '短评打分': 3}
{'短评内容': '并不是4星级标准，早餐不好，环境一般。下次不想住了。', '短评打分': 1}
{'短评内容': '房间很好，很大，设施也比较新，真的很不错', '短评打分': 5}
{'短评内容': '酒店还可以但是没有什么环境就是一个临街的房子，酒店还没有停车场，里面还不错卫生设施都还可以，服务还不错，价格还挺适合的。\n\n', '短评打分': 5}
{'短评内容': '酒店还可以但是没有什么环境就是一个临街的房子，酒店还没有停车场，里面还不错卫生设施都还可以，服务还不错，价格还挺适合的。\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '位置还不错，价格还是挺合适。房间的卫生的话也算可以,性价比不错的一间店呢', '短评打分': 5}
{'短评内容': '交通便利。环境好，干净，很适合旅游的时候住', '短评打分': 5}
{'短评内容': '酒店装修非常不错，床很舒服，备品齐全，房间很好，只是大堂档次很一般，早餐一般。服务人员非常有礼貌。下次还会光临此酒店', '短评打分': 3}
{'短评内容': '酒店很干净，房间隔音也很好，就是早餐差点，值得推荐', '短评打分': 5}
{'短评内容': '酒店环境还不错房间还是蛮大的，酒店的地理位置也比较不错就在大街上，价格还是可以接受的。', '短评打分': 5}
{'短评内容': '酒店位置还是很不错离我办事的地方都是很方便，卫生做的挺好但是酒店里面走廊和房间都是一股味道也不是不干净的味道就是那种洗涤灵还是消毒水的味道，服务也没什么特别的地方不过有什么事情还是能满足的，价格还是偏高应该再便宜些。', '短评打分': 3}
{'短评内容': '超值，商旅皆宜，多样罕见的贴心设施。但热水稍不够热，取电卡没有延迟。', '短评打分': 3}
{'短评内容': '酒店价格不优惠。预定时间太长。浪费电话费。', '短评打分': 3}
{'短评内容': '已入住,今天退房。', '短评打分': 5}
{'短评内容': '条件好折扣少', '短评打分': 5}
{'短评内容': '不错很干净，附近也很繁华', '短评打分': 5}
{'短评内容': '硬件和服务都好，交通方便。', '短评打分': 5}
{'短评内容': ' 很普通。但是有几件小物件还好。', '短评打分': 5}
{'短评内容': '名不符实的一家酒店，哪里会有四星的水平，介乎二星至三星之间吧，不过倒还干净。', '短评打分': 1}
{'短评内容': '位置还不错，价格还是挺合适。房间的卫生的话也算可以但是可能每次过来清洁的时候那个地毯都不是每次都会用吸尘器去吸一下灰尘器其他的都还好，服务价格都还不错。', '短评打分': 5}
{'短评内容': '酒店还可以但是没有什么环境就是一个临街的房子，酒店还没有停车场，里面还不错卫生设施都还可以，服务还不错，价格还挺适合的。', '短评打分': 1}
{'短评内容': '价格偏高，位置有些偏，其他都蛮好的。', '短评打分': 1}
{'短评内容': '不错的酒店，强力推荐！', '短评打分': 5}
{'短评内容': '酒店的条件非常好，而且性价比也是非常高的.', '短评打分': 5}
