{'descr': '卫生间异味重，空调噪音太大！', 'star': 3}
{'descr': '早餐一般，选择不多。套房的房间挺大，挺适合我用来接亲的。停车可以免费多次向前台索要停车券。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '每个酒店员工都浸透着冷漠，从前台到经理，从门童到客房服务。床很舒服，软，承载力又好，是很难得的。因为以前住过，所以又订这里，但是以后尽量不订这个酒店了。', 'star': 3}
{'descr': '还不错，经济实惠，周边吃的店铺很多，交通便利。', 'star': 5}
{'descr': '好，诚信经营', 'star': 5}
{'descr': '看起来还不错?', 'star': 5}
{'descr': '比', 'star': 5}
{'descr': '南汇的酒店都不怎么样的 四星级的酒店一家都没有，太凄凉了 不知道为什么，新亚一直在洗地毯似得 整个走道都是被单到处散在地上 让人联想那些被单会被洗过后又被铺在床上的感觉实在让人受不了。 ', 'star': 2}
{'descr': '南汇的酒店都不怎么样的 四星级的酒店一家都没有，太凄凉了 不知道为什么，新亚一直在洗地毯似得 整个走道都是被单到处散在地上 让人联想那些被单会被洗过后又被铺在床上的感觉实在让人受不了。 ', 'star': 3}
{'descr': '差ひなや肩身やら日また秋山聞いた奈佐原山田騎士似た高さらは酒井ミナキな戦はぬ近し派の絹やな形三鷹かな', 'star': 4}
{'descr': '金山高原山高梨は何話花山小ささよりはさ似た開かぬはサリや三鷹屋は真木熱海やなきサハラ屋台金谷リバサ並拓也は死にに', 'star': 4}
{'descr': '带同事住的。方便。离浦东机场够近。方便。', 'star': 5}
{'descr': '够好的。位置也好。还是住镇上方便。吃饭选择也多。离浦东机场近。', 'star': 5}
{'descr': '一般。', 'star': 3}
{'descr': '酒店环境不错，早餐一般', 'star': 5}
{'descr': '总体尚可。', 'star': 3}
{'descr': '酒店环境较好，停车场超大，就是房间玻璃隔音不好！', 'star': 5}
{'descr': '早歺很差。', 'star': 3}
{'descr': '酒店前台服务极差，收款时竟然将客人的信用卡隔着柜台丢过来，完全没有服务意识。客房内有蚊子没蚊香，水杯里有上一位客人留下的短发！', 'star': 3}
{'descr': '酒店根本不是物有所值，不不值这个价格，无论硬件还是服务都差一个档次。', 'star': 1}
{'descr': '不错，下次来还住新亚，就是最好的肯定', 'star': 3}
{'descr': '酒店位置不错\r\n 相比而言性价比高。设施齐全。很满意', 'star': 3}
{'descr': ',不错', 'star': 3}
{'descr': '酒店不好，我订的是行政房间里面连个吹风机都没有，都不知道普通客房是啥样了。更离谱的是入住后发觉座便器坐垫上有毛发，擦干净后坐下后才发觉竟然给我忘记芳卫生纸了。还有，它的行政房是7、8、9三层低层的，反而其它普通房间是高层的。早餐几乎没东西可吃，行政房间相当于市区的二星级标准吧。', 'star': 1}
{'descr': '交通方便，离火车站，长江大桥近，早餐一般，毕竟是送的。卫生条件还行，热水，空调都不错。', 'star': 5}
{'descr': '房间还算干净，隔音效果不是很好，另外，特价房很便宜，可是没有窗户的。', 'star': 1}
{'descr': '一般', 'star': 3}
{'descr': '太简陋了，标间还要170，一进门房间里面味道很难闻，反正太不值这个价钱了。性价比太低。', 'star': 1}
{'descr': '基本满意，环境、卫生都还可以，在这个价位送双早上算是一个好选择了。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '总体来说可以吧   就是电视不行  要是背投的就好多了！', 'star': 5}
{'descr': '房间特别小，而且破。。。设施比较简陋，水龙头很轻容易乱喷', 'star': 1}
{'descr': '房间设施卫生还是可以的，位置不错离汽车站也很近，前台服务不错，但是酒店的价格感觉还是有些偏高。', 'star': 5}
{'descr': '酒店还是挺好的装修也是很新，位置也不错附近也有一个公交车站出行很方便，性价比真的挺不错的。', 'star': 5}
{'descr': '交通便利，服务不错。商务间有点大，空调温度上不去，天冷时入住有点冷，需要加被子，自助早餐干净、可口。', 'star': 5}
{'descr': '还行 被子太薄 着凉了。唉~~~~~沿马路有点吵', 'star': 5}
{'descr': '酒店环境还是不错里面布置的挺好的，位置也是很好，而且房间比较大但是相比的话还是价格高了些，酒店服务还比较热情。', 'star': 5}
{'descr': '第了好几次了，还不错。价格有点贵。在120左右就OK了', 'star': 5}
{'descr': '房间的装修卫生都还可以，位置出行不是很方便没在市中心，价格的话还可以。', 'star': 5}
{'descr': '位置还好，前台的服务也还行，不过房间比较一般化。', 'star': 5}
{'descr': '位置比较好，离火车站、汽车站较近。下大桥就是了。\r\n卫生不错，较安静，就是设施很简单，电视机比较老款，但是数字电视，也就是麻雀虽小五脏俱全。有免费早餐：蛋糕、油条、包子、鸡蛋、豆浆、白米粥、黑米粥。\r\n总体还不错，推荐一下吧。', 'star': 5}
{'descr': '性价比高，卫生还是不错的！推荐此酒店!就是床有点不太舒服', 'star': 5}
