{'短评内容': '条件还可以。就是早餐品种太少。', '短评打分': 3}
{'短评内容': '淋雨花洒太糟糕，没法洗澡。餐厅服务员态度极端不好。', '短评打分': 1}
{'短评内容': '属于80年代的4星，太旧了。很对不起房价', '短评打分': 1}
{'短评内容': '这个宾馆太旧了。', '短评打分': 3}
{'短评内容': '酒店房间算是比较宽敞但设施老化，环境较杂乱，性价比较差', '短评打分': 1}
{'短评内容': '设施老化，环境较杂乱，性价比较差', '短评打分': 3}
{'短评内容': '不错 服务挺好的 特别是送餐服务 还是不错的 比较好的', '短评打分': 5}
{'短评内容': '是我住过的最烂的4星酒店,办入住的时候,前台的一个服务员朝你翻白眼,连个招呼都不打.早餐时间是到9:30,可是我们9点不到去吃的时候没东西可吃了,问有没有鸡蛋,回答说不好意思吃完了.房间内太破,一股发霉的味道.也没有暖气.总之想去住的人要三思.', '短评打分': 1}
{'短评内容': '这家酒店设施配置比较新，对面有个公园，环境很好，高楼层视野很不错。', '短评打分': 5}
{'短评内容': '酒店的服务很好，很热情。员工素质都挺高的。', '短评打分': 5}
{'短评内容': '酒店设施老化，价格适中', '短评打分': 5}
{'短评内容': '房间算是比较宽敞舒适的，早餐种类很多味道也不错，可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '房间很干净，卫生做的很好。晚上休息的话也很安静。', '短评打分': 5}
{'短评内容': '太旧了，需要重新装修。如继续这样，没人愿意去了！', '短评打分': 1}
{'短评内容': '酒店很安静，房间也干净整洁，很喜欢。', '短评打分': 5}
{'短评内容': '地理环境不错，不过设施比较陈旧.酒店服务人员服务都比较到位，性价比较好.', '短评打分': 5}
{'短评内容': '酒店有点旧但还是挺干净。交通比较方便。服务态度挺好。', '短评打分': 5}
{'短评内容': '  房间有味道，晚上有车感觉吵，卫生一般般，早餐非常糟糕我基本没有动', '短评打分': 1}
{'短评内容': '酒店稍微老了点，装修，硬件都比较陈旧，服务比较不错，交通也很方便。', '短评打分': 1}
{'短评内容': '酒店的设施太旧了，不好，服务，环境其他方面都比较一般。', '短评打分': 1}
