{'短评内容': '房间挺好的，环境也不错，下次还会选择', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '环境不太好，吵闹，网上价格比店面贵。', '短评打分': 3}
{'短评内容': '。。', '短评打分': 5}
{'短评内容': '交通方便。', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '环境好  价格便宜 卫生不错', '短评打分': 5}
{'短评内容': '环境好  价格便宜 卫生不错', '短评打分': 5}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，酒店附近吃很方便，特别是鸭肠王自助餐超划算，29元的自助餐，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '交通方便，旁边就是客运站', '短评打分': 3}
{'短评内容': '通过网上订的，酒店不开发票', '短评打分': 1}
{'短评内容': '2点多才到，六点多要出发，睡几个小时而已，环境还不错', '短评打分': 5}
{'短评内容': '性价比高！！！！', '短评打分': 5}
{'短评内容': '不错，下次来还住这里！', '短评打分': 3}
{'短评内容': '恐龙n吐血推荐信3哦', '短评打分': 3}
{'短评内容': '离十陵车站很近，但太吵了', '短评打分': 4}
