{'短评内容': '房间小交通拥堵', '短评打分': 2}
{'短评内容': '没有早餐，酒店位置挺偏远', '短评打分': 3}
{'短评内容': '环境很好 人也非常热情 房间还有电脑 电视 设施很全 也有水和吃的 不过偏贵 建议饿的话自己出去买 房间空间还是挺大的 ', '短评打分': 5}
{'短评内容': '不是太满意，不过对的起这个价钱了，，还是定连锁的正规的宾馆吧', '短评打分': 4}
{'短评内容': '从网上订的，住的条件不说了，网上特价房157.早上结账时收了198，说是携程网给我返现呢，等了9小时没动静，建议大家不要在网上订他家，都是骗子', '短评打分': 2}
{'短评内容': '不错，物有所值', '短评打分': 4}
{'短评内容': '干净舒适，老板很热情。', '短评打分': 5}
{'短评内容': '不错，服务挺好，下次还会光顾！不错，服务挺好，下次还会光顾！不错，服务挺好，下次还会光顾！不错，服务挺好，下次还会光顾！', '短评打分': 3}
{'短评内容': '即刻挺便宜', '短评打分': 3}
{'短评内容': '价格摆在这里，很一般。只能是凑合一晚。', '短评打分': 4}
{'短评内容': '总的来说还可以吧，就是衣服挂只有两个有点少，而且洗澡的时候热水总是忽冷忽热的  很气人   房间挺干净的。就是设施有点旧', '短评打分': 3}
{'短评内容': '马马虎虎！能将就！价格匹配吧！', '短评打分': 4}
{'短评内容': '就在小区附近，给朋友临时住一下，环境设施一般，只图方便', '短评打分': 4}
{'短评内容': '要的就是便宜，我前面8天的入住确认了，不知道为什么后面二天没有帮我确认，求艺龙帮忙。', '短评打分': 3}
{'短评内容': '我入住10天，要求返现，但后面二天确没有确认，请艺龙帮忙。', '短评打分': 3}
{'短评内容': '第一酒店地理位置太偏僻，我到达五里店公交站后，下来打的，出租车司机都找不到这个店。看来不是很有特色。\n第二我住的是单人间，房间很小。进去以后感觉很压抑，房间唯一的窗户也是开向过道的，见不到阳光。\n第三：卫生条件一般，而且洗漱用品也很差。\n唯一让人心动的可能就是价格，138一晚，对于在北京来说可能是便宜的。但是这地真的很难找，位置离北京市中心太远。最重要的是地铁不能到达。', '短评打分': 1}
