{'短评内容': '空间很大，设施很好，很棒', '短评打分': 5}
{'短评内容': '感觉不错交通方便环境也很好', '短评打分': 5}
{'短评内容': '挺好的，前台服务也不错', '短评打分': 5}
{'短评内容': '早餐还行，周边环境还不错，就在地铁口。卫生状况还好，唯一不足之处就是楼下餐厅工作时，抽烟口声音太大，不是一般的响。', '短评打分': 4}
{'短评内容': '房间较差，比较吵', '短评打分': 2}
{'短评内容': '刚住进来 整体来说很不错 不想出差几天住这了不换了 不能加床早餐明天试下 位置不错 就是好像停车位有点紧张', '短评打分': 5}
{'短评内容': '酒店可以，交通便利。', '短评打分': 5}
{'短评内容': '太差了，以后不会再住了', '短评打分': 2}
{'短评内容': '令我最意外的就是早餐不错 地理位置也方便 靠近天虹 吃东西方便。是老酒店 设备都比较老旧  总体性价比还高', '短评打分': 5}
{'短评内容': '不错的酒店，住过很多次了', '短评打分': 5}
{'短评内容': '不错，住过很多次了', '短评打分': 5}
{'短评内容': '不太好', '短评打分': 2}
{'短评内容': '住了几次感觉还好，就是隔音一般', '短评打分': 4}
{'短评内容': '环境不错，服务态度很好，下次还会选择', '短评打分': 5}
{'短评内容': '价格便宜，吃饭方便，宵夜也方便', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐也很好，品种不多，但是能吃饱。 房间很大，中央空调不错，只是停车位很少。   猜酒店是新装修的，过道里一股味道，像菜味，又不像。也许是新装修的味道。最好能消除，会感到恶心', '短评打分': 5}
{'短评内容': '地处高新区，附近的天幕影城很棒，就是在修地铁，显得有点不便利', '短评打分': 5}
{'短评内容': '酒店卫生很差，卫生间的墙面上都是污垢，半夜还有人打电话问要不要小姐！床也硬得像木板。电梯里地面都掉皮了，还收那个价！不值！', '短评打分': 3}
{'短评内容': '房间不错，交通便利，周边也餐饮也很方便，娱乐设施少点。', '短评打分': 5}
{'短评内容': '洗手间布局不好，房间显得很细。价格也稍高。', '短评打分': 1}
{'短评内容': '条件可以', '短评打分': 3}
{'短评内容': '酒店的设施算是一般吧。我入住的房间洗浴间的地砖马赛克都有不少缺少的。不过交通还算可以，就算没有车接送的话，酒店旁边公交都很便捷的，去市中心，火车站什么的都不需要转车。主要是比火车站附近的酒店安静多了。还有就是服务不错，前台MM答问什么的态度都很好。早餐嘛，一般了，不过粥挺不错的。', '短评打分': 5}
