{'descr': '前台有个男服务员态度不好', 'star': 4}
{'descr': '出门右转就是望京凯德，左转笔直走十分钟就到望京sohu以及合生麒麟广场，吃喝玩乐逛一圈相当方便', 'star': 5}
{'descr': '机场下来20分钟车程，倒也算方便。房间非常小，空间局促，比较适合一个人住，但卫生条件还算尚可，洗漱用具都是消毒后真空包装的。价格其实也不便宜，要300多，据说是因为优品的关系，但的确没感觉到和普通7天酒店的差异化', 'star': 3}
{'descr': '位置不错，方便好找。', 'star': 5}
{'descr': '挺干净的，床挺大，一个人超舒服', 'star': 5}
{'descr': '酒店的地理位置优越，交通便利。坐落在主干道上，对面就是地铁站。旁边就是商业区，毗邻饮食一条街。前台人员的服务一直热情周到，很贴心。客房大姐们打扫卫生很干净，住起来很放心。这家店的员工素质相当高。住了这么多的快捷酒店，这里给我留下了深刻的印象！尤其要夸赞的是永和大王的品牌早餐，酒店为了更好的服务客人平价代订，按时送入房间。早餐品质也很棒，卫生放心。酒店里的装修很有格调，温馨别致。热水喷淋洗澡特舒服，', 'star': 5}
{'descr': '非常非常的挤的房间非常简单', 'star': 5}
{'descr': '京东的酒店服务还是不错的，还可以用券，很划算', 'star': 5}
{'descr': '还不错吧，价格一般不算便宜', 'star': 5}
{'descr': '不错呢     不错呢', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间很干净', 'star': 5}
{'descr': '前台的服务员都很好', 'star': 5}
{'descr': '每次来出差都会订这家酒店，一如既往的好。', 'star': 5}
{'descr': '交通方便，服务很好!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': '地理位置不错，交通方便。酒店设施比较齐备，住宿环境比较安静，推荐下！下车来还会入住这里！赞一个，不错！', 'star': 5}
{'descr': '还行吧', 'star': 4}
{'descr': '离公司很近,服务很好，环境也过得去,旁边有沃尔玛的购物方便，不远的地方有公交车站对面有地铁阜通站', 'star': 5}
{'descr': '一般吧，地下室', 'star': 2}
{'descr': '帮朋友订的，朋友说总体都不错，环境好，服务态度好，下次还会选择。', 'star': 5}
{'descr': '满意', 'star': 5}
