{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '被子太薄了', '短评打分': 3}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '环境不错，房间挺干净的', '短评打分': 5}
{'短评内容': '对汉庭酒店的广告不满意，下单时特意加多点钱选择有窗的房间，没想到到店里却说下单的是无窗房&hellip;&hellip;无窗房间阴暗闷热，压根没法住，到前台申请退款时才给我们升房间换成有窗户的，这广告真的很假&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境不错，有停车位，房间很干净，客服态度还行，非常不错！', '短评打分': 5}
{'短评内容': '环境还可以，服务也挺好。', '短评打分': 5}
{'短评内容': '酒店总体不错，就是睡觉有点吵', '短评打分': 5}
{'短评内容': '前台服务态度很差，房间硬件旧又差，空间很小，总之不会订第二次！', '短评打分': 1}
{'短评内容': '位置比较安静，距离地铁口不是介绍的那么近，不过还好。1号线F出口沿路得走一会儿。附近吃饭可以走十分钟左右到东川路比较多，挺方便的。大床房，包括设施都挺好。就是刚进房间的时候巴氏消毒液的味道太浓了，呛人。上下电梯要刷卡，比较注意安全一点。', '短评打分': 5}
{'短评内容': '交通不方便出地铁走20分钟。携程价格和现场买票差不多。房间床单消毒水味道太重好刺鼻。靠高架桥窗吵得整夜难眠。前台骗我说扫二维码连Wi-Fi，明明就是扫码入会员嘛，被欺骗的感觉不好受。不过服务还挺好的。', '短评打分': 3}
{'短评内容': '离地铁站有段距离，下雨天特别难走，家庭房只有两张一米五的床 本以为会是一张大床加一张小床的 失望??', '短评打分': 3}
{'短评内容': '住过北上广深的汉庭也有它家的会员卡可这家的汉庭环境最差了，反正很不理想！！！她们说的没错连把梳子都没哎！', '短评打分': 3}
{'短评内容': '服务不错，方便', '短评打分': 5}
{'短评内容': '整体不错，只是隔音效果有点差', '短评打分': 5}
{'短评内容': '太吵了 旁边是高架桥 酒店用品太抠门', '短评打分': 3}
{'短评内容': '很安静，没想象中的一般，卫生很好，值得入住。', '短评打分': 5}
{'短评内容': '干净卫生，服务不错。关键离地铁很近，还会入住', '短评打分': 5}
{'短评内容': '不错 虽然在大马路边 但双层窗户隔音效果还不错 噪音没想象中的大', '短评打分': 5}
{'短评内容': '比中山一路的强好多，性价比，呵呵，就是离地铁站距离稍远点', '短评打分': 5}
{'短评内容': '电脑房网速真的真的很慢。。。。。。。凑够20字', '短评打分': 5}
{'短评内容': '交通比较便利，有地铁站，房间比较安静，下次来还会选择这里。', '短评打分': 5}
{'短评内容': '价格中等但马路边，汽车声太大,装修较新很干净。', '短评打分': 5}
{'短评内容': '性价比还ok啦，有wifi，只是停车有点麻烦', '短评打分': 5}
{'短评内容': '方便，但是没有早餐', '短评打分': 1}
{'短评内容': '交通很方便，步行5分钟即到地铁站。打车去其他地方也很近就十来块钱。唯一不足就是房间不是很新且窗外有点吵', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间挺大的，有独立的书桌，卫生间大，设备齐全，床很大，住的挺舒服的', '短评打分': 5}
{'短评内容': '这次安排的房间相对安静些,房间环境卫生都挺好,服务也很好.', '短评打分': 5}
{'短评内容': '关于这家汉庭酒店我有两点看法：1.前台总是不断给我推荐会员卡，在我拒绝之后还不断地继续游说我办卡，感觉很不好；2.毛巾有明显气味。3.未经允许进入房间（我已经在门外放置了“请勿打扰”牌。尽管如此，但这家酒店整体的感觉还是不错，我还是会入住这家酒店。', '短评打分': 5}
{'短评内容': '很不错。地方很好找，近地铁站~而且也不贵', '短评打分': 5}
{'短评内容': '挺一般的，最讨厌电吹风，半个小时也吹不干呀！', '短评打分': 1}
{'短评内容': '环境不错，交通还可以，下次去了继续住，环境不错，交通还可以，下次去了继续住，环境不错，交通还可以，下次去了继续住', '短评打分': 5}
{'短评内容': '地点不是很好找。屋里的东西都有一股霉味。镜子居然都长毛了。', '短评打分': 1}
{'短评内容': '只是离办事的地方近才入住\n优点：比较便宜！\n缺点：感觉路边很吵。', '短评打分': 1}
{'短评内容': '还不错！', '短评打分': 3}
{'短评内容': '我订到一间百元特价房，入住时服务员告诉我特价房一般都有点瑕疵。像我这间就是离高架桥近杂音较大。不过我每晚累得睡觉都很沉，所以这个一点没影响到我。很值。因此建议订特价房的朋友要提前问好为何做活动。这家店地处广州中心位置，交通便利，从东山口地铁站去哪儿都挺方便。服务人员态度都很好。若按原价入住有点小贵，房间有点小，特价当然就不一样。总体还是不错的。', '短评打分': 5}
{'短评内容': '汉庭的素质一向没得说，是我最喜欢的连锁酒店，现在这个价位绝对是超值！\n具体这一家位置有点偏，加上地铁口在维修，找起来有点难。\n好在房间整洁舒适，前台服务人员周到，入住退房快捷。\n', '短评打分': 5}
{'短评内容': '靠路旁，比较吵，隔音一般，但有免费网络和电脑，交通还算方便，服务态度也挺好，房间电视经常断和无声音，但修理及时', '短评打分': 5}
{'短评内容': '不错的酒店，房间很大，大床也很大，也很干净整洁，附近有几家饭店味道也很不错，下次办事还住在这，离地铁也很近。', '短评打分': 5}
{'短评内容': '交通方便，保安严密，连乘升降机也要刷房卡。只是旁边是洗车的，白天可能比较吵。', '短评打分': 5}
{'短评内容': '我住的百元房还有窗户，除了户型稍微不规则外，房间面积也还不错', '短评打分': 5}
