{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '还将就吧，附近宾馆多，但这家价格稍微便宜一点点………………………………', '短评打分': 4}
{'短评内容': '都市云端，很舒服，很划算。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间洁净卫生，周边交通便利，房间纱窗破损，晚上蚊子猖獗，早餐太简单，性价比低，近期酒店要关闭，以后需另换酒店了', '短评打分': 4}
{'短评内容': '房间舒适，安静', '短评打分': 5}
{'短评内容': '住的还是比较舒服的，早餐也蛮丰盛的', '短评打分': 5}
{'短评内容': '房间挺宽敞的，哦不，挺大的，住着心情也开敞许多', '短评打分': 5}
{'短评内容': '房间不错，吃喝也很方便', '短评打分': 4}
{'短评内容': '还是阔以', '短评打分': 5}
{'短评内容': '火车站附近,方便,携程上订可返加优惠券一算价格也不错.', '短评打分': 5}
{'短评内容': '环境优雅、服务好', '短评打分': 5}
{'短评内容': '不错，每次都住这家酒店。', '短评打分': 4}
{'短评内容': '不错，每次都住这家酒店。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以  可以  可以', '短评打分': 4}
{'短评内容': '还可以吧，出行方便。价格有点贵，走廊上烟味严重', '短评打分': 4}
{'短评内容': '房间非常不错，感觉很超值，位置也不错，推荐！', '短评打分': 3}
{'短评内容': '酒店离车站较近但环境不嘈杂，房间蛮干净的。性价比较好。', '短评打分': 3}
{'短评内容': '距离火车站很近,走路5分钟.\n缺点是酒店旁边正在装修,比较不便.', '短评打分': 5}
{'短评内容': '没有上次住的感觉好，房间在六楼，洗漱台，比较脏。 开始没电脑，后来换了个有电脑的房间，电脑网速，很慢，机子很卡，还不能插数据线，因为当时比较晚，也就算了。 希望能改进下。', '短评打分': 5}
{'短评内容': '感觉不错，我很喜欢卫生间，干净舒服。床大而且很软。只是墙有点脏。', '短评打分': 3}
{'短评内容': ' 酒店非常不错。设施也很齐全，而且离车站和火车站很近。步行也就3-5分钟就到了！！', '短评打分': 5}
{'短评内容': '很好 房间很新颖 性价比高 很不错的经济酒店', '短评打分': 5}
{'短评内容': '离火车站和长途汽车站很近，周围也还比较安静。房间还是比较舒适的，宽带网速不错，服务也还好。如果只是短暂停留，可以考虑。', '短评打分': 5}
{'短评内容': ' 不错 酒店环境清静 房间新装修 干净舒适 ', '短评打分': 3}
{'短评内容': '环境不错，舒适。。就是房间太少了，都只预定到最后一间。', '短评打分': 5}
{'短评内容': '很不错，这个价位的酒店相当不错，环境好，设施也挺好，干净 有个性', '短评打分': 5}
{'短评内容': '还不错，比较满意.只是洗手台在房间里，这一点不是太好', '短评打分': 5}
{'短评内容': '晚上10点多的飞机道德绵阳，当地的一个朋友陪我找这个酒店花了半个多小时，而前台的电话又一直占线，后来才知道就是原来的二炮招待所！另一个就是房间内的洗脸台不在卫生间里，而是在床对面，电视机的侧下方，感觉有些别扭。酒店内部应该新装修过，总体上性价比还算过得去吧，就是没早餐不方便。', '短评打分': 5}
{'短评内容': '这个价位，算是绵阳最舒适的酒店，其他之一还~木有发现~\n住在这里很舒适~', '短评打分': 5}
{'短评内容': ' 真是个不错的地方！很漂亮！', '短评打分': 3}
{'短评内容': '经济型酒店，装修风格很不错，挺新的，一些用品价格也很实惠，唯一的问题可能是因为握住了好几天，收拾屋子的保洁只是每天更换牙刷和毛巾和浴巾，但好几天没有更换床单被套这些，直到后来一次我主动要求才更换，除了这点，其他都不错', '短评打分': 5}
{'短评内容': '条件还可以，下次可继续入住', '短评打分': 3}
{'短评内容': '住了一晚感觉不错，卫生条件可以，安静，设施较新。但是前台注册有点慢。', '短评打分': 5}
{'短评内容': '房间蛮大，挺漂亮的。\n不错，很满意，就是地方有点不太好找。', '短评打分': 5}
{'短评内容': '可以！就是希望以后物品点清楚', '短评打分': 3}
