{'短评内容': '环境不错，休息的挺好', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉 ,下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '老店，服务还行', '短评打分': 3}
{'短评内容': ' 感觉很不错 很干净整洁  屋子也宽敞  非常非常满意', '短评打分': 5}
{'短评内容': '不错 挺好 很温馨', '短评打分': 5}
{'短评内容': '好掉我一直想去你这样', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '常住，挺好，很安全，各方面都不错', '短评打分': 4}
{'短评内容': '环境很不错，前台服务态度差了一点点，其他的都很好', '短评打分': 5}
{'短评内容': '酒店周边都是KTV，房间卫生很一般。一打开被子还有体毛，看着都恶心。周围环境太复杂，人太乱。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通位置便利，价格合理。房间挺干净卫生的，热水给力。值得入住。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，性价比还可以', '短评打分': 3}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '酒店设施齐全，卫生环境不错，服务员态度好。', '短评打分': 5}
