{'短评内容': '真心不错，推荐', '短评打分': 5}
{'短评内容': '还不错，这个价格已经很好了', '短评打分': 4}
{'短评内容': '不错，很喜欢', '短评打分': 5}
{'短评内容': '名字和照片都很好。不值这个钱。民房改造一下而已。很简陋。看到就心烦。又不能退票。', '短评打分': 3}
{'短评内容': '性价比不错，老板服务周到又热心肠，主动为我们介绍象山观景攻略，免费为老人加了床被子，还帮忙指挥停车，点赞！', '短评打分': 4}
{'短评内容': '性价比高，老板人很好，服务周到又热心肠，不仅主动为我们介绍象山观景攻略，还帮忙指挥停车，而且免费给老人加了床被子，我点赞。', '短评打分': 4}
{'短评内容': '一般。', '短评打分': 2}
{'短评内容': '卫生差。  毛巾也没有', '短评打分': 1}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': 'Hotel was very remotely located and it was difficult to identify the hotel. Landlord/ manager was just interested in charging additional money but was really not that helpful. It was initially mention', '短评打分': 2}
{'短评内容': '一般般，店主热情……', '短评打分': 2}
{'短评内容': '竟然说没有空调，房间闷热。另加空调费用才能睡着。', '短评打分': 2}
{'短评内容': '首先在这里表示对老板的感谢，离店后去龙脊梯田的半路上发现手机不见了，好像落在房间，赶紧给老板打电话，老板听后也很紧张，又是搬床翻找又是到处找打扫卫生的服务员，真的给我找到了，简直有点喜出望外，连忙道谢，老板表示，他家服务员素质绝对高，以前有游客把钱包落下，他们发现后都是给人家送到火车站交到客人手里的，真的很感动，所以其他方面的评价都不重要了，就冲老板的这种热情和诚信，必须大大的好评，最后因为行程原', '短评打分': 5}
{'短评内容': '卫生间反尿骚气味。到七星公园近。', '短评打分': 3}
{'短评内容': '老板非常热情，近景区', '短评打分': 4}
{'短评内容': '价钱不贵，设施太旧了。', '短评打分': 4}
{'短评内容': '结构紧凑布局合理，安静卫生', '短评打分': 3}
{'短评内容': ' 宾馆在胡同里，走过头了都没看到。?房间看起来还干净，但是老板说特价房不给空调，其实房间是有空调的，没遥控器。而且没窗户！', '短评打分': 3}
{'短评内容': '酒店位置非常不好找', '短评打分': 3}
{'短评内容': '很好，法师法师大哥vdvdvdfedrfefdgrythfbdffg  辅导费dvdvd', '短评打分': 1}
{'短评内容': '地点偏.服务也没有感到热情.还可以吧', '短评打分': 3}
{'短评内容': '旅馆不错,挺干净的,就是不太隔音', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '感觉还不错，干净整洁，性价比高，出行比较方便，服务员态度也很好。下次到桂林，还会考虑入住', '短评打分': 3}
{'短评内容': '价格还是比较实惠的，虽然我订的是特价房，但里面的东西看起来还比较干净，特别是那张大床，是我最满意的。不足的地方是，楼层与楼层之前、房间与走廊之间的隔音不好，显得比较吵，早上六点多就被吵醒了。', '短评打分': 5}
{'短评内容': '到了一看，是个两星的家庭旅店，号称：尽观桂林两江四湖美景，进房间就马上拉开窗帘赏风景，结果尼玛，坑爹啊，窗户外面是一堵结结实实的水泥墙，当场崩溃。早上前台结账，居然告诉不给开发票，很郁闷。又一次被京东给欺骗了，本来想投诉，想想算了，自找的。以后还是上携程，艺龙，找专业的才是硬道理。', '短评打分': 1}
