{'短评内容': '酒店比较久了，房间设施陈旧。', '短评打分': 3}
{'短评内容': '不错，周边有超市有拉面馆，隔景点近，地铁也近，非常方便', '短评打分': 4}
{'短评内容': '虽然前台接待人员服务态度很差，我们有个小伙伴甚至拒绝入住酒店。但房间还可以，所以其他人还是入住了。周围也有很多吃的，交通便利。其他都还可以啦', '短评打分': 4}
{'短评内容': '这个酒店总定不上，今天终于定上了，感觉好', '短评打分': 2}
{'短评内容': '离几个主要景点和地铁口都很近，出行方便，但设施一般。', '短评打分': 4}
{'短评内容': '适合去701设计所交流！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '价格好，离701比较近，适合和客户交流！', '短评打分': 4}
{'短评内容': '地理位置不错，房间比较宽敞，就是浴缸和淋浴设计的不太合理，毕竟是老酒店了，相对来说设备都比较陈旧。', '短评打分': 4}
{'短评内容': '交通方便，干净整洁，性价比高', '短评打分': 4}
{'短评内容': '清明假期，一家三口入住，房间很宽敞，干净、安静，比我去北京住的酒店好多了。性价比很高，下次来还会入住。', '短评打分': 5}
{'短评内容': '房间设施不错。也比较宽敞。性价比还可以。\n就是隔音差一点点。\n旁边有个神经病，夜里两点还在看电视。。\n有点小郁闷的、', '短评打分': 5}
{'短评内容': '第一次入住，酒店位置不错，房间干净卫生。', '短评打分': 5}
