{'短评内容': '一切都还可以', '短评打分': 4}
{'短评内容': '安静，方便，价格实惠！', '短评打分': 4}
{'短评内容': '酒店位置好', '短评打分': 4}
{'短评内容': '挺好的，入住感觉不错。', '短评打分': 4}
{'短评内容': '总体来说还可以', '短评打分': 4}
{'短评内容': '干净方便，服务很好', '短评打分': 5}
{'短评内容': '房间宽敞干净卫生、价格实惠', '短评打分': 5}
{'短评内容': '位置很好，很方便，已经多次入住', '短评打分': 5}
{'短评内容': '离地铁站近，房间还不啊。', '短评打分': 5}
{'短评内容': '离地铁站很近，房间还不错。', '短评打分': 5}
{'短评内容': '总体还可以，比其他地方要好些。', '短评打分': 5}
{'短评内容': '宽敞，透光性好，实惠，要是把洗手间下水道的的小味道除一下就更好了！一直住如家，比起七天强太多。', '短评打分': 5}
{'短评内容': '非让评价我才评价的，我从来不评价，\n住着还行，挺干净的，交通方便', '短评打分': 5}
{'短评内容': '东西不错，很实惠哈。', '短评打分': 5}
{'短评内容': '格局好，环境温馨又实惠，相比一些三星酒店，做得好多了！', '短评打分': 5}
{'短评内容': '交通便利，安静', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '房间位置还行，出门就可以坐一号线，但是挨着马路晚上会很吵，而且厕所有味', '短评打分': 5}
{'短评内容': '房间位置还行，出门就可以坐一号线，但是挨着马路晚上会很吵，而且厕所有味', '短评打分': 5}
{'短评内容': '帮朋友定的，还行', '短评打分': 5}
{'短评内容': '去住时，正在装修，看得有些乱，价格从网上定的比较便宜。', '短评打分': 4}
{'短评内容': '凑合。', '短评打分': 5}
{'短评内容': '交通便利，环境还不错，干净卫生', '短评打分': 3}
{'短评内容': '酒店可以就是门口的停车场乱收费，以后不会再来了', '短评打分': 4}
{'短评内容': '很不错，挺好的哈！', '短评打分': 4}
{'短评内容': '干净，方便。下次还会住。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，干干净净，房间装饰温馨', '短评打分': 5}
{'短评内容': '在成都玩住这里很方便，离地铁站很近，酒店也很不错，挺满意的', '短评打分': 5}
{'短评内容': '酒店不错，房间够大！干净卫生服务态度好！', '短评打分': 5}
{'短评内容': '房间很干净，交通很便利，坐地铁很方便，就在楼下出门右边。唯一不好的就是形象问题，居然有人介绍小姐，发名片。这一点一定要管一下，', '短评打分': 4}
{'短评内容': '地铁口干净又方便', '短评打分': 5}
{'短评内容': '地铁口干净又方便', '短评打分': 5}
{'短评内容': '很不错 ，服务态度很好。房间阳光很好。下次如果去还会住的。', '短评打分': 5}
{'短评内容': '交通便利，距离文殊院很近，地铁也很方便 住了三天 服务也不错', '短评打分': 5}
{'短评内容': '酒店离地铁站很近，房间很干净，服务员的态度都非常可亲，而且有求必应。', '短评打分': 5}
{'短评内容': '位置好，比较干净，适合出差人员或家庭旅游居住。位置好，比较干净，适合出差人员或家庭旅游居住。\n\n', '短评打分': 5}
{'短评内容': '交通方便，就在地铁站旁边。酒店房间很多。', '短评打分': 5}
{'短评内容': '位置好，交通方便，而且在附近吃饭也很方便，会向朋友推荐，下次来了还住。', '短评打分': 5}
{'短评内容': '好，很好，非常好。性价比很高。200元以内的价格有点出乎意料', '短评打分': 5}
{'短评内容': '干净，挺好。', '短评打分': 3}
{'短评内容': '环境干净，就是洗脸盆在房间了，不太好', '短评打分': 3}
{'短评内容': '这个差评师给喜欢上网的朋友的，网速不是一般的慢，看个视频都不顺。网页打开速度也很慢，本人用的是英特尔I7四核，内存4GB的DELL的笔记本，应该不会是因为我的电脑的关系吧！', '短评打分': 1}
{'短评内容': '方便，干净，很舒适。', '短评打分': 3}
{'短评内容': '挺干净的，就是临街太吵了，一到晚上对面装修倒装修垃圾就发出很大的噪音，两晚都没休息好，白天挺安静的。', '短评打分': 5}
{'短评内容': '还不错的。服务员很热情。。。就是除了我们住的洗手池挨着床有点儿别扭。。。早晨起来外面有装修的有点儿吵~~~总得来说其他卫生服务什么的还是不错的，推荐！', '短评打分': 5}
{'短评内容': '很容易找到，就在地铁站旁边。设施还可以，就是网速太慢了。', '短评打分': 5}
{'短评内容': '双床房的格局就不好了，开放式的洗手间，窗户关不上，房间有点旧，其他方面还行吧，优点就是方便，好找，离文殊院特别近', '短评打分': 5}
{'短评内容': '住的大床房，房间比较大，有两瓶免费的水，隔音很好，距离地铁站50米左右，电视很旧，每天都有很多小卡片，房间对着院子的要安静的多，怕吵的别选择靠马路的。', '短评打分': 5}
{'短评内容': '卫生很好。不足之处是房门的质量不太好，隔音差，过道行人说话声都听得很清楚；只有一个电梯，且速度太慢。其他都还是蛮好，瑕不掩瑜，推荐入住。', '短评打分': 5}
{'短评内容': '酒店服务不错，交通也方便，真的如家的感觉！', '短评打分': 5}
{'短评内容': '房间还不错下次还住', '短评打分': 3}
{'短评内容': '离文殊院很近，早晨可以走过去吃个早餐，房间挺干净，酒店位置也不错，晚上睡觉很安静。', '短评打分': 5}
{'短评内容': '干净卫生，服务态度很好！可以在房间放一些选择性消费的日用品。我这次忘记带剃须刀，还要跑到骡马市附近去买。', '短评打分': 5}
{'短评内容': '环境可以，离地铁站很近。出行方便。斜对面是文殊院', '短评打分': 5}
{'短评内容': '就在地铁口旁, 真是很方便, 而且文殊坊游人不多, 更适合爱安静的人, 那儿有个小吃街,吃的方便. ', '短评打分': 5}
{'短评内容': '如家全国都差不多，这里主要是交通方便，有地铁Q', '短评打分': 5}
{'短评内容': '酒店位置不错，出了地铁站就能找到。出行方便。  出门在外像如家这种酒店就是能让人住的放心。 预定的房价干净，整洁，卫生。房价的搭配也让人很舒服，服务也还是不错的。建议管理下小广告之类的。 总的来说很值得入住。', '短评打分': 5}
{'短评内容': '酒店位置很好找，出了文殊坊地铁站就能找到。想如家这种酒店就是有他的标准，住的很放心。预定标准间干净卫生，服务也相当周到。下次来成都还会选择这家。。值得入住。', '短评打分': 5}
{'短评内容': '很不错哦，房间很大，落地窗帘，不过不是所有房间都一样，还是很幸运的。', '短评打分': 5}
{'短评内容': '房间很不错。服务很好', '短评打分': 3}
{'短评内容': '如家一贯的作风，很不错 周围环境还可以，离商业区很近，吃饭也很方便', '短评打分': 5}
{'短评内容': '地理位置离地铁近，房间设施简单，电梯很慢，凑活将就可以。', '短评打分': 5}
{'短评内容': '实惠，不错！', '短评打分': 3}
{'短评内容': '价格实惠，不错！', '短评打分': 3}
{'短评内容': '第二次住了，交通方便，还可以到文殊院去吃小吃', '短评打分': 5}
{'短评内容': '＋性价比很高，早餐很好吃', '短评打分': 3}
{'短评内容': '比较安静，离文殊院很近，交通算方便…服务态度也挺好…值得推荐…', '短评打分': 3}
{'短评内容': '离地铁很近，交通方便，服务态度很好，安静，采光好', '短评打分': 5}
{'短评内容': '环境安静，房内也很温馨，房间较大，惟一缺点就是宾馆没有中晚餐', '短评打分': 5}
{'短评内容': '交通真的很方便，吃饭还可以，后面有一条街可以提供小吃， 就是电视太老了，跟不上时代啊', '短评打分': 5}
{'短评内容': '不错，卫生较好，安静', '短评打分': 3}
{'短评内容': '位置不是很好找，在文殊院地铁B口，一直往前走的一个巷子里面，房间很干净、不错；唯一一点不好就是隔音，隔壁洗澡的声音都能听见，还好听不见外面的汽车噪音，还有门缝边的小卡片让人不爽。', '短评打分': 5}
{'短评内容': '什么都好，就是电视过时了，还是大屁股电话，建议换新的吧！', '短评打分': 5}
{'短评内容': '交通非常方便，到南北火车站均有地铁。不足的地方是8：00以后早餐补菜不及时，有些品种吃完了空着。如果能提供中餐或晚餐更好，这对于一个人出差的朋友来说，解决的吃饭问题！！', '短评打分': 5}
{'短评内容': '靠近文殊院，文殊坊，谒禅院品小吃逛街市仅几步之遥，近地铁口交通方便。', '短评打分': 5}
{'短评内容': '交通变利，坐地铁方便，周围美食也很多，如家也好找，总体不错', '短评打分': 5}
{'短评内容': '地理位置不错，交通也很便利，住宿条件也很好，在文殊院美食街还吃到了可口的小吃。唯一美中不足的是去熊猫基地是按照酒店大厅的交通指南坐某某路转某某路，绕了一个小时出头后才发现此公共汽车就在酒店的附近就能坐到，根本不需转车。酒店的交通指南应符合该酒店的具体地址。', '短评打分': 5}
