{'短评内容': '网络太差，几乎无法使用', '短评打分': 4}
{'短评内容': '讲究吧！！！', '短评打分': 4}
{'短评内容': '酒店位置很好 就在春熙路旁边 房间超大的 离春熙路地铁站800米 天府广场1km 坐地铁略微远 其他交通工具超方便', '短评打分': 5}
{'短评内容': '酒店办入住手续是在博悦酒店前台办理。实际入住要到旁边如家酒店处电梯上楼。是好几个酒店共享的酒店楼，不同酒店不同楼层。房间尺寸还可以，价格合理，就是房间反锁的门锁是坏的。其它的都还比较满意。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务好，定酒店笑率高，同家酒店 在别处定不到，在这可定到，非常满意。', '短评打分': 5}
{'短评内容': '酒店位于市中心的，离地铁站公交车站非常方便坐车，酒店环境非常干净服务人员态度好，下次来成都一定还会再次居住的。', '短评打分': 5}
{'短评内容': '酒店位于市中心去市内坐公交车、地铁站比较方便，酒店环境还可以适合家庭旅游居住，如果在来成都还会再次居住的。', '短评打分': 5}
{'短评内容': '一分价钱一分货吧', '短评打分': 3}
{'短评内容': '房间非常棒，隔春熙路只有几分钟，房间也很大，很不错，下个月来成都还住这一家。只有一个缺点，你们的客服前台可以换一下了，打电话过去问东西那态度，声音让人很不舒服，感觉跟你有仇似的，客服可是门面啊，希望可以改进', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置不错，价格也还行，不过有几点受不了，到退房时间了，酒店前台只给房间打电话，房间没人接的话就说你还续住，妹的，我留给前台的手机号是吃屎的吗，，办张会员卡，结果和在携程一个价，，我也是日了狗了', '短评打分': 3}
{'短评内容': '还不错八', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错，挺方便！', '短评打分': 5}
{'短评内容': '还不错，吃住玩都挺方便！', '短评打分': 5}
{'短评内容': '感觉不错，就是电脑的网速很慢', '短评打分': 4}
{'短评内容': '非常巴适  价格便宜 环境优雅', '短评打分': 5}
{'短评内容': '非常好的酒店,装修一流,住的大床间有电脑,一张带脚凳的椅子,一张沙发,而且浴室的配套用品质量都很好,位置和入住质量都很不错的酒店', '短评打分': 5}
{'短评内容': '地段很好，但是性价比一般。早餐很不好。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错,床大很舒服', '短评打分': 3}
{'短评内容': '酒店卫生较好,适合出差，旅游居住', '短评打分': 3}
{'短评内容': '酒店环境可以,交通便利', '短评打分': 3}
{'短评内容': '订了两个房间，房间还是不错，水床值得推荐。', '短评打分': 5}
{'短评内容': '水床效果比较好，值得推荐，地方不是很好早，需要花点时间。', '短评打分': 5}
{'短评内容': '位置不错，环境也还可以，周边都很方便，就是电梯与一大楼公用，打挤的很！', '短评打分': 3}
{'短评内容': '不错  位置好    装修也不错  住的情侣间  房间很大', '短评打分': 5}
{'短评内容': '住着很舒服，地理位置佳。推荐大家入住环境很好\n\n', '短评打分': 5}
{'短评内容': '出差在外，此酒店离职场很近，交通便利，酒店房间很温馨，入住起来很舒适，地理位置很优越，邻近春熙路步行街、乐森、王府井、太平洋百货，用餐、购物很方便，值得入住。', '短评打分': 5}
{'短评内容': '还算凑合，能住人。价格还算公道。靠不靠谱还难说了。', '短评打分': 5}
{'短评内容': '这酒店位置不错，但KTV噪音很大，而且网速实在是慢得惊人，还会随时打不开网页，其他都挺不错。最让人恼火的就是第一天早上入住居然垃圾桶里就有东西，拖鞋被打开放在浴室里，这些还得改进。以后还会住这的。', '短评打分': 5}
{'短评内容': '酒店就位于春熙路的路口，还是比较方便好找的，逛街非常顺路，周围的KFC、麦当劳、必胜客有很多家！房价也不算高，就是房间的热水稍微麻烦一点，进了房门要按一下门口的加热按钮，一小时后才能有热水用！但总体来说还是推荐的！', '短评打分': 5}
{'短评内容': '再次入住安排的房间很差，空调热水都不好用，房间网速可以跟拨号的时候对比了。要求调房间前台的态度很差，再也不入住了', '短评打分': 1}
{'短评内容': '不错的酒店，在市中心春熙路旁，但是在6楼不太好找，但是房间设施不错，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '面对总府路，右临太平洋百货春熙路口，位置太好。是自商业楼上，还好所在楼层不高，共用一个对外电梯，用餐时间或晚上人多时出入不便。电梯，大堂环境不怎么样，比较小气。两层，走廊色调暧昧，房间还比较干净，不用担心床单不是清洗过的，卫生间不大，照明不好，但淋浴算好用，电热水器。商务套间啥的卧室偌大个房间一张大床一张小床一套写字桌一个小沙发，竟然没有一面镜子。。。其他还好吧，前台服务也比较及时', '短评打分': 5}
{'短评内容': '早上9点10分就没有早餐了，比较遗憾，给了我一个什么早餐盒子，里面两个法式小面包，我吃了；一个伊利优酸乳，一个小美好火腿肠，我没有什么兴趣。其他来说，总体还算是过得去。', '短评打分': 5}
{'短评内容': '地处成都市中心，总府路和春熙路步行街路口，对面就是太平洋百货，酒店2楼有屈臣氏、必胜客、德克士、starbuck，十分便利。房间不算很大，但是有液晶电视机和电脑上网，含双早，很不错。', '短评打分': 5}
{'短评内容': '挺好的一家酒店，房间内设置很浪漫，位置真的是市中心啊。', '短评打分': 5}
{'短评内容': '蓉情.风尚酒店给我的感觉非常不好。1、没有熨斗和熨衣板提供；2、电热水器要自己进房间之后，插上取电卡才能烧水，卫生间很小，没有淋浴房，浴帘也没有，洗澡水溅得到处都是；3、地毯很脏，感觉卫生状况很差；4、周围环境非常扎乱，整晚上都听到汽车的喇叭声，一夜无眠。我订的这儿最贵的套房，真的是无语了...反正我下次一定不会再住这家酒店了。', '短评打分': 1}
{'短评内容': '离春熙路确实近，但旅游团队多，入住结账很费时，房间有点局促，早餐太一般般了。', '短评打分': 1}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '卫生服务都有待提高，早餐太差了，地段蛮好的，房间氛围也蛮好的！', '短评打分': 5}
{'短评内容': '酒店氛围不错，很温馨。女孩子会喜欢的：）设施也不错。', '短评打分': 3}
{'短评内容': '卫生程度需要改善，特别是毛巾和浴巾，建议大家带毛巾', '短评打分': 5}
{'短评内容': '地理位置很好，但很难找到，电梯和酒吧的一起拥挤不堪，房间内地毯很脏，装修一般，要求高的不要考虑了！', '短评打分': 1}
{'短评内容': '酒店位置好，去春熙路很近很近，与同一幢楼的百丽思汀相比，设施好很多，差不多的价位还是蓉情好很多了，但是房间的隔音真不好，总体来说性价比还行吧\n', '短评打分': 5}
{'短评内容': '整天感觉不整洁，像低端的旅社！早餐在接待大厅！酒店有待加强管理！', '短评打分': 1}
{'短评内容': '很不错的一家酒店，服务员很有礼貌，服务也很好，设施较新，装修风格很女性化，适合夫妻情侣入住。', '短评打分': 5}
{'短评内容': '环境很好，也很舒适，就是刚开业的酒店，早餐还很简单，需要加钱，同时结账还不能刷卡结账，但是总体来说都很好。', '短评打分': 5}
{'短评内容': '整体来说还算不错', '短评打分': 3}
{'短评内容': '前台服务还不错，卫生条件不错，比较干净，就是十一期间价格有点高', '短评打分': 5}
{'短评内容': '前台服务还好，7楼条件较好，就是十一期间价格有点高', '短评打分': 5}
{'短评内容': '酒店在7-8楼，前台服务还好，7楼条件比8楼好，就是十一期间价格有点高', '短评打分': 5}
{'短评内容': ' 位置，环境，交通，服务…都很OK！特别适合女性、情侣…', '短评打分': 3}
{'短评内容': ' 位置，环境，交通，服务…都很OK！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '到成都都会去春熙路看看，出差也最好住在这里，吃的用的看的都可以包揽\n\n这家酒店和网站上面的图片不太相符，出乎意料的让人有点意外的惊喜之感---商务大床间竟然有情人节的气氛，订了2间房，一件是粉红主色调，另外一间是紫色主调 哇咔咔\n\n唯一小不足的是，酒店入门处不太好找，建议在总府路上添加上楼的指示才更清晰-因蓉情风尚酒店下面的商家太坏，指引从后门进入(⊙o⊙)', '短评打分': 5}
{'短评内容': '电梯少，不好找，隔音不好；不过适合去春熙路逛街的人', '短评打分': 1}
{'短评内容': '各方面都比较不错，房间布置得不错，很有感觉的，热水要烧20分钟才有，但是水温很好，不会忽冷忽热，地理位置更不用说，就在春熙路旁边。价格也比较合适，我们住了3个晚上。唯一不好的就是停车场不在酒店内，要前行200米左右（是和别的大厦合作的那种），停车场那些老伯态度差死了。停车又不是不给钱，凶死了。建议酒店换个停车场', '短评打分': 5}
{'短评内容': '装修超级好 比较时尚 感觉比较温馨 而且 距离购物街比较近\n装修超级好 比较时尚 感觉比较温馨 而且 距离购物街比较近\n装修超级好 比较时尚 感觉比较温馨 而且 距离购物街比较近', '短评打分': 5}
{'短评内容': '周五周六住的。前台美女很可爱，服务很及时。大床房房顶有镜子，适合情侣。床很舒服。酒店在一幢大楼里，6-8楼都是。环境设施总体不错', '短评打分': 5}
{'短评内容': '酒店位置很好，房间很大，不错！', '短评打分': 3}
{'短评内容': '就在步行街边。 很方便。价位还可以。 房间配电脑。 \n\n', '短评打分': 5}
{'短评内容': '酒店性价比还可以，算是在成都最繁华的地段之一。但装修色调大红大紫，有点艳俗。而且地毯比较脏，毛巾上斑斑点点。要求比较高的朋友可能比较难接受。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，出门打车比较方便。在成都其它地方试过几次打车都比较困难。', '短评打分': 5}
{'短评内容': '重新装修后的房间比以前要素雅一些，价格适中，位置较好，就是停车不方便！', '短评打分': 5}
{'短评内容': '可以，还不错，在市中心很繁华，交通餐饮都很方便。', '短评打分': 5}
