{'短评内容': '酒店位置好有停车场', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不错的订阅，', '短评打分': 5}
{'短评内容': '环境非常非常好', '短评打分': 5}
{'短评内容': '和家人度假，，订了这家酒店，好像网上也挺推荐，入住以后怎么说呢，感觉服务意识有待提高，和开元等管理集团比差距不少。早餐也一般，我们是星期五入住，还加了100元钱。总体和此价位不是特别吻合。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '来住的人都知道位置较偏，肯定不在乎，周边环境佳，空气好，建议初春或刚入秋来玩。房间整体不错，我们几个朋友被一起升级到山景别墅区整栋里住了，几户人家打开阳台门外面的阳台是联通的，超棒。吃饭的话，建议去酒店旁边的农家乐，好吃不贵。', '短评打分': 5}
{'短评内容': '酒店在山顶，风景优美，空气清新。入住的房间挺大，还有阳台（别墅区），唯一就是空调不太给力，在浴室洗澡太冷了，而且热水器容量太小，热水不够洗', '短评打分': 5}
{'短评内容': '一般般 价格偏贵！', '短评打分': 4}
{'短评内容': '这次先后一共订了5个房间 之前订的携程第三方 后来补了2个携程自营房间反而便宜了几十 看来订山区里房间不用太急，总体环境不错 就是酒店设施有点老 周边景点一般 偶尔来玩玩还行', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '酒店服务：毫无服务意识，一问三不知。 设备设施：空调不制热，山上这么冷的天，感觉进了冰窖。', '短评打分': 3}
{'短评内容': '适合一家人出行，山上风景很美 酒店性价比高', '短评打分': 5}
{'短评内容': '酒店的客房还是不错的，有点特色，但是周边的有些设施在装修，有点点吵，旁边的农家乐很好，既便宜，味道也好。', '短评打分': 5}
{'短评内容': '内部设施不错，环境也很好，只是价格对私人消费来说太贵了。相信因为是包含了高山林场的地理位置对酒店造成了运营成本上的压力，但是觉得还是可以降低价格。特别是早餐需要改进，太简单了，特别是人少的时候。', '短评打分': 1}
