{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '总台王毅，李昴，徐梦月服务超级好，让我一下子爱上岷山了，以后每次来成都首选岷山', '短评打分': 5}
{'短评内容': '肖美服务周到贴心', '短评打分': 5}
{'短评内容': '李丹丹 任雨婷 前台服务很好', '短评打分': 5}
{'短评内容': '前台 李丹丹 刘瑞 服务很好 很仔细周到', '短评打分': 5}
{'短评内容': '任雨婷，苏龙龙，服务好！酒店位置好！', '短评打分': 5}
{'短评内容': '总台王毅，陈沛，李昴服务态度好', '短评打分': 5}
{'短评内容': '服务很好，位置也不错，交通出行很方便，总台王毅，宁红，王玥玥服务态度好', '短评打分': 5}
{'短评内容': '服务员袁女士服务热情周到，乐意为我们提供很多服务，让我们有宾至如归的感受，设施设备好，齐全，值得推荐！非常感谢！', '短评打分': 5}
{'短评内容': '总台王毅，王悦悦，郑如练服务态度好', '短评打分': 5}
{'短评内容': '总台王毅，王悦悦，郑如练服务态度好', '短评打分': 5}
{'短评内容': '总台王毅，王悦悦，郑如练服务态度好', '短评打分': 5}
{'短评内容': '毕竟是老的酒店，我们住的一般的普通间感觉有点小，但是在市中区这样的这个价格也只能住这样的了。', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '不错很优惠不错很优惠不错很优惠', '短评打分': 5}
{'短评内容': '很安静，出门右侧就是机场大巴的终点。设施完备', '短评打分': 4}
{'短评内容': '成都出差必选岷山饭店，地铁，机场大巴，前台黄泳嘉，夏礼杰，邹怡帆服务热情！客房部何丹，肖美，态度和蔼可亲！', '短评打分': 5}
{'短评内容': '酒店位置很好，出行交通什么的都十分方便。酒店服务员何丹和刘学秀服务很好，很贴心，住的很满意！下次来还住这里！', '短评打分': 5}
{'短评内容': '对宁望芬服务很满意', '短评打分': 5}
{'短评内容': '客服服务刘学秀态度热情周到，房间打扫干净整齐，酒店有一种宾至如归的感觉，下次还会再来！', '短评打分': 5}
{'短评内容': '特别感谢服务员刘学秀大姐，服务认真周到', '短评打分': 5}
{'短评内容': '很老的五星级了，自助餐不错，家庭房是骗人的，就是普通套房，在外面加个小床。', '短评打分': 4}
{'短评内容': '去成都参加2016TGC，腾讯同学推荐了这家老字号酒店。岷山饭店位于黄金区域，离市中心一步之遥，不远处就是地铁站，出行非常方便。豪华房布置得很温馨，夜间还会送上暖心银耳羹。服务也很棒，服务员肖明珍还体贴地为我准备了鼠标垫。对成都的印象更上一层楼了~', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '服务很好，床和枕头好舒服，还有热情贴心的服务员忙前忙后，有花生糖和银耳汤，宾至如归，舒服自在！很喜欢杨平的客房服务！下次还会再来的！', '短评打分': 5}
{'短评内容': '刘学秀服务很好，热情', '短评打分': 5}
{'短评内容': '服务员杨平服务态度很好 晚上还送银耳汤', '短评打分': 5}
{'短评内容': '地铁出口，民航大巴始发站点，这个地理位置绝佳了！', '短评打分': 5}
{'短评内容': '房间不错，环境很好，位置方便出行', '短评打分': 5}
{'短评内容': '酒店位于市中心距商业繁华中心只有数百米 安静卫生 早餐最令人满意 品种非常丰富 且几乎每样都达到了五星级自助餐的标准 非常享受 所住的双床房设备已经偏老旧了 空调声音也偏大', '短评打分': 5}
{'短评内容': '环境舒适、交通方便，机场快线就在对面', '短评打分': 5}
{'短评内容': '预定的房型没有了，要求付费升级，不过金额还算可以接受，因为生日原因，也就妥妥的办了。  套房设施很好！必须点赞', '短评打分': 5}
{'短评内容': '艺龙服务没问题，到店后的前台服务也没问题，但是就是接电话的客服人员态度太差劲！', '短评打分': 4}
{'短评内容': '还不错，性价比很不错的酒店，交通也比较便利。', '短评打分': 5}
{'短评内容': '酒店虽然有些老了，但整体还不错！。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店设施非常到位，特别是早餐很丰富，下次还会选择岷山。', '短评打分': 5}
{'短评内容': '酒店不错！', '短评打分': 3}
{'短评内容': '性价比不高................................', '短评打分': 1}
{'短评内容': '……酒店非常好！！', '短评打分': 3}
{'短评内容': '酒店很不错，服务很好，性价比不高，同等价位可能小了点。但感受服务可以去下，送餐服务不错 就是价格约贵', '短评打分': 5}
{'短评内容': '岷山饭店名不虚传，交通便利，房间设施不错，服务很好，下次有机会还要入住！', '短评打分': 3}
{'短评内容': '岷山饭店位置绝佳早餐丰富房间也较新', '短评打分': 3}
{'短评内容': '管理专业，星级酒店的范儿足。如果在协助客人打的的环节再下下功夫，就锦上添花了。', '短评打分': 5}
{'短评内容': '房间有些小，但卫生还不错。', '短评打分': 3}
{'短评内容': '上网查了下，这个是比较老牌的酒店就订了这家。房间很小，配套还算齐全，大厅还算像五星。但是为什么大半夜有人敲很久的门发什么卡，敲一下还好，硬是敲很久，没睡好，搞得像不太正规的店一样。不会再来了。', '短评打分': 1}
{'短评内容': '大厅不错，房间一般，不像五星级酒店', '短评打分': 3}
{'短评内容': ' 大堂很好 房间一般 出行方便', '短评打分': 3}
{'短评内容': '优点：酒店交通比较方便，周边环境较好，酒店有室外泳池。\n缺点：房间面积比较小', '短评打分': 5}
{'短评内容': '酒店位置很好，就在机场大巴站边上，房间很舒服。', '短评打分': 5}
{'短评内容': ' 酒店服务很好,房间很干净,临近店门口有服务生主动帮提行李很感温馨,下次还会去住哦', '短评打分': 3}
{'短评内容': '好价格公道，服务好，早餐好，是老牌的五星。坐机场大巴很方便，走几步就到了。', '短评打分': 5}
{'短评内容': ' 这家酒店不错，房间够五星标准。', '短评打分': 3}
