{'短评内容': '房间宽敞给免费升级来着', '短评打分': 5}
{'短评内容': '就点环境能够很好，交通便利，不错', '短评打分': 5}
{'短评内容': '环境很好，静谧', '短评打分': 5}
{'短评内容': '服务一流，早餐还算丰富，关键是安静卫生', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是早上8.9点就有人在楼上拿锤子敲打木板的声音被吵醒，请酒店注意工作时间你这个点大家都在睡觉', '短评打分': 5}
{'短评内容': '环境很好，就是希望提交订单能快点', '短评打分': 5}
{'短评内容': '酒店价格有点贵，其他都还好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体环境优雅，服务周到！', '短评打分': 5}
{'短评内容': '酒店环境不错，但是设施老化，不值得。', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '酒店室外环境优雅', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 4}
{'短评内容': '每次我都愿意住在这里', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体来说还可以，不过性价比不高。', '短评打分': 4}
{'短评内容': '屋内设施说好听是’古朴‘，说不好听是旧。但确实很干净很干净。服务水平也没得说。\n看得出是老牌的五星级啊。', '短评打分': 3}
{'短评内容': '总之还不错啦，就是价格偏高点，其它的都一样，下面的环境不错', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也很干净。就是早餐水平不高', '短评打分': 3}
{'短评内容': '这是漳州最好的一家酒店！特别是水仙楼，硬件设施很到位，房间也很大。酒店离大街有一定的距离，又有个绿化很好很大的院子，停车很方便，也很安静！价格略高。', '短评打分': 5}
{'短评内容': '房间够大，定的观景房，结果窗户外面就一堆破烂房顶，不爽', '短评打分': 5}
{'短评内容': '酒店实施好,位址好,环境一流,下次来还会住.', '短评打分': 5}
{'短评内容': '位置很好酒店的餐饮很方便，特别推荐那个日式料理挺不错的。', '短评打分': 5}
{'短评内容': '这家酒店可以说是实实在在有五星的水准 可以说是漳州的代表性酒店', '短评打分': 5}
{'短评内容': '酒店位置很好服务也很细致。下雨了还让电瓶车到门口来接我们，推荐', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店不错 环境很好 前台服务有待提高', '短评打分': 3}
{'短评内容': '酒店整体不错。就是行政商务大床房的床也不是很大，且房间空间比较小。', '短评打分': 5}
{'短评内容': '据说是漳州最好的一家酒店,五星级跟城市也是有点关系的....', '短评打分': 5}
{'短评内容': '入住的是水仙楼，房间够大，装修也好，很满意的！一楼的自助餐凭房卡打九折，只要88一位，很合算！', '短评打分': 3}
{'短评内容': '订的是水仙楼的观景房 水仙楼很新 设施好 房间卫生间都很大 卫生很好 停车也很方便 最主要的是早餐真的很不错 下次一定还会住', '短评打分': 5}
{'短评内容': '入驻的天宝楼装修很一般，比较久。可能新的 水仙楼会新点吧', '短评打分': 1}
{'短评内容': '房间很宽敞，环境不错，很安静。房间里的设备都挺棒的，家具是仿古风格。床很大，就是有点硬', '短评打分': 3}
{'短评内容': '酒店地理位置不错，房间也非常不错空间也很大，服务态度也还好，价格也比较值得。', '短评打分': 5}
{'短评内容': '典型的政府性质酒店，外环境不错，房间的布局太老土，价格过高。', '短评打分': 5}
{'短评内容': '房间也就一般，价格是挺贵的，酒店环境一般。', '短评打分': 1}
{'短评内容': '酒店很好，毕竟是五星的酒店，各方面都很好。 ', '短评打分': 3}
{'短评内容': '房间很干净，很好，交通也很便利，自驾车过去很方便。', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '可以说是漳州最好的酒店，很喜欢水仙楼，还有露天游泳池，夏日晚上去游泳很舒服。\n前台的服务态度有待提高。', '短评打分': 5}
{'短评内容': '位置很不错，靠近汽车站，宾馆也蛮大的，住着很舒服。', '短评打分': 5}
{'短评内容': '房间设施卫生都很不错环境也很好。交通很方便，服务态度还可以但是价格还是有些贵了。而且当时我去的时候其实还有一家酒店是和它都是从一个大门进去的所以就容易搞混，所以去的人建议还是多注意一下，酒店是没问题挺好的。', '短评打分': 5}
{'短评内容': '早餐一般，但是自驾车过来很方便，门口有停车位，服务到位。', '短评打分': 5}
{'短评内容': '服务很专业，房间里面打扫很及时。', '短评打分': 5}
{'短评内容': '环境不错，早餐有待改进。', '短评打分': 5}
{'短评内容': '房间面积很大，也很干净，酒店配套设施很全面，游泳池，健身房都有，酒店就在汽车站对面，交通也蛮方便的。', '短评打分': 5}
