{'短评内容': '地理位置挺好，停车麻烦', '短评打分': 3}
{'短评内容': '酒店位置在中心地段，对自驾游来说情愿远一些，找个好一点的酒店。反正吃一亏长一智不会再去了，强烈推符幽兰都大酒店，价格便宜服务又好。', '短评打分': 1}
{'短评内容': '很差，周围没有停车场，乱糟糟。最可恨的是坐地起价，一个简易宾馆，提前一周多订，一天后竟然提价百分之三十左右，还没出行就扫了游兴。今后再也不会去了。', '短评打分': 1}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '干净，整洁', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，吃饭购物交通都比较方便，酒店设施稍显陈旧，在盱眙这样的价格可以住到这样的店性价比还是蛮高的。', '短评打分': 5}
{'短评内容': '环境不错，有免费的早餐，吃喝都很方便', '短评打分': 5}
{'短评内容': '环境也就那样了，感觉价格有点高了。总体还可以，离商业街近。', '短评打分': 3}
{'短评内容': '我就呵呵了，这酒店服务员态度，差！', '短评打分': 3}
{'短评内容': '嗯购物蛮方便的是许最周到的地方还可以退职的推进。', '短评打分': 3}
{'短评内容': '酒店一股霉味，脏兮兮的。水龙头小还有蟑螂。还有人塞小名片。最重要服务员态度恶劣，拽的不得了。不推荐！', '短评打分': 3}
{'短评内容': '性价比挺高的，环境好干净又便宜。推荐', '短评打分': 3}
{'短评内容': '繁华地.段，方便。', '短评打分': 4}
{'短评内容': '比较.方便。。。。。。。', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
