{'短评内容': '酒店环境不错，比较舒适，服务周到', '短评打分': 5}
{'短评内容': '房间比较大，wifi信号不好，布置比较老式吧，但对得起这个价位。', '短评打分': 4}
{'短评内容': '宾馆地理位置很好  很好找  就在马路边上  交通还是蛮方便的  宾馆设施也还行  我的房间挺大的！', '短评打分': 5}
{'短评内容': '房间地理位置很好  很好找  就在公路边上  很方便  房间也还行  挺大的  打扫卫生的做的很干净！', '短评打分': 4}
{'短评内容': '房间挺大的！！住起来挺安静的！空调也很凉爽，还有自动洗衣服务，太周到了！酒店的位置挺好找的，值得入住！', '短评打分': 4}
{'短评内容': '性价比很高，虽然设施旧一点。早餐丰富一点就更好了', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '价格实惠，设备齐全', '短评打分': 5}
{'短评内容': '黄金周很不容易才订到这间房，房间太挤，床也不大，价格还是稍贵了点，真心不值。', '短评打分': 3}
{'短评内容': '还可以，帮朋友订的，据说还不错', '短评打分': 3}
{'短评内容': '好评，帮朋友订的，还可以', '短评打分': 3}
{'短评内容': '环境不错，也干净!', '短评打分': 4}
{'短评内容': '环境还过得去，好', '短评打分': 5}
{'短评内容': '还可以吧！没想到还送次日中餐。', '短评打分': 3}
