{'短评内容': '离火车站，打车14块钱，离地铁还有一段距离，房间装修有些旧了，但是挺干净，洗澡热水很好，楼下就是餐厅，很方便，味道也很好，不贵，很平价！', '短评打分': 5}
{'短评内容': 'WiFi信号超级差。。', '短评打分': 5}
{'短评内容': '经常光顾', '短评打分': 5}
{'短评内容': '很好以后会再来！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错哟！消费几次了', '短评打分': 5}
{'短评内容': '中规中矩吧', '短评打分': 4}
{'短评内容': '가격에 비해 너무 너무 너무 좋아요 진짜로 !!! 정말 추천합니다 ! 특히 저는 화장실 위생 상태를 중요시하는데 방은 물론 화장실도 정말 깨끗합니다 ㅎㅎ 좋아요 比我想象中更好 ！！！很满意 好评！', '短评打分': 5}
{'短评内容': '感觉放松心情 舒服的地方', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '真的很不错，去老虎滩游玩特别的方便！一家人旅行，环境也很好，早饭也不错，值得去的地方！儿子也比较开心！', '短评打分': 5}
{'短评内容': '酒店非常好，三星标准绝对有了，干净，设施不错。缺点是周边饭店和超市少。', '短评打分': 5}
{'短评内容': '不错挺好，离我去的地方也近，就是附近吃东西的地方少', '短评打分': 5}
{'短评内容': '不错，挺好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '下次来还会选择', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '地点不方便，性价比一般 但态度较好，房间也很干净', '短评打分': 5}
{'短评内容': '酒店离老虎滩景区很近，酒店门口就有公交车可到达老虎滩。三百元不到的房价，我觉得从酒店的设施和服务上来讲，还是有一定性价比的。', '短评打分': 5}
{'短评内容': '离老虎滩很近 房间住的是套房 比较大 总体一般', '短评打分': 5}
{'短评内容': '交通方便，门口就是公交车站，打车也比较方便。周围环境也不错。酒店网速也还可以。', '短评打分': 5}
{'短评内容': '性价比超高，比一般的3星级好多了，位置好，中南路上，', '短评打分': 5}
{'短评内容': '地理位置优越，酒店很整洁干净，性价比高，下次还会入住~', '短评打分': 5}
{'短评内容': '酒店很温馨', '短评打分': 3}
{'短评内容': '挺好的，服务态度可以，环境可以，卫生条件也可以', '短评打分': 5}
{'短评内容': '环境不错…车位紧张', '短评打分': 3}
{'短评内容': '很干净、很舒服的酒店。房间很大，装修的也满新！', '短评打分': 5}
{'短评内容': '中南阳光还不错，价格合适，位置好，居住条件也很好。', '短评打分': 3}
{'短评内容': '非常好，环境好，服务好，什么都很好,下次还会入住', '短评打分': 5}
{'短评内容': '很好。很干净。物有所值。可惜没早餐。', '短评打分': 3}
{'短评内容': '酒店非常不错', '短评打分': 3}
{'短评内容': '很不错  要是退房时间能晚一点或者提供早餐就好啦', '短评打分': 5}
{'短评内容': '很不错～要是有早餐就好啦', '短评打分': 3}
{'短评内容': '不能开窗，一股油烟味儿，楼下是餐厅厨房。房间卫生差，浴室地面毛发多…', '短评打分': 3}
{'短评内容': '地点和环境不错，服务也不错，就是早餐一般还20元', '短评打分': 5}
{'短评内容': '12点退房太早点，延到2点就多收了半天房费，不太合理,这个可以改进一下。zZzzzzzzzzzzzzzzzzzzzzzzzzzzzzzxxxxxx', '短评打分': 5}
{'短评内容': '前台服务态度好，酒店空间很大。但是一个晚上停电三次，还有一次给关在电梯里。周围没啥吃的。不过一楼的千岛海鲜不错。', '短评打分': 3}
{'短评内容': '先说位置吧，离火车站不远，有直达的公共汽车（30路），离老虎滩公园也不远，坐30路直达。周边饭店不多，都是小饭店，想吃大餐到一楼就成了。环境不错，清静；服务态度也很好，酒店的卫生也不错。如果有要去老虎滩一游的朋友，可以考虑一下。', '短评打分': 5}
{'短评内容': '不错，很干净，很安静。', '短评打分': 3}
{'短评内容': '环境幽雅，设施很好，干净整洁，中午12点必须退房不太人性化。', '短评打分': 3}
