{'短评内容': '店员热情待客，店长管理很好。性价比高！', '短评打分': 5}
{'短评内容': '店长管理得当，店员热情待客。性价比高！', '短评打分': 5}
{'短评内容': '性价比高。', '短评打分': 4}
{'短评内容': '性价比高。', '短评打分': 4}
{'短评内容': '性价比高，要求高的人就算了', '短评打分': 4}
{'短评内容': '性价比高。', '短评打分': 4}
{'短评内容': '还好，对得起这个价位', '短评打分': 4}
{'短评内容': '电视遥控器机顶盒都是坏的，别的都还好床品也都干净，价格经济实惠.', '短评打分': 5}
{'短评内容': '性价比高，店长和店员都很友善，周围配套全，交通方便', '短评打分': 5}
{'短评内容': '位置不错，交通方便，房间也干净！', '短评打分': 5}
{'短评内容': '性价比高。新的店长很用心，管理很好。', '短评打分': 5}
{'短评内容': '总体还不错，就是早晨停电太早了，希望能改进。', '短评打分': 5}
{'短评内容': '隔音差一点，wifi时断时续，其他还好！', '短评打分': 5}
{'短评内容': '隔音差一点，wifi时断时续，其他还好！', '短评打分': 5}
{'短评内容': '第一次在这订，帮朋友订的。。。挺满意的', '短评打分': 5}
{'短评内容': '办理入住快速专业，服务热情，宾至如归', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '服务人员热情', '短评打分': 4}
{'短评内容': '没发票，还不给寄', '短评打分': 3}
{'短评内容': '手机信号不太好', '短评打分': 5}
{'短评内容': '手机信号不太好', '短评打分': 5}
{'短评内容': '作为百元以下的酒店，也就那样。', '短评打分': 3}
{'短评内容': '好', '短评打分': 2}
