{'短评内容': '还不错，安静', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '在网上付了房费，退房时又收房费，服务员说预付的，携程要退还我，会退吗？', '短评打分': 3}
{'短评内容': '酒店的早餐非常好，种类很多，我是九点吃的，吃完后连中午饭都省了，相当于吃了个自助餐，酒店的位置也很好，周边有大超市，大小饭店也很多，停车也方便。', '短评打分': 4}
{'短评内容': '周末来酒店，可以免费提供一个面条。性价比还是比较高的。周边的商业氛围，所以环境挺好的。早餐比较简单，房间比较小。', '短评打分': 4}
{'短评内容': '酒店位置还行。服务差，房间差，卫生很一般。', '短评打分': 2}
{'短评内容': '酒店位置很好，交通方便，服务周全，早餐也不错。消防设施也做得不错。地理位置不错，交通便利，距离客户处也不远，很适合商务出行。装修挺好，设施务方面挺新的。早餐挺不错的，比较适合我的口味，菜式、水果、甜点也挺多。餐厅环境很好。酒店内走廊布置环境优雅，房间内卫生也不错，收拾得很好。唯一不好的是酒店周边没有什么超市。酒店消防设施标识设备也挺齐全的，标识醒目，安全意识不错。', '短评打分': 5}
{'短评内容': 'gutes Innenstadthotel in Teda. Frühstück auch für chinesische Verhältnisse excellent. Am Wochenende kostenloses Dinner ( Nudeln und Dumplings). Internet zum Streaemen etwas langsam , aber OK.Zimmer si', '短评打分': 5}
{'短评内容': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '正好住了没有窗的房间，热得不行啊，作为南方人，外面零度，里面30度，果断感冒的节奏啊，不过设施还是挺好的', '短评打分': 4}
{'短评内容': '酒店位置很好，距离高铁站和客户现场都很近。  早餐很丰盛，很好吃。唯一不足就是菜品很久没更新过了。希望有些变化。  房间设施齐全，暖气热水都很足。床和被子都和舒服也很干净。', '短评打分': 5}
{'短评内容': '总体感觉还可以', '短评打分': 3}
{'短评内容': '不错的选择', '短评打分': 4}
{'短评内容': '帮助朋友预定的酒店，因为是早班的飞机，到达酒店很早，前台服务员接待热情很热心。酒店房间不是很新，但是很干净整洁。早餐很好，房间的宽带速度快。酒店周边环境好，对面有小吃街，吃饭很方便，打出租车很方便。下次还会选择贵酒店。', '短评打分': 4}
{'短评内容': '还不错，下次还会住的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '周边吃玩很便利，交通优，适合商务出差。', '短评打分': 4}
{'短评内容': '能含早餐就更好了，前台态度比以前改进不少', '短评打分': 5}
{'短评内容': '方便，舒适，能含早餐就更好了,前台的服务比以前好不少', '短评打分': 5}
{'短评内容': '很好继续保持，都老客户了 没有优惠什么的吗', '短评打分': 5}
{'短评内容': '在开发区算是交通便利的了，另外房间很宽阔，很不错', '短评打分': 5}
{'短评内容': '房间倒是还可以,但是500多的房价还不含早餐.很不理解.早餐好象很贵!', '短评打分': 1}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': ' 预定了很多次了 如果今后能包含早餐就更好了 很多客户的标准是500 保持这个价位的话会一直定下去的', '短评打分': 3}
{'短评内容': '酒店环境还可以，正好在泰达开发区，比较方便，一会还回去的', '短评打分': 5}
{'短评内容': '如果在开发区办事还是比较方便，总体还是不错，只是房间感觉比较小，而且没有早餐。', '短评打分': 5}
{'短评内容': '酒店不错\n经常为客户定这家\n交通 设施方面都不错', '短评打分': 5}
{'短评内容': '住了不是一次两次了\n每次客户来都会推荐这家\n性价比非常不错', '短评打分': 5}
{'短评内容': '不错，去开发新区办事，是比较好的选择。周边商业配套比较齐全，出行、就餐等都比较方便。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '不错，去开发新区办事，是比较好的选择。周边商业配套比较齐全，出行、就餐等都比较方便。', '短评打分': 5}
{'短评内容': '位置很好，很方便，如果服务的整体水平能再提高一下就更好了', '短评打分': 5}
{'短评内容': '还不错的酒店，地段很好，出来吃饭买东西都很方便，房间也不错，唯一缺陷就是空调没有新风，制热就很热，除非吧窗户开一点点，其他都不错。', '短评打分': 5}
{'短评内容': '很好，每次去开发区新区都会选择住这里。挺不错的一个酒店', '短评打分': 5}
{'短评内容': '酒店不错 不是第一次入住了 帮别人定的别人也几乎都说好 以后会继续关注的', '短评打分': 5}
{'短评内容': '酒店感觉挺不错的，房间比较大，沙发很舒服，周边餐饮娱乐业比较多', '短评打分': 5}
{'短评内容': '酒店设施不错，入住就送一大盘水果，附近商业繁华，好吃的东西很多', '短评打分': 5}
{'短评内容': '交通便捷，房间面积大，卫生舒适，服务员态度热情，还会入住。', '短评打分': 5}
{'短评内容': '房间很大 酒店也很新 可以宽带上网 咖啡免费 离开会的地方很近 交通也算方便 下次还会入住', '短评打分': 3}
{'短评内容': '地处开发区中心，交通便利，购物方便，服务周到------------------------------', '短评打分': 5}
{'短评内容': '总体感觉还可以，就是房间设计有点老，电视也是老式的，位置还算好，交通方便，房间比较干净。。。。。。点评还要五十字啊，真烦人！', '短评打分': 5}
{'短评内容': '酒店位置不错,周围附近有很多吃东西的地方,停车也很方便,前台接待的服务人员很热情,但门童不行,很冷漠.酒店的网速也可以,感觉挺快的.', '短评打分': 5}
{'短评内容': '天津开发区中档酒店，性价比不错，价格适中，装修低于万丽，喜来登，无窗的屋子很不好，希望能加以价格区分。', '短评打分': 5}
{'短评内容': '房间没窗但是还算舒服，床很大', '短评打分': 3}
{'短评内容': '交通方便，环境不错，房间挺干净的，价格也还可以接受。', '短评打分': 5}
{'短评内容': '相当不错的酒店，设施和位置都挺好，下次还想继续入住！', '短评打分': 5}
{'短评内容': '六楼的房间,很大,很静,下次再到塘沽办事还会选择这家酒店', '短评打分': 5}
{'短评内容': '豪单只有浴缸，没有淋浴房，冲澡不是很方便', '短评打分': 3}
{'短评内容': '停车方便，位置极佳，如果网速能快一点就更好了', '短评打分': 5}
{'短评内容': '地理位置较好，很方便。酒店房间也比较宽敞，总体感觉不错！', '短评打分': 5}
{'短评内容': '房间条件不错，不过你们给我发的地址错了，找了一条街走完了才找到！希望及时更新酒店信息', '短评打分': 3}
{'短评内容': '价格太贵！\n\n位置和环境尚可，内部装修也可以，但价格与之相比更贵。', '短评打分': 1}
{'短评内容': 'NICE..............................................................', '短评打分': 5}
{'短评内容': '酒店还不错 老牌可以推荐 设施也算完善 但是要住在4楼以上', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '位于滨海新区的中心，便利。酒店设施很不错。', '短评打分': 5}
{'短评内容': 'this hotel os good but a little bit old of the device', '短评打分': 5}
{'短评内容': '环境很好，房内设施齐全温馨，只是感觉房间稍微有点小。比较紧凑。', '短评打分': 5}
{'短评内容': 'nice hotel i will use it next time', '短评打分': 5}
{'短评内容': '＋nice', '短评打分': 3}
{'短评内容': '＋很好', '短评打分': 3}
{'短评内容': '就这个价位以及这个档次的酒店来说很不错，美中不足酒店KTV稍微有些吵，还有就是房间的窗户玻璃一夜之间的冷凝水把地毯泡湿了一部分。还有就是卫生间洗澡之后地面的水不能很快消退把拖鞋弄得湿漉漉的好在房间地毯貌似干净可以光脚。总体来说还是不错的值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，每次都会选择，希望前台的服务水准能再加强一下', '短评打分': 5}
{'短评内容': '老牌开发区酒店，位置及硬件都不错，每次都会选择', '短评打分': 5}
{'短评内容': '＋good', '短评打分': 3}
{'短评内容': '＋家具有点旧，床很舒服', '短评打分': 3}
{'短评内容': '这个饭店又便宜又方便，而且房间的环境不错。\n', '短评打分': 5}
{'短评内容': '酒店设施不错服务态度良好，下次来还会住这里。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比再高一些就更好了。周围商家不多。', '短评打分': 5}
{'短评内容': '一切都很好，只是卡拉OK有点吵，希望12点之前能关掉。\r\n400多的房间很值，装修很好。', '短评打分': 5}
{'短评内容': '很不错的酒店，大厅气派，房间也可以，就是加床略显寒酸了点，总体不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '和开发区其他同类四星级酒店比，确实是性价比比较高的。房间很大，设备、设施也很不错，虽然入住以后出了一点小问题，但由于服务员的态度还好，所以服务质量以也是很不错的。早餐也不错，也很便宜。就是有一些房间没有窗户，还有淋浴间太小了。总体来说是很不错的一家酒店。', '短评打分': 5}
{'短评内容': '很好的酒店 价格也不贵 地理位置好 非常推荐', '短评打分': 3}
{'短评内容': '酒店沒有設置適當的酒吧', '短评打分': 5}
{'短评内容': '酒店服务很到位,每次去天津都会选择入住.希望酒店能越做越好.', '短评打分': 5}
{'短评内容': '不错 位置好 就是有的房子 没有窗户', '短评打分': 3}
{'短评内容': '不错 这个酒店 地理位置好', '短评打分': 5}
{'短评内容': '位置环境不错', '短评打分': 5}
{'短评内容': '位置很好，交通餐饮便利！', '短评打分': 3}
{'短评内容': 'Good location in TEDA!', '短评打分': 5}
{'短评内容': '酒店很好，位置也很好。', '短评打分': 3}
{'短评内容': '酒店不错，要是现在的价格再含上早餐就更好了', '短评打分': 3}
{'短评内容': '酒店不错，每次去塘沽都住这里', '短评打分': 5}
{'短评内容': '这家酒店我住了好多次了，整体感觉还可以，比较方便我办事，就是可能是开业时间太长了，有的设施已经有点旧了', '短评打分': 3}
{'短评内容': '住过很多次了，中规中矩的4星。但慢慢地房间里面的用品显得越来越旧了，该换新的了。\r\n\r\n中餐厅属于有点档次的，价格不便宜但还能接受。御菜－－味道还是不错的。\r\n\r\n交通还是比较方便的。', '短评打分': 5}
{'短评内容': '替同事订的，反应很好，床很舒服，就是晚上的KTV有点吵。', '短评打分': 3}
{'短评内容': '位置很好，在繁华的第三大街上，设施很好，很舒适，很不错。', '短评打分': 5}
{'短评内容': '这次给的房间没有窗户，感觉上不是很舒服。', '短评打分': 5}
{'短评内容': '一直住这，酒店内的环境不错，住着感觉很好。', '短评打分': 5}
{'短评内容': '酒店位置好，设施也不错，很舒适。', '短评打分': 3}
{'短评内容': '别对他们前台的服务过高期望，其他就好', '短评打分': 5}
{'短评内容': '不含早餐，其他还可以', '短评打分': 5}
{'短评内容': '酒店还不错，住了很多次了，环境设施位置还不错。早餐是越来越差了，这次去餐厅看了看，就去外面吃了。观光电梯也坏了，电梯不动，数字在动，3-2-1然后1-2-3，通知前台，一个小时后还那样。中餐厅还是挺好的。', '短评打分': 5}
{'短评内容': '酒店坐落的位置不错，设施和卫生还可以。入住时前台提示房间楼下有KTV会比较吵，晚上感觉倒还可以，基本听不到声音，没有影响休息。只是服务人员的服务水平还有待提高，在大厅转走了几圈，看到服务人员在聊天（包括大堂经理），但很少有人跟顾客问好甚至连微笑都没有。毕竟是四星级酒店嘛，同等条件就要看服务了！', '短评打分': 1}
{'短评内容': '很失望，酒店的前台服务不是一般的差，（虽然其他服务人员还是不错的，尤其是门童，很热情），最可气的是明明我们定的是行政大床房，前台居然会故意给安排标准单人间，价格相差100元以上，之所以很生气是因为这样的事情发生了很多次（4次以上），以前忍了，但这种趋势好像越演越烈，希望他们可以好好的整治一下前台的服务质量，毕竟那是一个酒店的脸面！！！', '短评打分': 1}
{'短评内容': '用了很久ELONG了，但是很少点评酒店，这次真是忍不住了，也不知道这个点评酒店看不看！以前在这里住了很多次，对酒店的前台服务实在是不敢恭维，这次入住实在是令人气愤！！\r\n下午3点到的酒店，前台就一个人在接待，看样子像个实习的，很不熟练，这时候由于办手续的人多了（3个），她就去又叫了一个接待员，这个服务员打着哈欠就从屋里出来了，看样子由于我们把她吵醒很不高兴，一脸的官司，在办手续的时候态度极为生硬，', '短评打分': 1}
{'短评内容': '惠中还是比较不错的，除了服务没有怎么接触以外，我觉得他们的环境，内部的设施以及位置都是相当不错，价格我也能接受，酒店整体感觉挺舒适的满意。', '短评打分': 5}
{'短评内容': '酒店总体很不错，服务和管理都比较好。只是浴巾该换了，毛巾太硬了。', '短评打分': 5}
{'短评内容': ' 希望服务加强一些就更好了.', '短评打分': 5}
{'短评内容': '不错，就是前台的服务一般', '短评打分': 5}
{'短评内容': '酒店的环境卫生都还不错,位置出行也很方便,就是价格有些偏高,硬件舒适度都还不错的.', '短评打分': 5}
{'短评内容': '从总体上看，这家酒店还算不错。酒店和房间内都比较干净，服务员很热情，交通也很方便。出酒店向右转沿马路走大约5分钟，有一家超市。沿途餐厅也很多，各种档次的都有。我去的一家生煎包店，生煎包和菜的味道不错，不贵，量也比南方的足。房价方面在同类酒店中比较适中。如果去开发区办公，住在那里很方便。\r\n不足之处是酒店的早餐太贵了，菜色也不算丰富。', '短评打分': 5}
{'短评内容': '酒店的信誉挺好的,我丢了东西在那,给酒店打电话.人家就及时的给找,找到了保存好等我来取走,我觉得这点挺不错的,房间里的卫生也弄得挺干净的,价格蛮实惠的,冲着酒店的服务也值得推荐.', '短评打分': 5}
{'短评内容': '酒店的价格比较优惠，服务也很好，地址位置也很方便', '短评打分': 5}
{'短评内容': '总的来说还不错.', '短评打分': 5}
