{'短评内容': '还可以方便', '短评打分': 4}
{'短评内容': '位置很好，设施一般，这个价位算不错了，离中山路很近，有电梯，楼下就是公交车，坐车很方便，服务还是不错的。', '短评打分': 4}
{'短评内容': '总体很满意，条件不和酒店比，闹中取静，去中山路太近去了很方便步行几分钟就到，价格便宜180的房费，性价比很高省时省力，还有更便宜的没住。750房无线路由器在电视机后面。', '短评打分': 5}
{'短评内容': '老板娘人很好了，因为我们是一大家人所以行李很多出入不方便了，我们退房之和老板娘可不可以推迟退房，老板娘说可以，所以下次来还会住这里的，', '短评打分': 4}
{'短评内容': '不比不知道，比曾厝垵那边的客栈条件要好很多。', '短评打分': 4}
{'短评内容': '房子很不错，地理位置很方便，去邮轮中心附近就有公交车20来分钟就到。去中山路步行街走路10分钟左右就到了，去厦门大学大概30分钟，交通方便，赞一个  房间卫生干净，因为来的时候忘记带数据线，房东很热情的借给我了。再赞一个  电视机是老式的，但是不影响看电视，电视因为不会开，房东很快就叫师傅过来给调试了。再赞一个  别人说空调排风机的声音很大，他们估计是窗户没有关上造成的，我试了，窗户留了一个5厘米', '短评打分': 5}
{'短评内容': '房间不错，服务很好，人也不错，住得很舒心，公交方便，购物更方便', '短评打分': 3}
{'短评内容': '房间够大，老板够热情，就是好难找好难找，建议直接叫老板下楼接你。', '短评打分': 4}
{'短评内容': '还不错，在中山路边上，购物及坐车都很方便，属于闹中取静的住置，不足的是被单不知道是不是没洗还是没洗干净，上面还有不少头发。', '短评打分': 3}
{'短评内容': '挺好的 什么都有 光线也不错 很喜欢 下次还去', '短评打分': 3}
{'短评内容': '交通方便，公交车站和市场就在对面。距离中山路仅有两三分钟路程，闹中带静。', '短评打分': 3}
{'短评内容': '店招牌都没有，很不好找。其实就是一旅馆！定得是1.8的床，事实上只有1.5!一坐上去就嘎吱嘎吱的响。就像睡在弹簧上一样~卫生条件一般……', '短评打分': 2}
{'短评内容': '由于订的客栈卫生状况不理想，改订的这家公寓，总的来说还是不错的，房间比较大，干净清爽，离轮渡和中山路都比较近。', '短评打分': 5}
{'短评内容': '房间很大很干净，离中山路商业街也很近，性价比很高！值得推荐', '短评打分': 5}
{'短评内容': '位于思明东路48号，名汇广场很大，从中山路步行街到思明东路都是名汇广场，标志不是很明显，入住时最好能在地图上标注清楚，有些难找，一定要看门牌号找，下面有家便利店和面包房，入住前可以先和老板联系，公寓在7楼，是几个老板承包下来的，房间很大很舒服，有冰箱，洗衣机，老板人也很热情，非常实惠，离中山路步行街也比较近，交通比较方便，电源插头比较多', '短评打分': 5}
{'短评内容': '非常一般啊，只不过是因为靠近中山路才订的，可是逛了中山路也不怎么样啊，有点小失望！', '短评打分': 1}
{'短评内容': '酒店地方  很好在中山路旁边出去很方便   老板人很好的就是定的188收了我200元一晚的有点不开心说是我们要4个人座所以要加钱    ', '短评打分': 5}
{'短评内容': '重合同，守信用酒店，按时去了，真的有房间而且服务很好。房间觉得挺好的，温馨舒适，对于旅游而来的人省了好多旅游旺季因订购房间而带来的的烦恼。总之，非常满意。', '短评打分': 5}
{'短评内容': '位置确实霸道，老板很热情，公交很方便，逛街也方便，房间有冰箱', '短评打分': 5}
{'短评内容': '很不错的地方~\n交通方便，离中山路步行街只要步行10分钟~\n对面就有公交站，21路~4路去轮渡、厦大都很方便~\n酒店式公寓。。老板很热情，帮忙指路和介绍好吃好玩的~\n房间很大，带阳台晒衣服很方便~', '短评打分': 5}
{'短评内容': '这个酒店我个人觉得性价比很高，很舒服，虽然设备有点久，但是不脏不乱，有冰箱和阳台，夏天出去真的很方便，离中山路和轮渡都很近，而且住宅附近的消费也不是很高，老板也很热心指引线路，如果有机会去，下次还住那里', '短评打分': 5}
{'短评内容': '房间够大，老板热情，离第一码头很近，走过来的，因为太近，出租车都不愿拉。根据老虎地图指引过来的，在名汇广场7楼找到老板，因为前面客人还没退房，老板给了我们一间房暂时休息，去厦大玩了一圈回来后进了房，很家居的，有冰箱，洗衣机，沐浴露和洗发水都是很大瓶的。唯一没有毛巾，不过无所谓了，因为有我们一般也不会用的吧。空调够劲，晚上盖被子睡的。呵呵。离中山路真心近啊.交通都很方便。这个价格，这个季节很合算了。', '短评打分': 5}
{'短评内容': '这个酒店是公寓式的，虽然设备不够很新，但很全很干净。我们定的是有阳台的双大床房，可以住四个人，有洗衣机，非常方便。酒店的位置很好，就在中山路步行街附近，闹中取静。老板人超级好，很热情，主动跟我们介绍怎样搭公车什么的。会跟去厦门的朋友好好推荐你家的。', '短评打分': 3}
{'短评内容': '交通方便，环境一般。', '短评打分': 3}
{'短评内容': '这家店落户在中山路旁，是厦门的老街，附近有很多特色小吃，离码头也很近，交通和生活都很方便。公寓的房间也很大，我们定的是带露台的，可以看到厦门的美景。', '短评打分': 5}
{'短评内容': '老板服务态度不错，环境也可以，离中山路、轮渡都很近，但是因为是公寓酒店，感觉适合去住一段时间的童鞋。', '短评打分': 5}
{'短评内容': '，房间很大，房东挺热情，离厦大中山路鼓浪屿果然很近。但是房间的设置确实相对偏旧。总体满意。', '短评打分': 3}
{'短评内容': '这业务的客房本人还是比较喜欢的，重在服务，有时候一些客人觉得烦心问题也就不会那么计较了，还是会推荐这家！', '短评打分': 5}
{'短评内容': '公寓位置很好，离中山路很近，走路几分钟就到了！房间东西有些成旧，不过还能接受，毕竟价格稍便宜，我们四个人AA住很划算！老板人很好，接送我们！非常热情！', '短评打分': 5}
{'短评内容': '环境很好 房间很大 真的算是闹中取静 离鼓浪屿和中山路都很近 值得推荐', '短评打分': 5}
{'短评内容': '老板人非常热情，酒店的房间很大，地理位置也确实很方便，离市中心很近，不错！', '短评打分': 5}
{'短评内容': ' 环境不错,卫生挺好,离中山路十分近,交通也便利。就是不太好找,在居民楼里,需要有人来接。', '短评打分': 3}
{'短评内容': '设施有些陈旧、破烂，卫生间的浴帘钩子掉了也随便捆了捆，灯坏了就安个灯头插在插座上，晾衣架更是百花齐放，等等。欠缺管理，其实很多看来都是举手之劳就能做好的事情。', '短评打分': 1}
{'短评内容': '入住。环境还行。', '短评打分': 3}
{'短评内容': '地理位置优越，距离哪里都比较近，性价比较高。。。。', '短评打分': 5}
{'短评内容': '店家老板好好人,虽然厕所门坏了,锁不上,还有一些地方潮湿,这需要注意一点,但一个电话打给老板就会立刻来人帮我们解决问题,还跟我们说哪个地方的吃的比较正宗,比较吃,哪好玩也有告诉我们,还不错的', '短评打分': 5}
{'短评内容': ' 清怡酒店还不错，下次还是住在这。交通很便利，各项设施还可以。', '短评打分': 3}
